month,date,area_sown,yield,inflation,price
feb,1,8.75,661,5.87,4050
feb,2,8.75,661,5.87,3870
feb,3,8.75,661,5.87,3866
feb,4,8.75,661,5.87,3950
feb,5,8.75,661,5.87,4002
feb,6,8.75,661,5.87,4000
feb,7,8.75,661,5.87,4020
feb,8,8.75,661,5.87,4000
feb,9,8.75,661,5.87,3850
feb,10,8.75,661,5.87,4074
feb,11,8.75,661,5.87,4074
feb,12,8.75,661,5.87,4072
feb,13,8.75,661,5.87,3979
feb,14,8.75,661,5.87,4090
feb,15,8.75,661,5.87,4150
feb,16,8.75,661,5.87,3926
feb,17,8.75,661,5.87,4113
feb,18,8.75,661,5.87,4029
feb,19,8.75,661,5.87,3950
feb,20,8.75,661,5.87,3979
feb,1,6.42,516,4.94,3904
feb,2,6.42,516,4.94,3950
feb,3,6.42,516,4.94,4090
feb,4,6.42,516,4.94,4176
feb,5,6.42,516,4.94,4092
feb,6,6.42,516,4.94,4074
feb,7,6.42,516,4.94,4062
feb,8,6.42,516,4.94,3951
feb,9,6.42,516,4.94,3959
feb,10,6.42,516,4.94,4039
feb,11,6.42,516,4.94,4410
feb,12,6.42,516,4.94,3719
feb,13,6.42,516,4.94,3490
feb,14,6.42,516,4.94,3478
feb,15,6.42,516,4.94,4400
feb,16,6.42,516,4.94,4109
feb,17,6.42,516,4.94,4000
feb,18,6.42,516,4.94,3935
feb,19,6.42,516,4.94,3701
feb,20,6.42,516,4.94,4010
feb,1,5.1,600,2.94,5220
feb,2,5.1,600,2.94,5642
feb,3,5.1,600,2.94,5300
feb,4,5.1,600,2.94,5529
feb,5,5.1,600,2.94,5728
feb,6,5.1,600,2.94,5375
feb,7,5.1,600,2.94,5442
feb,8,5.1,600,2.94,5321
feb,9,5.1,600,2.94,5451
feb,10,5.1,600,2.94,5210
feb,11,5.1,600,2.94,6429
feb,12,5.1,600,2.94,5569
feb,13,5.1,600,2.94,5499
feb,14,5.1,600,2.94,5373
feb,15,5.1,600,2.94,4775
feb,16,5.1,600,2.94,5269
feb,17,5.1,600,2.94,4967
feb,18,5.1,600,2.94,4450
feb,19,5.1,600,2.94,5095
feb,20,5.1,600,2.94,4318
feb,1,5.47,538,4.86,4119
feb,2,5.47,538,4.86,3719
feb,3,5.47,538,4.86,4399
feb,4,5.47,538,4.86,4586
feb,5,5.47,538,4.86,3908
feb,6,5.47,538,4.86,4409
feb,7,5.47,538,4.86,4163
feb,8,5.47,538,4.86,4159
feb,9,5.47,538,4.86,4536
feb,10,5.47,538,4.86,3761
feb,11,5.47,538,4.86,4432
feb,12,5.47,538,4.86,4497
feb,13,5.47,538,4.86,3992
feb,14,5.47,538,4.86,4549
feb,15,5.47,538,4.86,4080
feb,16,5.47,538,4.86,3971
feb,17,5.47,538,4.86,3815
feb,18,5.47,538,4.86,3971
feb,19,5.47,538,4.86,4080
feb,20,5.47,538,4.86,3971
feb,1,7.36,346,7.66,5110
feb,2,7.36,346,7.66,4847
feb,3,7.36,346,7.66,4950
feb,4,7.36,346,7.66,5067
feb,5,7.36,346,7.66,4745
feb,6,7.36,346,7.66,5227
feb,7,7.36,346,7.66,4860
feb,8,7.36,346,7.66,5074
feb,9,7.36,346,7.66,5002
feb,10,7.36,346,7.66,4551
feb,11,7.36,346,7.66,4178
feb,12,7.36,346,7.66,4231
feb,13,7.36,346,7.66,4556
feb,14,7.36,346,7.66,3828
feb,15,7.36,346,7.66,4306
feb,16,7.36,346,7.66,4452
feb,17,7.36,346,7.66,4335
feb,18,7.36,346,7.66,4444
feb,19,7.36,346,7.66,4506
feb,20,7.36,346,7.66,4519
feb,1,5.5,556,6.76,4511
feb,2,5.5,556,6.76,3871
feb,3,5.5,556,6.76,4515
feb,4,5.5,556,6.76,3149
feb,5,5.5,556,6.76,3111
feb,6,5.5,556,6.76,4418
feb,7,5.5,556,6.76,4369
feb,8,5.5,556,6.76,4600
feb,9,5.5,556,6.76,4295
feb,10,5.5,556,6.76,4636
feb,11,5.5,556,6.76,3230
feb,12,5.5,556,6.76,4284
feb,13,5.5,556,6.76,4283
feb,14,5.5,556,6.76,4490
feb,15,5.5,556,6.76,4170
feb,16,5.5,556,6.76,5122
feb,17,5.5,556,6.76,4040
feb,18,5.5,556,6.76,4453
feb,19,5.5,556,6.76,4320
feb,20,5.5,556,6.76,4465
