month,date,price
jan,1,4150
jan,2,4120
jan,3,4180
jan,4,4150
jan,5,4165
jan,6,4120
jan,7,4164
jan,8,4180
jan,9,4150
jan,10,4060
jan,11,4157
jan,12,3980
jan,13,4011
jan,14,4131
jan,15,4169
jan,16,4149
jan,17,4039
jan,18,3887
jan,19,4011
jan,20,4011
jan,1,5135
jan,2,4963
jan,3,4831
jan,4,4989
jan,5,4813
jan,6,4832
jan,7,4795
jan,8,4674
jan,9,4717
jan,10,4630
jan,11,4485
jan,12,4506
jan,13,4438
jan,14,3904
jan,15,4210
jan,16,3904
jan,17,3950
jan,18,4090
jan,19,4176
jan,20,4092
jan,1,5471
jan,2,4140
jan,3,5350
jan,4,5015
jan,5,4912
jan,6,5097
jan,7,5158
jan,8,5480
jan,9,5449
jan,10,5232
jan,11,5057
jan,12,5343
jan,13,5235
jan,14,5316
jan,15,5756
jan,16,5353
jan,17,5383
jan,18,5330
jan,19,5499
jan,20,5134
jan,1,4827
jan,2,5150
jan,3,5197
jan,4,5079
jan,5,5699
jan,6,5095
jan,7,4469
jan,8,4943
jan,9,3443
jan,10,4552
jan,11,3727
jan,12,6441
jan,13,4463
jan,14,5582
jan,15,5110
jan,16,4119
jan,17,3719
jan,18,4399
jan,19,4586
jan,20,3908
jan,1,5247
jan,2,5438
jan,3,4669
jan,4,5301
jan,5,6010
jan,6,5322
jan,7,5431
jan,8,5159
jan,9,5081
jan,10,5243
jan,11,5144
jan,12,4511
jan,13,5355
jan,14,5330
jan,15,4783
jan,16,5471
jan,17,5373
jan,18,5158
jan,19,5074
jan,20,4985
jan,1,3249
jan,2,4132
jan,3,4007
jan,4,4923
jan,5,4855
jan,6,4079
jan,7,4139
jan,8,5001
jan,9,4767
jan,10,4321
jan,11,4786
jan,12,5502
jan,13,3334
jan,14,4932
jan,15,4154
jan,16,4714
jan,17,4393
jan,18,5062
jan,19,4979
jan,20,4164
