month,date,area_sown,yield,inflation,price
feb,1,6.42,516,4.94,4050
feb,2,6.42,516,4.94,4050
feb,3,6.42,516,4.94,4050
feb,4,6.42,516,4.94,4050
feb,5,6.42,516,4.94,4050
feb,6,6.42,516,4.94,4050
feb,7,6.42,516,4.94,4050
feb,8,6.42,516,4.94,4050
feb,9,6.42,516,4.94,4050
feb,10,6.42,516,4.94,4050
feb,11,6.42,516,4.94,4050
feb,12,6.42,516,4.94,4050
feb,13,6.42,516,4.94,4050
feb,14,6.42,516,4.94,4050
feb,15,6.42,516,4.94,4050
feb,16,6.42,516,4.94,4047
feb,17,6.42,516,4.94,4047
feb,18,6.42,516,4.94,4044
feb,19,6.42,516,4.94,4010
feb,20,6.42,516,4.94,4010
feb,1,5.1,600,2.94,5000
feb,2,5.1,600,2.94,5000
feb,3,5.1,600,2.94,5550
feb,4,5.1,600,2.94,5100
feb,5,5.1,600,2.94,5500
feb,6,5.1,600,2.94,5900
feb,7,5.1,600,2.94,5800
feb,8,5.1,600,2.94,5800
feb,9,5.1,600,2.94,5600
feb,10,5.1,600,2.94,5800
feb,11,5.1,600,2.94,6000
feb,12,5.1,600,2.94,5825
feb,13,5.1,600,2.94,5200
feb,14,5.1,600,2.94,5000
feb,15,5.1,600,2.94,5900
feb,16,5.1,600,2.94,5500
feb,17,5.1,600,2.94,5500
feb,18,5.1,600,2.94,5000
feb,19,5.1,600,2.94,5500
feb,20,5.1,600,2.94,5000
feb,1,5.47,538,4.86,5300
feb,2,5.47,538,4.86,5275
feb,3,5.47,538,4.86,4900
feb,4,5.47,538,4.86,4800
feb,5,5.47,538,4.86,4300
feb,6,5.47,538,4.86,4900
feb,7,5.47,538,4.86,4775
feb,8,5.47,538,4.86,4725
feb,9,5.47,538,4.86,4500
feb,10,5.47,538,4.86,4800
feb,11,5.47,538,4.86,4700
feb,12,5.47,538,4.86,5050
feb,13,5.47,538,4.86,4350
feb,14,5.47,538,4.86,4000
feb,15,5.47,538,4.86,4575
feb,16,5.47,538,4.86,4600
feb,17,5.47,538,4.86,4200
feb,18,5.47,538,4.86,4025
feb,19,5.47,538,4.86,4000
feb,20,5.47,538,4.86,4900
feb,1,7.36,346,7.66,5625
feb,2,7.36,346,7.66,5700
feb,3,7.36,346,7.66,5650
feb,4,7.36,346,7.66,4700
feb,5,7.36,346,7.66,5525
feb,6,7.36,346,7.66,5500
feb,7,7.36,346,7.66,5675
feb,8,7.36,346,7.66,5600
feb,9,7.36,346,7.66,5500
feb,10,7.36,346,7.66,5625
feb,11,7.36,346,7.66,5500
feb,12,7.36,346,7.66,5525
feb,13,7.36,346,7.66,4250
feb,14,7.36,346,7.66,4650
feb,15,7.36,346,7.66,4650
feb,16,7.36,346,7.66,3900
feb,17,7.36,346,7.66,5350
feb,18,7.36,346,7.66,5200
feb,19,7.36,346,7.66,5525
feb,20,7.36,346,7.66,5350
feb,1,5.5,556,6.76,5110
feb,2,5.5,556,6.76,5200
feb,3,5.5,556,6.76,4600
feb,4,5.5,556,6.76,5000
feb,5,5.5,556,6.76,5200
feb,6,5.5,556,6.76,5000
feb,7,5.5,556,6.76,5200
feb,8,5.5,556,6.76,5150
feb,9,5.5,556,6.76,5100
feb,10,5.5,556,6.76,4800
feb,11,5.5,556,6.76,5200
feb,12,5.5,556,6.76,5100
feb,13,5.5,556,6.76,5200
feb,14,5.5,556,6.76,4300
feb,15,5.5,556,6.76,4550
feb,16,5.5,556,6.76,4550
feb,17,5.5,556,6.76,5000
feb,18,5.5,556,6.76,4700
feb,19,5.5,556,6.76,4400
feb,20,5.5,556,6.76,4900
