month,date,area_sown,yield,inflation,price
jan,1,8.75,661,5.87,4000
jan,2,8.75,661,5.87,4100
jan,3,8.75,661,5.87,4000
jan,4,8.75,661,5.87,4000
jan,5,8.75,661,5.87,4000
jan,6,8.75,661,5.87,4100
jan,7,8.75,661,5.87,4000
jan,8,8.75,661,5.87,4000
jan,9,8.75,661,5.87,4000
jan,10,8.75,661,5.87,4000
jan,11,8.75,661,5.87,4050
jan,12,8.75,661,5.87,4050
jan,13,8.75,661,5.87,4000
jan,14,8.75,661,5.87,3950
jan,15,8.75,661,5.87,3900
jan,16,8.75,661,5.87,3900
jan,17,8.75,661,5.87,3800
jan,18,8.75,661,5.87,4000
jan,19,8.75,661,5.87,3800
jan,20,8.75,661,5.87,3800
jan,1,6.42,516,4.94,4800
jan,2,6.42,516,4.94,4800
jan,3,6.42,516,4.94,4700
jan,4,6.42,516,4.94,4800
jan,5,6.42,516,4.94,4700
jan,6,6.42,516,4.94,4700
jan,7,6.42,516,4.94,4700
jan,8,6.42,516,4.94,4400
jan,9,6.42,516,4.94,4550
jan,10,6.42,516,4.94,4800
jan,11,6.42,516,4.94,4300
jan,12,6.42,516,4.94,4700
jan,13,6.42,516,4.94,4550
jan,14,6.42,516,4.94,4400
jan,15,6.42,516,4.94,4760
jan,16,6.42,516,4.94,4850
jan,17,6.42,516,4.94,4750
jan,18,6.42,516,4.94,4750
jan,19,6.42,516,4.94,4500
jan,20,6.42,516,4.94,4850
jan,1,5.1,600,2.94,5250
jan,2,5.1,600,2.94,5275
jan,3,5.1,600,2.94,5250
jan,4,5.1,600,2.94,5350
jan,5,5.1,600,2.94,5300
jan,6,5.1,600,2.94,5300
jan,7,5.1,600,2.94,5275
jan,8,5.1,600,2.94,5500
jan,9,5.1,600,2.94,5400
jan,10,5.1,600,2.94,5300
jan,11,5.1,600,2.94,5500
jan,12,5.1,600,2.94,5400
jan,13,5.1,600,2.94,5500
jan,14,5.1,600,2.94,5550
jan,15,5.1,600,2.94,5550
jan,16,5.1,600,2.94,5800
jan,17,5.1,600,2.94,5800
jan,18,5.1,600,2.94,5800
jan,19,5.1,600,2.94,5650
jan,20,5.1,600,2.94,5300
jan,1,5.47,538,4.86,4500
jan,2,5.47,538,4.86,5041
jan,3,5.47,538,4.86,5250
jan,4,5.47,538,4.86,4900
jan,5,5.47,538,4.86,5500
jan,6,5.47,538,4.86,4750
jan,7,5.47,538,4.86,4500
jan,8,5.47,538,4.86,4200
jan,9,5.47,538,4.86,5200
jan,10,5.47,538,4.86,5000
jan,11,5.47,538,4.86,4500
jan,12,5.47,538,4.86,4850
jan,13,5.47,538,4.86,4900
jan,14,5.47,538,4.86,4725
jan,15,5.47,538,4.86,4850
jan,16,5.47,538,4.86,4600
jan,17,5.47,538,4.86,5000
jan,18,5.47,538,4.86,4600
jan,19,5.47,538,4.86,5250
jan,20,5.47,538,4.86,4900
jan,1,7.36,346,7.66,5400
jan,2,7.36,346,7.66,5500
jan,3,7.36,346,7.66,5400
jan,4,7.36,346,7.66,5600
jan,5,7.36,346,7.66,5600
jan,6,7.36,346,7.66,5500
jan,7,7.36,346,7.66,5600
jan,8,7.36,346,7.66,5400
jan,9,7.36,346,7.66,5650
jan,10,7.36,346,7.66,5300
jan,11,7.36,346,7.66,5700
jan,12,7.36,346,7.66,5300
jan,13,7.36,346,7.66,5650
jan,14,7.36,346,7.66,5350
jan,15,7.36,346,7.66,5400
jan,16,7.36,346,7.66,5200
jan,17,7.36,346,7.66,5700
jan,18,7.36,346,7.66,5650
jan,19,7.36,346,7.66,4800
jan,20,7.36,346,7.66,5625
jan,1,5.5,556,6.76,5000
jan,2,5.5,556,6.76,5000
jan,3,5.5,556,6.76,5050
jan,4,5.5,556,6.76,5300
jan,5,5.5,556,6.76,5000
jan,6,5.5,556,6.76,5000
jan,7,5.5,556,6.76,4900
jan,8,5.5,556,6.76,5000
jan,9,5.5,556,6.76,4900
jan,10,5.5,556,6.76,5000
jan,11,5.5,556,6.76,5000
jan,12,5.5,556,6.76,5100
jan,13,5.5,556,6.76,5000
jan,14,5.5,556,6.76,5000
jan,15,5.5,556,6.76,5100
jan,16,5.5,556,6.76,5000
jan,17,5.5,556,6.76,5000
jan,18,5.5,556,6.76,4900
jan,19,5.5,556,6.76,5000
jan,20,5.5,556,6.76,5150
