month,date,area_sown,yield,inflation,price
march,1,6.42,516,4.94,4500
march,2,6.42,516,4.94,4675
march,3,6.42,516,4.94,4150
march,4,6.42,516,4.94,4650
march,5,6.42,516,4.94,4150
march,6,6.42,516,4.94,4500
march,7,6.42,516,4.94,4536
march,8,6.42,516,4.94,4100
march,9,6.42,516,4.94,4400
march,10,6.42,516,4.94,4400
march,11,6.42,516,4.94,4600
march,12,6.42,516,4.94,4500
march,13,6.42,516,4.94,4205
march,14,6.42,516,4.94,4423
march,15,6.42,516,4.94,4100
march,16,6.42,516,4.94,4443
march,17,6.42,516,4.94,4400
march,18,6.42,516,4.94,4443
march,19,6.42,516,4.94,4423
march,20,6.42,516,4.94,4100
march,1,5.1,600,2.94,5600
march,2,5.1,600,2.94,5000
march,3,5.1,600,2.94,5900
march,4,5.1,600,2.94,6000
march,5,5.1,600,2.94,5000
march,6,5.1,600,2.94,5500
march,7,5.1,600,2.94,5500
march,8,5.1,600,2.94,5500
march,9,5.1,600,2.94,5700
march,10,5.1,600,2.94,6000
march,11,5.1,600,2.94,6000
march,12,5.1,600,2.94,5100
march,13,5.1,600,2.94,6000
march,14,5.1,600,2.94,5800
march,15,5.1,600,2.94,5801
march,16,5.1,600,2.94,5300
march,17,5.1,600,2.94,5900
march,18,5.1,600,2.94,5400
march,19,5.1,600,2.94,5900
march,20,5.1,600,2.94,5950
march,1,5.47,538,4.86,4500
march,2,5.47,538,4.86,3900
march,3,5.47,538,4.86,4400
march,4,5.47,538,4.86,3650
march,5,5.47,538,4.86,3500
march,6,5.47,538,4.86,4000
march,7,5.47,538,4.86,4500
march,8,5.47,538,4.86,4150
march,9,5.47,538,4.86,4600
march,10,5.47,538,4.86,5200
march,11,5.47,538,4.86,4100
march,12,5.47,538,4.86,4000
march,13,5.47,538,4.86,4500
march,14,5.47,538,4.86,3850
march,15,5.47,538,4.86,4500
march,16,5.47,538,4.86,4000
march,17,5.47,538,4.86,3500
march,18,5.47,538,4.86,4550
march,19,5.47,538,4.86,4481
march,20,5.47,538,4.86,4400
march,1,7.36,346,7.66,5350
march,2,7.36,346,7.66,5200
march,3,7.36,346,7.66,5525
march,4,7.36,346,7.66,4500
march,5,7.36,346,7.66,4400
march,6,7.36,346,7.66,4500
march,7,7.36,346,7.66,4350
march,8,7.36,346,7.66,4450
march,9,7.36,346,7.66,5600
march,10,7.36,346,7.66,4600
march,11,7.36,346,7.66,4500
march,12,7.36,346,7.66,4300
march,13,7.36,346,7.66,5025
march,14,7.36,346,7.66,5400
march,15,7.36,346,7.66,5000
march,16,7.36,346,7.66,4500
march,17,7.36,346,7.66,5900
march,18,7.36,346,7.66,5400
march,19,7.36,346,7.66,5800
march,20,7.36,346,7.66,4800
march,1,5.5,556,6.76,4300
march,2,5.5,556,6.76,4000
march,3,5.5,556,6.76,4500
march,4,5.5,556,6.76,5100
march,5,5.5,556,6.76,4600
march,6,5.5,556,6.76,4200
march,7,5.5,556,6.76,5000
march,8,5.5,556,6.76,4700
march,9,5.5,556,6.76,5400
march,10,5.5,556,6.76,4300
march,11,5.5,556,6.76,4800
march,12,5.5,556,6.76,5200
march,13,5.5,556,6.76,5150
march,14,5.5,556,6.76,4400
march,15,5.5,556,6.76,5100
march,16,5.5,556,6.76,5200
march,17,5.5,556,6.76,4900
march,18,5.5,556,6.76,4500
march,19,5.5,556,6.76,4550
march,20,5.5,556,6.76,4500
