month,date,area_sown,yield,inflation,price
dec,1,5.47,538,4.86,4259
dec,2,5.47,538,4.86,4291
dec,3,5.47,538,4.86,4215
dec,4,5.47,538,4.86,4307
dec,5,5.47,538,4.86,4385
dec,6,5.47,538,4.86,4210
dec,7,5.47,538,4.86,4375
dec,8,5.47,538,4.86,4404
dec,9,5.47,538,4.86,4399
dec,10,5.47,538,4.86,4380
dec,11,5.47,538,4.86,4351
dec,12,5.47,538,4.86,4375
dec,13,5.47,538,4.86,4598
dec,14,5.47,538,4.86,4380
dec,15,5.47,538,4.86,4697
dec,16,5.47,538,4.86,4626
dec,17,5.47,538,4.86,4796
dec,18,5.47,538,4.86,4845
dec,19,5.47,538,4.86,4898
dec,20,5.47,538,4.86,4890
dec,1,7.36,346,7.66,5067
dec,2,7.36,346,7.66,5015
dec,3,7.36,346,7.66,5015
dec,4,7.36,346,7.66,5097
dec,5,7.36,346,7.66,4949
dec,6,7.36,346,7.66,5069
dec,7,7.36,346,7.66,4695
dec,8,7.36,346,7.66,5167
dec,9,7.36,346,7.66,5107
dec,10,7.36,346,7.66,5128
dec,11,7.36,346,7.66,5000
dec,12,7.36,346,7.66,4895
dec,13,7.36,346,7.66,4945
dec,14,7.36,346,7.66,5072
dec,15,7.36,346,7.66,4750
dec,16,7.36,346,7.66,5080
dec,17,7.36,346,7.66,4962
dec,18,7.36,346,7.66,4879
dec,19,7.36,346,7.66,5185
dec,20,7.36,346,7.66,4976
dec,1,5.5,556,6.76,5500
dec,2,5.5,556,6.76,5200
dec,3,5.5,556,6.76,5190
dec,4,5.5,556,6.76,5265
dec,5,5.5,556,6.76,5200
dec,6,5.5,556,6.76,5050
dec,7,5.5,556,6.76,5255
dec,8,5.5,556,6.76,5499
dec,9,5.5,556,6.76,5169
dec,10,5.5,556,6.76,5325
dec,11,5.5,556,6.76,5345
dec,12,5.5,556,6.76,5051
dec,13,5.5,556,6.76,5252
dec,14,5.5,556,6.76,5460
dec,15,5.5,556,6.76,5425
dec,16,5.5,556,6.76,5525
dec,17,5.5,556,6.76,5350
dec,18,5.5,556,6.76,5369
dec,19,5.5,556,6.76,5655
dec,20,5.5,556,6.76,5299
