month,date,area_sown,yield,inflation,price
feb,1,6.42,516,4.94,3867
feb,2,6.42,516,4.94,3712
feb,3,6.42,516,4.94,3690
feb,4,6.42,516,4.94,3964
feb,5,6.42,516,4.94,3810
feb,6,6.42,516,4.94,3750
feb,7,6.42,516,4.94,3966
feb,8,6.42,516,4.94,3810
feb,9,6.42,516,4.94,3978
feb,10,6.42,516,4.94,3900
feb,11,6.42,516,4.94,4011
feb,12,6.42,516,4.94,3790
feb,13,6.42,516,4.94,4027
feb,14,6.42,516,4.94,4035
feb,15,6.42,516,4.94,4010
feb,16,6.42,516,4.94,4005
feb,17,6.42,516,4.94,4005
feb,18,6.42,516,4.94,3600
feb,19,6.42,516,4.94,3947
feb,20,6.42,516,4.94,3960
feb,1,5.1,600,2.94,5821
feb,2,5.1,600,2.94,5811
feb,3,5.1,600,2.94,5710
feb,4,5.1,600,2.94,5989
feb,5,5.1,600,2.94,5684
feb,6,5.1,600,2.94,5595
feb,7,5.1,600,2.94,5695
feb,8,5.1,600,2.94,5534
feb,9,5.1,600,2.94,5515
feb,10,5.1,600,2.94,5709
feb,11,5.1,600,2.94,5690
feb,12,5.1,600,2.94,5700
feb,13,5.1,600,2.94,5202
feb,14,5.1,600,2.94,5399
feb,15,5.1,600,2.94,5419
feb,16,5.1,600,2.94,4928
feb,17,5.1,600,2.94,5490
feb,18,5.1,600,2.94,5568
feb,19,5.1,600,2.94,5457
feb,20,5.1,600,2.94,5425
feb,1,5.47,538,4.86,4890
feb,2,5.47,538,4.86,4790
feb,3,5.47,538,4.86,4300
feb,4,5.47,538,4.86,4650
feb,5,5.47,538,4.86,4560
feb,6,5.47,538,4.86,4590
feb,7,5.47,538,4.86,4590
feb,8,5.47,538,4.86,4460
feb,9,5.47,538,4.86,4475
feb,10,5.47,538,4.86,4500
feb,11,5.47,538,4.86,4450
feb,12,5.47,538,4.86,4400
feb,13,5.47,538,4.86,4150
feb,14,5.47,538,4.86,5189
feb,15,5.47,538,4.86,4300
feb,16,5.47,538,4.86,4400
feb,17,5.47,538,4.86,4670
feb,18,5.47,538,4.86,3990
feb,19,5.47,538,4.86,3950
feb,20,5.47,538,4.86,3950
feb,1,7.36,346,7.66,5006
feb,2,7.36,346,7.66,5580
feb,3,7.36,346,7.66,4800
feb,4,7.36,346,7.66,4750
feb,5,7.36,346,7.66,4700
feb,6,7.36,346,7.66,4435
feb,7,7.36,346,7.66,4545
feb,8,7.36,346,7.66,5400
feb,9,7.36,346,7.66,4125
feb,10,7.36,346,7.66,5081
feb,11,7.36,346,7.66,4680
feb,12,7.36,346,7.66,4018
feb,13,7.36,346,7.66,4565
feb,14,7.36,346,7.66,4059
feb,15,7.36,346,7.66,4013
feb,16,7.36,346,7.66,3990
feb,17,7.36,346,7.66,4000
feb,18,7.36,346,7.66,4175
feb,19,7.36,346,7.66,3790
feb,20,7.36,346,7.66,4035
feb,1,5.5,556,6.76,5381
feb,2,5.5,556,6.76,5090
feb,3,5.5,556,6.76,5170
feb,4,5.5,556,6.76,5269
feb,5,5.5,556,6.76,5080
feb,6,5.5,556,6.76,4680
feb,7,5.5,556,6.76,4900
feb,8,5.5,556,6.76,4900
feb,9,5.5,556,6.76,5300
feb,10,5.5,556,6.76,5019
feb,11,5.5,556,6.76,4940
feb,12,5.5,556,6.76,4700
feb,13,5.5,556,6.76,4400
feb,14,5.5,556,6.76,4715
feb,15,5.5,556,6.76,4400
feb,16,5.5,556,6.76,4619
feb,17,5.5,556,6.76,3950
feb,18,5.5,556,6.76,4200
feb,19,5.5,556,6.76,4344
feb,20,5.5,556,6.76,4330
