month,date,area_sown,yield,inflation,price
jan,1,6.42,516,4.94,4294
jan,2,6.42,516,4.94,4210
jan,3,6.42,516,4.94,4233
jan,4,6.42,516,4.94,4100
jan,5,6.42,516,4.94,4150
jan,6,6.42,516,4.94,4229
jan,7,6.42,516,4.94,4190
jan,8,6.42,516,4.94,4152
jan,9,6.42,516,4.94,4150
jan,10,6.42,516,4.94,4150
jan,11,6.42,516,4.94,4150
jan,12,6.42,516,4.94,4150
jan,13,6.42,516,4.94,3997
jan,14,6.42,516,4.94,3988
jan,15,6.42,516,4.94,3950
jan,16,6.42,516,4.94,3911
jan,17,6.42,516,4.94,4030
jan,18,6.42,516,4.94,3790
jan,19,6.42,516,4.94,3814
jan,20,6.42,516,4.94,3810
jan,1,5.1,600,2.94,4869
jan,2,5.1,600,2.94,4890
jan,3,5.1,600,2.94,4895
jan,4,5.1,600,2.94,5270
jan,5,5.1,600,2.94,5225
jan,6,5.1,600,2.94,5314
jan,7,5.1,600,2.94,5420
jan,8,5.1,600,2.94,5379
jan,9,5.1,600,2.94,5350
jan,10,5.1,600,2.94,5278
jan,11,5.1,600,2.94,5383
jan,12,5.1,600,2.94,5373
jan,13,5.1,600,2.94,5736
jan,14,5.1,600,2.94,5634
jan,15,5.1,600,2.94,5688
jan,16,5.1,600,2.94,5758
jan,17,5.1,600,2.94,5705
jan,18,5.1,600,2.94,5907
jan,19,5.1,600,2.94,5673
jan,20,5.1,600,2.94,4975
jan,1,5.47,538,4.86,5270
jan,2,5.47,538,4.86,5190
jan,3,5.47,538,4.86,5500
jan,4,5.47,538,4.86,5210
jan,5,5.47,538,4.86,5200
jan,6,5.47,538,4.86,5250
jan,7,5.47,538,4.86,5145
jan,8,5.47,538,4.86,5300
jan,9,5.47,538,4.86,5190
jan,10,5.47,538,4.86,5200
jan,11,5.47,538,4.86,5200
jan,12,5.47,538,4.86,5599
jan,13,5.47,538,4.86,5300
jan,14,5.47,538,4.86,4890
jan,15,5.47,538,4.86,5180
jan,16,5.47,538,4.86,5500
jan,17,5.47,538,4.86,4850
jan,18,5.47,538,4.86,5290
jan,19,5.47,538,4.86,4970
jan,20,5.47,538,4.86,4940
jan,1,7.36,346,7.66,5690
jan,2,7.36,346,7.66,5360
jan,3,7.36,346,7.66,4900
jan,4,7.36,346,7.66,5150
jan,5,7.36,346,7.66,5435
jan,6,7.36,346,7.66,5169
jan,7,7.36,346,7.66,5450
jan,8,7.36,346,7.66,5475
jan,9,7.36,346,7.66,5600
jan,10,7.36,346,7.66,5245
jan,11,7.36,346,7.66,5794
jan,12,7.36,346,7.66,5000
jan,13,7.36,346,7.66,5300
jan,14,7.36,346,7.66,5215
jan,15,7.36,346,7.66,5300
jan,16,7.36,346,7.66,5155
jan,17,7.36,346,7.66,5495
jan,18,7.36,346,7.66,5085
jan,19,7.36,346,7.66,5189
jan,20,7.36,346,7.66,5006
jan,1,5.5,556,6.76,5065
jan,2,5.5,556,6.76,4948
jan,3,5.5,556,6.76,5210
jan,4,5.5,556,6.76,5100
jan,5,5.5,556,6.76,5110
jan,6,5.5,556,6.76,5030
jan,7,5.5,556,6.76,4940
jan,8,5.5,556,6.76,5051
jan,9,5.5,556,6.76,5330
jan,10,5.5,556,6.76,5035
jan,11,5.5,556,6.76,5240
jan,12,5.5,556,6.76,5250
jan,13,5.5,556,6.76,5400
jan,14,5.5,556,6.76,4930
jan,15,5.5,556,6.76,5205
jan,16,5.5,556,6.76,4980
jan,17,5.5,556,6.76,5200
jan,18,5.5,556,6.76,5060
jan,19,5.5,556,6.76,5275
jan,20,5.5,556,6.76,5381
