month,date,area_sown,yield,inflation,price
march,1,6.42,516,4.94,3947
march,2,6.42,516,4.94,3960
march,3,6.42,516,4.94,3860
march,4,6.42,516,4.94,3902
march,5,6.42,516,4.94,3903
march,6,6.42,516,4.94,3720
march,7,6.42,516,4.94,3930
march,8,6.42,516,4.94,3890
march,9,6.42,516,4.94,3848
march,10,6.42,516,4.94,3849
march,11,6.42,516,4.94,3886
march,12,6.42,516,4.94,3790
march,13,6.42,516,4.94,3760
march,14,6.42,516,4.94,3625
march,15,6.42,516,4.94,3700
march,16,6.42,516,4.94,3650
march,17,6.42,516,4.94,3650
march,18,6.42,516,4.94,4091
march,19,6.42,516,4.94,4171
march,20,6.42,516,4.94,4100
march,1,5.1,600,2.94,5419
march,2,5.1,600,2.94,4928
march,3,5.1,600,2.94,5490
march,4,5.1,600,2.94,5568
march,5,5.1,600,2.94,5457
march,6,5.1,600,2.94,5425
march,7,5.1,600,2.94,5320
march,8,5.1,600,2.94,5501
march,9,5.1,600,2.94,5337
march,10,5.1,600,2.94,5370
march,11,5.1,600,2.94,5880
march,12,5.1,600,2.94,5943
march,13,5.1,600,2.94,5347
march,14,5.1,600,2.94,5540
march,15,5.1,600,2.94,5495
march,16,5.1,600,2.94,5245
march,17,5.1,600,2.94,5819
march,18,5.1,600,2.94,5680
march,19,5.1,600,2.94,5644
march,20,5.1,600,2.94,5551
march,1,5.47,538,4.86,3950
march,2,5.47,538,4.86,4430
march,3,5.47,538,4.86,5300
march,4,5.47,538,4.86,3760
march,5,5.47,538,4.86,3790
march,6,5.47,538,4.86,3750
march,7,5.47,538,4.86,3890
march,8,5.47,538,4.86,3640
march,9,5.47,538,4.86,3890
march,10,5.47,538,4.86,3450
march,11,5.47,538,4.86,4780
march,12,5.47,538,4.86,3700
march,13,5.47,538,4.86,3690
march,14,5.47,538,4.86,3670
march,15,5.47,538,4.86,3690
march,16,5.47,538,4.86,3475
march,17,5.47,538,4.86,3710
march,18,5.47,538,4.86,3560
march,19,5.47,538,4.86,3300
march,20,5.47,538,4.86,3600
march,1,7.36,346,7.66,4175
march,2,7.36,346,7.66,3790
march,3,7.36,346,7.66,4035
march,4,7.36,346,7.66,4075
march,5,7.36,346,7.66,4250
march,6,7.36,346,7.66,4400
march,7,7.36,346,7.66,4475
march,8,7.36,346,7.66,4330
march,9,7.36,346,7.66,4550
march,10,7.36,346,7.66,4360
march,11,7.36,346,7.66,5060
march,12,7.36,346,7.66,4040
march,13,7.36,346,7.66,3850
march,14,7.36,346,7.66,4675
march,15,7.36,346,7.66,5150
march,16,7.36,346,7.66,4911
march,17,7.36,346,7.66,4995
march,18,7.36,346,7.66,5761
march,19,7.36,346,7.66,3919
march,20,7.36,346,7.66,4700
march,1,5.5,556,6.76,4619
march,2,5.5,556,6.76,3950
march,3,5.5,556,6.76,4200
march,4,5.5,556,6.76,4344
march,5,5.5,556,6.76,4330
march,6,5.5,556,6.76,4560
march,7,5.5,556,6.76,4200
march,8,5.5,556,6.76,4145
march,9,5.5,556,6.76,5110
march,10,5.5,556,6.76,2900
march,11,5.5,556,6.76,4619
march,12,5.5,556,6.76,3950
march,13,5.5,556,6.76,4200
march,14,5.5,556,6.76,4344
march,15,5.5,556,6.76,4330
march,16,5.5,556,6.76,4560
march,17,5.5,556,6.76,4200
march,18,5.5,556,6.76,4145
march,19,5.5,556,6.76,5110
march,20,5.5,556,6.76,2900
