month,date,area_sown,yield,inflation,price
nov,1,5.47,538,4.86,4260
nov,2,5.47,538,4.86,4307
nov,3,5.47,538,4.86,4180
nov,4,5.47,538,4.86,4180
nov,5,5.47,538,4.86,4202
nov,6,5.47,538,4.86,4180
nov,7,5.47,538,4.86,4148
nov,8,5.47,538,4.86,4094
nov,9,5.47,538,4.86,4122
nov,10,5.47,538,4.86,4080
nov,11,5.47,538,4.86,4205
nov,12,5.47,538,4.86,4166
nov,13,5.47,538,4.86,4210
nov,14,5.47,538,4.86,4311
nov,15,5.47,538,4.86,4192
nov,16,5.47,538,4.86,4180
nov,17,5.47,538,4.86,4245
nov,18,5.47,538,4.86,4210
nov,19,5.47,538,4.86,4111
nov,20,5.47,538,4.86,4090
nov,1,7.36,346,7.66,5149
nov,2,7.36,346,7.66,5212
nov,3,7.36,346,7.66,5281
nov,4,7.36,346,7.66,5261
nov,5,7.36,346,7.66,5001
nov,6,7.36,346,7.66,5133
nov,7,7.36,346,7.66,5283
nov,8,7.36,346,7.66,5076
nov,9,7.36,346,7.66,5286
nov,10,7.36,346,7.66,5299
nov,11,7.36,346,7.66,5278
nov,12,7.36,346,7.66,5359
nov,13,7.36,346,7.66,5240
nov,14,7.36,346,7.66,5165
nov,15,7.36,346,7.66,5382
nov,16,7.36,346,7.66,5283
nov,17,7.36,346,7.66,5347
nov,18,7.36,346,7.66,5198
nov,19,7.36,346,7.66,5205
nov,20,7.36,346,7.66,5154
nov,1,5.5,556,6.76,5419
nov,2,5.5,556,6.76,5365
nov,3,5.5,556,6.76,5405
nov,4,5.5,556,6.76,5300
nov,5,5.5,556,6.76,5420
nov,6,5.5,556,6.76,5100
nov,7,5.5,556,6.76,5475
nov,8,5.5,556,6.76,5500
nov,9,5.5,556,6.76,5600
nov,10,5.5,556,6.76,5085
nov,11,5.5,556,6.76,5700
nov,12,5.5,556,6.76,5565
nov,13,5.5,556,6.76,5450
nov,14,5.5,556,6.76,5451
nov,15,5.5,556,6.76,5258
nov,16,5.5,556,6.76,5475
nov,17,5.5,556,6.76,5309
nov,18,5.5,556,6.76,5393
nov,19,5.5,556,6.76,5269
nov,20,5.5,556,6.76,5385
