month,date,area_sown,yield,inflation,price
feb,1,8.75,661,5.87,3630
feb,2,8.75,661,5.87,3600
feb,3,8.75,661,5.87,3630
feb,4,8.75,661,5.87,3650
feb,5,8.75,661,5.87,3680
feb,6,8.75,661,5.87,3650
feb,7,8.75,661,5.87,3620
feb,8,8.75,661,5.87,3600
feb,9,8.75,661,5.87,3625
feb,10,8.75,661,5.87,3650
feb,11,8.75,661,5.87,3625
feb,12,8.75,661,5.87,3600
feb,13,8.75,661,5.87,3650
feb,14,8.75,661,5.87,3600
feb,15,8.75,661,5.87,3650
feb,16,8.75,661,5.87,3600
feb,17,8.75,661,5.87,3650
feb,18,8.75,661,5.87,3625
feb,19,8.75,661,5.87,3650
feb,20,8.75,661,5.87,3625
feb,1,6.42,516,4.94,4000
feb,2,6.42,516,4.94,4000
feb,3,6.42,516,4.94,4050
feb,4,6.42,516,4.94,4011
feb,5,6.42,516,4.94,4000
feb,6,6.42,516,4.94,4050
feb,7,6.42,516,4.94,4000
feb,8,6.42,516,4.94,4000
feb,9,6.42,516,4.94,4050
feb,10,6.42,516,4.94,4000
feb,11,6.42,516,4.94,4050
feb,12,6.42,516,4.94,4000
feb,13,6.42,516,4.94,4389
feb,14,6.42,516,4.94,4000
feb,15,6.42,516,4.94,4050
feb,16,6.42,516,4.94,4000
feb,17,6.42,516,4.94,4000
feb,18,6.42,516,4.94,4050
feb,19,6.42,516,4.94,4050
feb,20,6.42,516,4.94,4000
feb,1,5.1,600,2.94,5200
feb,2,5.1,600,2.94,5200
feb,3,5.1,600,2.94,5250
feb,4,5.1,600,2.94,5200
feb,5,5.1,600,2.94,5200
feb,6,5.1,600,2.94,5150
feb,7,5.1,600,2.94,5150
feb,8,5.1,600,2.94,5100
feb,9,5.1,600,2.94,5050
feb,10,5.1,600,2.94,5100
feb,11,5.1,600,2.94,5050
feb,12,5.1,600,2.94,5100
feb,13,5.1,600,2.94,5000
feb,14,5.1,600,2.94,5010
feb,15,5.1,600,2.94,5050
feb,16,5.1,600,2.94,5100
feb,17,5.1,600,2.94,5050
feb,18,5.1,600,2.94,5150
feb,19,5.1,600,2.94,5300
feb,20,5.1,600,2.94,5250
feb,1,5.47,538,4.86,5331
feb,2,5.47,538,4.86,4857
feb,3,5.47,538,4.86,4915
feb,4,5.47,538,4.86,4534
feb,5,5.47,538,4.86,4745
feb,6,5.47,538,4.86,5264
feb,7,5.47,538,4.86,5314
feb,8,5.47,538,4.86,4809
feb,9,5.47,538,4.86,5228
feb,10,5.47,538,4.86,4924
feb,11,5.47,538,4.86,4300
feb,12,5.47,538,4.86,4573
feb,13,5.47,538,4.86,4205
feb,14,5.47,538,4.86,4979
feb,15,5.47,538,4.86,4716
feb,16,5.47,538,4.86,4582
feb,17,5.47,538,4.86,4434
feb,18,5.47,538,4.86,4170
feb,19,5.47,538,4.86,4522
feb,20,5.47,538,4.86,4227
feb,1,7.36,346,7.66,5286
feb,2,7.36,346,7.66,5284
feb,3,7.36,346,7.66,6397
feb,4,7.36,346,7.66,5142
feb,5,7.36,346,7.66,5988
feb,6,7.36,346,7.66,5498
feb,7,7.36,346,7.66,5224
feb,8,7.36,346,7.66,5281
feb,9,7.36,346,7.66,5116
feb,10,7.36,346,7.66,5264
feb,11,7.36,346,7.66,5403
feb,12,7.36,346,7.66,5230
feb,13,7.36,346,7.66,5094
feb,14,7.36,346,7.66,6094
feb,15,7.36,346,7.66,5300
feb,16,7.36,346,7.66,5250
feb,17,7.36,346,7.66,5250
feb,18,7.36,346,7.66,5069
feb,19,7.36,346,7.66,4858
feb,20,7.36,346,7.66,5200
feb,1,5.5,556,6.76,4650
feb,2,5.5,556,6.76,4600
feb,3,5.5,556,6.76,4700
feb,4,5.5,556,6.76,4600
feb,5,5.5,556,6.76,4700
feb,6,5.5,556,6.76,4600
feb,7,5.5,556,6.76,4600
feb,8,5.5,556,6.76,4600
feb,9,5.5,556,6.76,4600
feb,10,5.5,556,6.76,4650
feb,11,5.5,556,6.76,4700
feb,12,5.5,556,6.76,4700
feb,13,5.5,556,6.76,4600
feb,14,5.5,556,6.76,4700
feb,15,5.5,556,6.76,4600
feb,16,5.5,556,6.76,4500
feb,17,5.5,556,6.76,4600
feb,18,5.5,556,6.76,4600
feb,19,5.5,556,6.76,4600
feb,20,5.5,556,6.76,4600
