month,date,area_sown,yield,inflation,price
jan,1,8.75,661,5.87,4000
jan,2,8.75,661,5.87,3953
jan,3,8.75,661,5.87,3850
jan,4,8.75,661,5.87,4274
jan,5,8.75,661,5.87,4044
jan,6,8.75,661,5.87,3976
jan,7,8.75,661,5.87,4300
jan,8,8.75,661,5.87,4300
jan,9,8.75,661,5.87,3998
jan,10,8.75,661,5.87,3942
jan,11,8.75,661,5.87,4043
jan,12,8.75,661,5.87,4178
jan,13,8.75,661,5.87,4117
jan,14,8.75,661,5.87,4048
jan,15,8.75,661,5.87,4100
jan,16,8.75,661,5.87,4133
jan,17,8.75,661,5.87,4133
jan,18,8.75,661,5.87,3800
jan,19,8.75,661,5.87,4055
jan,20,8.75,661,5.87,4162
jan,1,6.42,516,4.94,4150
jan,2,6.42,516,4.94,4200
jan,3,6.42,516,4.94,4200
jan,4,6.42,516,4.94,4250
jan,5,6.42,516,4.94,4200
jan,6,6.42,516,4.94,4200
jan,7,6.42,516,4.94,4100
jan,8,6.42,516,4.94,4050
jan,9,6.42,516,4.94,4000
jan,10,6.42,516,4.94,4000
jan,11,6.42,516,4.94,4100
jan,12,6.42,516,4.94,4050
jan,13,6.42,516,4.94,4050
jan,14,6.42,516,4.94,4000
jan,15,6.42,516,4.94,4100
jan,16,6.42,516,4.94,4100
jan,17,6.42,516,4.94,4000
jan,18,6.42,516,4.94,4000
jan,19,6.42,516,4.94,4050
jan,20,6.42,516,4.94,4011
jan,1,5.1,600,2.94,4900
jan,2,5.1,600,2.94,4950
jan,3,5.1,600,2.94,5000
jan,4,5.1,600,2.94,5100
jan,5,5.1,600,2.94,5100
jan,6,5.1,600,2.94,5100
jan,7,5.1,600,2.94,5100
jan,8,5.1,600,2.94,5100
jan,9,5.1,600,2.94,5100
jan,10,5.1,600,2.94,5150
jan,11,5.1,600,2.94,5100
jan,12,5.1,600,2.94,5100
jan,13,5.1,600,2.94,5100
jan,14,5.1,600,2.94,5100
jan,15,5.1,600,2.94,5150
jan,16,5.1,600,2.94,5200
jan,17,5.1,600,2.94,5250
jan,18,5.1,600,2.94,5230
jan,19,5.1,600,2.94,5200
jan,20,5.1,600,2.94,5150
jan,1,5.47,538,4.86,4865
jan,2,5.47,538,4.86,5093
jan,3,5.47,538,4.86,5081
jan,4,5.47,538,4.86,5426
jan,5,5.47,538,4.86,5775
jan,6,5.47,538,4.86,5437
jan,7,5.47,538,4.86,5542
jan,8,5.47,538,4.86,5337
jan,9,5.47,538,4.86,4971
jan,10,5.47,538,4.86,5261
jan,11,5.47,538,4.86,5437
jan,12,5.47,538,4.86,5313
jan,13,5.47,538,4.86,5049
jan,14,5.47,538,4.86,4962
jan,15,5.47,538,4.86,5315
jan,16,5.47,538,4.86,5416
jan,17,5.47,538,4.86,5206
jan,18,5.47,538,4.86,5152
jan,19,5.47,538,4.86,5336
jan,20,5.47,538,4.86,5439
jan,1,7.36,346,7.66,5346
jan,2,7.36,346,7.66,5400
jan,3,7.36,346,7.66,5400
jan,4,7.36,346,7.66,5253
jan,5,7.36,346,7.66,5756
jan,6,7.36,346,7.66,5535
jan,7,7.36,346,7.66,5317
jan,8,7.36,346,7.66,5488
jan,9,7.36,346,7.66,5450
jan,10,7.36,346,7.66,5325
jan,11,7.36,346,7.66,5350
jan,12,7.36,346,7.66,6472
jan,13,7.36,346,7.66,5596
jan,14,7.36,346,7.66,5520
jan,15,7.36,346,7.66,6046
jan,16,7.36,346,7.66,5698
jan,17,7.36,346,7.66,5268
jan,18,7.36,346,7.66,4747
jan,19,7.36,346,7.66,5326
jan,20,7.36,346,7.66,5286
jan,1,5.5,556,6.76,4600
jan,2,5.5,556,6.76,4700
jan,3,5.5,556,6.76,4600
jan,4,5.5,556,6.76,4700
jan,5,5.5,556,6.76,4600
jan,6,5.5,556,6.76,4600
jan,7,5.5,556,6.76,4600
jan,8,5.5,556,6.76,4700
jan,9,5.5,556,6.76,4700
jan,10,5.5,556,6.76,4700
jan,11,5.5,556,6.76,4800
jan,12,5.5,556,6.76,4800
jan,13,5.5,556,6.76,4800
jan,14,5.5,556,6.76,4800
jan,15,5.5,556,6.76,4800
jan,16,5.5,556,6.76,4700
jan,17,5.5,556,6.76,4600
jan,18,5.5,556,6.76,4700
jan,19,5.5,556,6.76,4600
jan,20,5.5,556,6.76,4700
