month,date,price
july,1,4000
july,2,4025
july,3,4000
july,4,4000
july,5,4050
july,6,4000
july,7,4069
july,8,4050
july,9,4069
july,10,4000
july,11,4200
july,12,4150
july,13,4000
july,14,4150
july,15,4100
july,16,4300
july,17,4100
july,18,4200
july,19,4000
july,20,4050
july,1,5850
july,2,5225
july,3,5850
july,4,5459
july,5,6100
july,6,5429
july,7,6100
july,8,6200
july,9,5896
july,10,6050
july,11,5100
july,12,5839
july,13,6150
july,14,5600
july,15,6400
july,16,6039
july,17,5300
july,18,6000
july,19,6069
july,20,6001
july,1,5050
july,2,5100
july,3,5150
july,4,5100
july,5,5000
july,6,5150
july,7,5240
july,8,5150
july,9,5100
july,10,5200
july,11,5200
july,12,5200
july,13,5255
july,14,5550
july,15,5250
july,16,5300
july,17,5451
july,18,5136
july,19,5000
july,20,5250
july,1,4600
july,2,4770
july,3,5200
july,4,4800
july,5,5150
july,6,5000
july,7,5350
july,8,5350
july,9,5000
july,10,5800
july,11,4800
july,12,4550
july,13,5500
july,14,5600
july,15,5500
july,16,5500
july,17,5450
july,18,5100
july,19,5600
july,20,5600
july,1,4500
july,2,4600
july,3,4400
july,4,4500
july,5,4500
july,6,4400
july,7,4500
july,8,4400
july,9,4400
july,10,4500
july,11,4500
july,12,4579
july,13,4500
july,14,4500
july,15,4490.989011
july,16,4491.892308
july,17,4492.795604
july,18,4493.698901
july,19,4494.602198
july,20,4495.505495
