month,date,area_sown,yield,inflation,price
march,1,8.75,661,5.87,3600
march,2,8.75,661,5.87,3600
march,3,8.75,661,5.87,3620
march,4,8.75,661,5.87,3650
march,5,8.75,661,5.87,3680
march,6,8.75,661,5.87,3650
march,7,8.75,661,5.87,3600
march,8,8.75,661,5.87,3611
march,9,8.75,661,5.87,3660
march,10,8.75,661,5.87,3600
march,11,8.75,661,5.87,3630
march,12,8.75,661,5.87,3680
march,13,8.75,661,5.87,3670
march,14,8.75,661,5.87,3600
march,15,8.75,661,5.87,3625
march,16,8.75,661,5.87,3630
march,17,8.75,661,5.87,3650
march,18,8.75,661,5.87,3670
march,19,8.75,661,5.87,3675
march,20,8.75,661,5.87,3600
march,1,6.42,516,4.94,4050
march,2,6.42,516,4.94,4000
march,3,6.42,516,4.94,4000
march,4,6.42,516,4.94,4050
march,5,6.42,516,4.94,4050
march,6,6.42,516,4.94,4000
march,7,6.42,516,4.94,4000
march,8,6.42,516,4.94,4050
march,9,6.42,516,4.94,4000
march,10,6.42,516,4.94,4050
march,11,6.42,516,4.94,4100
march,12,6.42,516,4.94,4050
march,13,6.42,516,4.94,4000
march,14,6.42,516,4.94,4000
march,15,6.42,516,4.94,4000
march,16,6.42,516,4.94,4050
march,17,6.42,516,4.94,4000
march,18,6.42,516,4.94,4000
march,19,6.42,516,4.94,4020
march,20,6.42,516,4.94,4000
march,1,5.1,600,2.94,5100
march,2,5.1,600,2.94,5100
march,3,5.1,600,2.94,5050
march,4,5.1,600,2.94,5100
march,5,5.1,600,2.94,5200
march,6,5.1,600,2.94,5150
march,7,5.1,600,2.94,5100
march,8,5.1,600,2.94,5200
march,9,5.1,600,2.94,5100
march,10,5.1,600,2.94,5100
march,11,5.1,600,2.94,5100
march,12,5.1,600,2.94,5200
march,13,5.1,600,2.94,5100
march,14,5.1,600,2.94,5150
march,15,5.1,600,2.94,5100
march,16,5.1,600,2.94,5200
march,17,5.1,600,2.94,5250
march,18,5.1,600,2.94,5220
march,19,5.1,600,2.94,5300
march,20,5.1,600,2.94,5300
march,1,5.47,538,4.86,4234
march,2,5.47,538,4.86,4710
march,3,5.47,538,4.86,4684
march,4,5.47,538,4.86,4211
march,5,5.47,538,4.86,3961
march,6,5.47,538,4.86,4589
march,7,5.47,538,4.86,3862
march,8,5.47,538,4.86,4036
march,9,5.47,538,4.86,3864
march,10,5.47,538,4.86,4034
march,11,5.47,538,4.86,5000
march,12,5.47,538,4.86,3561
march,13,5.47,538,4.86,4386
march,14,5.47,538,4.86,4114
march,15,5.47,538,4.86,4379
march,16,5.47,538,4.86,3669
march,17,5.47,538,4.86,4219
march,18,5.47,538,4.86,3816
march,19,5.47,538,4.86,3417
march,20,5.47,538,4.86,3472
march,1,7.36,346,7.66,5200
march,2,7.36,346,7.66,5107
march,3,7.36,346,7.66,4869
march,4,7.36,346,7.66,4876
march,5,7.36,346,7.66,4841
march,6,7.36,346,7.66,4832
march,7,7.36,346,7.66,4900
march,8,7.36,346,7.66,4905
march,9,7.36,346,7.66,4905
march,10,7.36,346,7.66,4936
march,11,7.36,346,7.66,4953
march,12,7.36,346,7.66,4950
march,13,7.36,346,7.66,4807
march,14,7.36,346,7.66,5644
march,15,7.36,346,7.66,4890
march,16,7.36,346,7.66,5686
march,17,7.36,346,7.66,4942
march,18,7.36,346,7.66,4952
march,19,7.36,346,7.66,5173
march,20,7.36,346,7.66,5642
march,1,5.5,556,6.76,4500
march,2,5.5,556,6.76,4500
march,3,5.5,556,6.76,4500
march,4,5.5,556,6.76,4600
march,5,5.5,556,6.76,4500
march,6,5.5,556,6.76,4600
march,7,5.5,556,6.76,4500
march,8,5.5,556,6.76,4600
march,9,5.5,556,6.76,4500
march,10,5.5,556,6.76,4500
march,11,5.5,556,6.76,4500
march,12,5.5,556,6.76,4500
march,13,5.5,556,6.76,4500
march,14,5.5,556,6.76,4500
march,15,5.5,556,6.76,4500
march,16,5.5,556,6.76,4600
march,17,5.5,556,6.76,4500
march,18,5.5,556,6.76,4600
march,19,5.5,556,6.76,4500
march,20,5.5,556,6.76,4500
