month,date,area_sown,yield,inflation,price
dec,1,6.03,624,4.86,3900
dec,2,6.03,624,4.86,3900
dec,3,6.03,624,4.86,3900
dec,4,6.03,624,4.86,3900
dec,5,6.03,624,4.86,3900
dec,6,6.03,624,4.86,3900
dec,7,6.03,624,4.86,3950
dec,8,6.03,624,4.86,3900
dec,9,6.03,624,4.86,3900
dec,10,6.03,624,4.86,3950
dec,11,6.03,624,4.86,3900
dec,12,6.03,624,4.86,3850
dec,13,6.03,624,4.86,3850
dec,14,6.03,624,4.86,3900
dec,15,6.03,624,4.86,3900
dec,16,6.03,624,4.86,3900
dec,17,6.03,624,4.86,3900
dec,18,6.03,624,4.86,3900
dec,19,6.03,624,4.86,3900
dec,20,6.03,624,4.86,3900
dec,1,6.14,664,7.66,4600
dec,2,6.14,664,7.66,4600
dec,3,6.14,664,7.66,4600
dec,4,6.14,664,7.66,4600
dec,5,6.14,664,7.66,4600
dec,6,6.14,664,7.66,4600
dec,7,6.14,664,7.66,4600
dec,8,6.14,664,7.66,4600
dec,9,6.14,664,7.66,4600
dec,10,6.14,664,7.66,4600
dec,11,6.14,664,7.66,4600
dec,12,6.14,664,7.66,4600
dec,13,6.14,664,7.66,4600
dec,14,6.14,664,7.66,4600
dec,15,6.14,664,7.66,4600
dec,16,6.14,664,7.66,4600
dec,17,6.14,664,7.66,4600
dec,18,6.14,664,7.66,4600
dec,19,6.14,664,7.66,4600
dec,20,6.14,664,7.66,4600
dec,1,6.1,557,6.76,5300
dec,2,6.1,557,6.76,5100
dec,3,6.1,557,6.76,5200
dec,4,6.1,557,6.76,5100
dec,5,6.1,557,6.76,5150
dec,6,6.1,557,6.76,5100
dec,7,6.1,557,6.76,5100
dec,8,6.1,557,6.76,5200
dec,9,6.1,557,6.76,5100
dec,10,6.1,557,6.76,5150
dec,11,6.1,557,6.76,5150
dec,12,6.1,557,6.76,5200
dec,13,6.1,557,6.76,5200
dec,14,6.1,557,6.76,5200
dec,15,6.1,557,6.76,5100
dec,16,6.1,557,6.76,5100
dec,17,6.1,557,6.76,5200
dec,18,6.1,557,6.76,5050
dec,19,6.1,557,6.76,5200
dec,20,6.1,557,6.76,5050
