month,date,area_sown,yield,inflation,price
feb,1,5.74,563,5.87,3900
feb,2,5.74,563,5.87,3800
feb,3,5.74,563,5.87,3750
feb,4,5.74,563,5.87,3750
feb,5,5.74,563,5.87,3800
feb,6,5.74,563,5.87,3800
feb,7,5.74,563,5.87,3800
feb,8,5.74,563,5.87,3800
feb,9,5.74,563,5.87,3800
feb,10,5.74,563,5.87,3800
feb,11,5.74,563,5.87,4487
feb,12,5.74,563,5.87,3800
feb,13,5.74,563,5.87,3800
feb,14,5.74,563,5.87,3800
feb,15,5.74,563,5.87,3900
feb,16,5.74,563,5.87,3900
feb,17,5.74,563,5.87,3900
feb,18,5.74,563,5.87,3800
feb,19,5.74,563,5.87,3900
feb,20,5.74,563,5.87,3900
feb,1,5.63,544,4.94,4300
feb,2,5.63,544,4.94,4300
feb,3,5.63,544,4.94,4300
feb,4,5.63,544,4.94,4300
feb,5,5.63,544,4.94,4300
feb,6,5.63,544,4.94,4300
feb,7,5.63,544,4.94,4300
feb,8,5.63,544,4.94,4300
feb,9,5.63,544,4.94,4300
feb,10,5.63,544,4.94,4300
feb,11,5.63,544,4.94,4300
feb,12,5.63,544,4.94,4300
feb,13,5.63,544,4.94,4300
feb,14,5.63,544,4.94,4300
feb,15,5.63,544,4.94,4300
feb,16,5.63,544,4.94,4300
feb,17,5.63,544,4.94,4300
feb,18,5.63,544,4.94,4300
feb,19,5.63,544,4.94,4300
feb,20,5.63,544,4.94,4300
feb,1,5.99,582,2.94,5200
feb,2,5.99,582,2.94,5400
feb,3,5.99,582,2.94,5300
feb,4,5.99,582,2.94,5200
feb,5,5.99,582,2.94,5500
feb,6,5.99,582,2.94,5300
feb,7,5.99,582,2.94,5400
feb,8,5.99,582,2.94,5800
feb,9,5.99,582,2.94,5600
feb,10,5.99,582,2.94,5900
feb,11,5.99,582,2.94,5500
feb,12,5.99,582,2.94,5100
feb,13,5.99,582,2.94,5200
feb,14,5.99,582,2.94,5300
feb,15,5.99,582,2.94,5400
feb,16,5.99,582,2.94,5300
feb,17,5.99,582,2.94,5200
feb,18,5.99,582,2.94,5400
feb,19,5.99,582,2.94,5300
feb,20,5.99,582,2.94,5400
feb,1,6.03,624,4.86,4600
feb,2,6.03,624,4.86,4700
feb,3,6.03,624,4.86,4400
feb,4,6.03,624,4.86,4500
feb,5,6.03,624,4.86,4700
feb,6,6.03,624,4.86,4700
feb,7,6.03,624,4.86,4700
feb,8,6.03,624,4.86,4600
feb,9,6.03,624,4.86,4700
feb,10,6.03,624,4.86,4700
feb,11,6.03,624,4.86,4700
feb,12,6.03,624,4.86,4500
feb,13,6.03,624,4.86,4600
feb,14,6.03,624,4.86,4500
feb,15,6.03,624,4.86,4400
feb,16,6.03,624,4.86,4500
feb,17,6.03,624,4.86,4600
feb,18,6.03,624,4.86,4600
feb,19,6.03,624,4.86,4500
feb,20,6.03,624,4.86,4200
feb,1,6.14,664,7.66,5000
feb,2,6.14,664,7.66,5300
feb,3,6.14,664,7.66,5000
feb,4,6.14,664,7.66,5000
feb,5,6.14,664,7.66,5000
feb,6,6.14,664,7.66,5050
feb,7,6.14,664,7.66,5000
feb,8,6.14,664,7.66,5000
feb,9,6.14,664,7.66,5000
feb,10,6.14,664,7.66,5300
feb,11,6.14,664,7.66,5000
feb,12,6.14,664,7.66,5000
feb,13,6.14,664,7.66,5150
feb,14,6.14,664,7.66,5000
feb,15,6.14,664,7.66,5000
feb,16,6.14,664,7.66,5050
feb,17,6.14,664,7.66,5000
feb,18,6.14,664,7.66,5000
feb,19,6.14,664,7.66,5000
feb,20,6.14,664,7.66,4750
feb,1,6.1,557,6.76,4600
feb,2,6.1,557,6.76,4600
feb,3,6.1,557,6.76,4500
feb,4,6.1,557,6.76,4500
feb,5,6.1,557,6.76,4700
feb,6,6.1,557,6.76,4700
feb,7,6.1,557,6.76,4800
feb,8,6.1,557,6.76,4800
feb,9,6.1,557,6.76,4800
feb,10,6.1,557,6.76,4250
feb,11,6.1,557,6.76,4800
feb,12,6.1,557,6.76,4800
feb,13,6.1,557,6.76,4850
feb,14,6.1,557,6.76,4500
feb,15,6.1,557,6.76,4700
feb,16,6.1,557,6.76,4750
feb,17,6.1,557,6.76,4850
feb,18,6.1,557,6.76,4400
feb,19,6.1,557,6.76,4500
feb,20,6.1,557,6.76,4800
