month,date,area_sown,yield,inflation,price
jan,1,5.74,563,5.87,5100
jan,2,5.74,563,5.87,5000
jan,3,5.74,563,5.87,5100
jan,4,5.74,563,5.87,5200
jan,5,5.74,563,5.87,5100
jan,6,5.74,563,5.87,5100
jan,7,5.74,563,5.87,5200
jan,8,5.74,563,5.87,5100
jan,9,5.74,563,5.87,5200
jan,10,5.74,563,5.87,4900
jan,11,5.74,563,5.87,4900
jan,12,5.74,563,5.87,4900
jan,13,5.74,563,5.87,5200
jan,14,5.74,563,5.87,5100
jan,15,5.74,563,5.87,5100
jan,16,5.74,563,5.87,5100
jan,17,5.74,563,5.87,5100
jan,18,5.74,563,5.87,5000
jan,19,5.74,563,5.87,5200
jan,20,5.74,563,5.87,5300
jan,1,5.63,544,4.94,4100
jan,2,5.63,544,4.94,4150
jan,3,5.63,544,4.94,4075
jan,4,5.63,544,4.94,4150
jan,5,5.63,544,4.94,4050
jan,6,5.63,544,4.94,4050
jan,7,5.63,544,4.94,4075
jan,8,5.63,544,4.94,4100
jan,9,5.63,544,4.94,4050
jan,10,5.63,544,4.94,4100
jan,11,5.63,544,4.94,4150
jan,12,5.63,544,4.94,4150
jan,13,5.63,544,4.94,4150
jan,14,5.63,544,4.94,4150
jan,15,5.63,544,4.94,4050
jan,16,5.63,544,4.94,4050
jan,17,5.63,544,4.94,4100
jan,18,5.63,544,4.94,4050
jan,19,5.63,544,4.94,4050
jan,20,5.63,544,4.94,4150
jan,1,5.99,582,2.94,5100
jan,2,5.99,582,2.94,5000
jan,3,5.99,582,2.94,5100
jan,4,5.99,582,2.94,5200
jan,5,5.99,582,2.94,5100
jan,6,5.99,582,2.94,5100
jan,7,5.99,582,2.94,5200
jan,8,5.99,582,2.94,5100
jan,9,5.99,582,2.94,5200
jan,10,5.99,582,2.94,4900
jan,11,5.99,582,2.94,4900
jan,12,5.99,582,2.94,4900
jan,13,5.99,582,2.94,5200
jan,14,5.99,582,2.94,5100
jan,15,5.99,582,2.94,5100
jan,16,5.99,582,2.94,5100
jan,17,5.99,582,2.94,5100
jan,18,5.99,582,2.94,5000
jan,19,5.99,582,2.94,5200
jan,20,5.99,582,2.94,5300
jan,1,6.03,624,4.86,4600
jan,2,6.03,624,4.86,4800
jan,3,6.03,624,4.86,4900
jan,4,6.03,624,4.86,4600
jan,5,6.03,624,4.86,4900
jan,6,6.03,624,4.86,4800
jan,7,6.03,624,4.86,4700
jan,8,6.03,624,4.86,4700
jan,9,6.03,624,4.86,4900
jan,10,6.03,624,4.86,4300
jan,11,6.03,624,4.86,4400
jan,12,6.03,624,4.86,4400
jan,13,6.03,624,4.86,4600
jan,14,6.03,624,4.86,4600
jan,15,6.03,624,4.86,4400
jan,16,6.03,624,4.86,4500
jan,17,6.03,624,4.86,4600
jan,18,6.03,624,4.86,4900
jan,19,6.03,624,4.86,4700
jan,20,6.03,624,4.86,4500
jan,1,6.14,664,7.66,5200
jan,2,6.14,664,7.66,5000
jan,3,6.14,664,7.66,5200
jan,4,6.14,664,7.66,5100
jan,5,6.14,664,7.66,5200
jan,6,6.14,664,7.66,5100
jan,7,6.14,664,7.66,5200
jan,8,6.14,664,7.66,5200
jan,9,6.14,664,7.66,5300
jan,10,6.14,664,7.66,5200
jan,11,6.14,664,7.66,5200
jan,12,6.14,664,7.66,5100
jan,13,6.14,664,7.66,5000
jan,14,6.14,664,7.66,5100
jan,15,6.14,664,7.66,5100
jan,16,6.14,664,7.66,5000
jan,17,6.14,664,7.66,5000
jan,18,6.14,664,7.66,5100
jan,19,6.14,664,7.66,5300
jan,20,6.14,664,7.66,5100
jan,1,6.1,557,6.76,4800
jan,2,6.1,557,6.76,4800
jan,3,6.1,557,6.76,4700
jan,4,6.1,557,6.76,4600
jan,5,6.1,557,6.76,4700
jan,6,6.1,557,6.76,4800
jan,7,6.1,557,6.76,4800
jan,8,6.1,557,6.76,4800
jan,9,6.1,557,6.76,4800
jan,10,6.1,557,6.76,4600
jan,11,6.1,557,6.76,4800
jan,12,6.1,557,6.76,5000
jan,13,6.1,557,6.76,4800
jan,14,6.1,557,6.76,4700
jan,15,6.1,557,6.76,4800
jan,16,6.1,557,6.76,4800
jan,17,6.1,557,6.76,4600
jan,18,6.1,557,6.76,4700
jan,19,6.1,557,6.76,4700
jan,20,6.1,557,6.76,4600
