month,date,price
april,1,3750
april,2,3750
april,3,3750
april,4,3750
april,5,4000
april,6,4000
april,7,3750
april,8,3750
april,9,3750
april,10,3750
april,11,3750
april,12,3750
april,13,3750
april,14,3750
april,15,3750
april,16,3750
april,17,3750
april,18,4000
april,19,4000
april,20,4000
april,1,3175
april,2,3000
april,3,3800
april,4,2800
april,5,3200
april,6,3000
april,7,3800
april,8,3800
april,9,3800
april,10,3800
april,11,3500
april,12,3800
april,13,3500
april,14,3800
april,15,4500
april,16,3800
april,17,3500
april,18,3800
april,19,3800
april,20,3800
april,1,5400
april,2,5500
april,3,5455
april,4,5500
april,5,5400
april,6,5340
april,7,5375
april,8,5600
april,9,5600
april,10,5600
april,11,5400
april,12,5485
april,13,5400
april,14,5485
april,15,5500
april,16,5385
april,17,5400
april,18,5250
april,19,5400
april,20,5250
april,1,4150
april,2,4300
april,3,4000
april,4,4000
april,5,4425
april,6,4085
april,7,4200
april,8,4125
april,9,4315
april,10,4440
april,11,4875
april,12,4275
april,13,4500
april,14,4565
april,15,4500
april,16,4000
april,17,4000
april,18,3900
april,19,3950
april,20,3600
april,1,5705
april,2,5770
april,3,5800
april,4,5895
april,5,6200
april,6,5500
april,7,6290
april,8,6230
april,9,5755
april,10,6000
april,11,5750
april,12,6200
april,13,6195
april,14,5605
april,15,5900
april,16,6600
april,17,5425
april,18,6150
april,19,5855
april,20,5800
