month,date,price
feb,1,3750
feb,2,3750
feb,3,3750
feb,4,3750
feb,5,3750
feb,6,3750
feb,7,3750
feb,8,3800
feb,9,3821
feb,10,3750
feb,11,3750
feb,12,3810
feb,13,3750
feb,14,3750
feb,15,3750
feb,16,3750
feb,17,3750
feb,18,3750
feb,19,3750
feb,20,3750
feb,1,4400
feb,2,4250
feb,3,4250
feb,4,4300
feb,5,4300
feb,6,4300
feb,7,4460
feb,8,4455
feb,9,4000
feb,10,4000
feb,11,4320
feb,12,4400
feb,13,4430
feb,14,4425
feb,15,4000
feb,16,4375
feb,17,4400
feb,18,4000
feb,19,4405
feb,20,4400
feb,1,5475
feb,2,5300
feb,3,5300
feb,4,5200
feb,5,5200
feb,6,5000
feb,7,5200
feb,8,5000
feb,9,5525
feb,10,5350
feb,11,5300
feb,12,5500
feb,13,5000
feb,14,5200
feb,15,5300
feb,16,5200
feb,17,5300
feb,18,5200
feb,19,4900
feb,20,5300
feb,1,4670
feb,2,4700
feb,3,4690
feb,4,4200
feb,5,4500
feb,6,4650
feb,7,4645
feb,8,4400
feb,9,4675
feb,10,4700
feb,11,5200
feb,12,4700
feb,13,4200
feb,14,4700
feb,15,4650
feb,16,4700
feb,17,4500
feb,18,4400
feb,19,4700
feb,20,4500
feb,1,5330
feb,2,5400
feb,3,5320
feb,4,5300
feb,5,5300
feb,6,5280
feb,7,5325
feb,8,5300
feb,9,5300
feb,10,5270
feb,11,5275
feb,12,5225
feb,13,5325
feb,14,5280
feb,15,5400
feb,16,5320
feb,17,5320
feb,18,5280
feb,19,5250
feb,20,5270
feb,1,4721
feb,2,4850
feb,3,4700
feb,4,4800
feb,5,4800
feb,6,4951
feb,7,4961
feb,8,4575
feb,9,4800
feb,10,4625
feb,11,4700
feb,12,4680
feb,13,5000
feb,14,4625
feb,15,4700
feb,16,4800
feb,17,4611
feb,18,4650
feb,19,4600
feb,20,4700
