month,date,price
jan,1,3945
jan,2,4000
jan,3,3800
jan,4,3900
jan,5,3750
jan,6,3960
jan,7,3820
jan,8,3845
jan,9,3750
jan,10,3800
jan,11,4000
jan,12,3750
jan,13,3805
jan,14,3805
jan,15,3750
jan,16,3750
jan,17,3750
jan,18,3750
jan,19,3750
jan,20,3750
jan,1,4490
jan,2,4425
jan,3,4000
jan,4,4550
jan,5,4400
jan,6,4350
jan,7,4505
jan,8,4225
jan,9,4100
jan,10,4400
jan,11,4380
jan,12,4315
jan,13,4200
jan,14,4400
jan,15,4095
jan,16,4255
jan,17,4400
jan,18,4490
jan,19,4475
jan,20,4475
jan,1,4600
jan,2,4800
jan,3,4700
jan,4,4900
jan,5,5000
jan,6,5375
jan,7,4950
jan,8,5000
jan,9,5000
jan,10,5290
jan,11,5280
jan,12,5300
jan,13,5000
jan,14,5300
jan,15,5000
jan,16,5200
jan,17,5270
jan,18,5300
jan,19,5000
jan,20,5000
jan,1,4500
jan,2,4800
jan,3,4700
jan,4,4600
jan,5,4600
jan,6,4100
jan,7,4450
jan,8,4500
jan,9,4800
jan,10,4500
jan,11,4800
jan,12,4400
jan,13,5100
jan,14,4800
jan,15,4880
jan,16,4650
jan,17,4800
jan,18,4720
jan,19,3800
jan,20,4650
jan,1,5210
jan,2,5310
jan,3,5250
jan,4,5262
jan,5,5320
jan,6,5300
jan,7,5330
jan,8,5320
jan,9,5300
jan,10,5220
jan,11,5230
jan,12,5200
jan,13,5280
jan,14,5165
jan,15,5200
jan,16,5220
jan,17,5280
jan,18,5280
jan,19,5500
jan,20,5280
jan,1,4752
jan,2,5028
jan,3,5785
jan,4,4712
jan,5,5813
jan,6,4842
jan,7,4863
jan,8,5071
jan,9,5119
jan,10,5398
jan,11,5131
jan,12,5138
jan,13,5007
jan,14,5804
jan,15,5327
jan,16,4800
jan,17,4800
jan,18,4405
jan,19,5316
jan,20,4543
