month,date,area_sown,yield,inflation,price
march,1,5.63,544,4.94,3750
march,2,5.63,544,4.94,3750
march,3,5.63,544,4.94,3750
march,4,5.63,544,4.94,3750
march,5,5.63,544,4.94,3750
march,6,5.63,544,4.94,3750
march,7,5.63,544,4.94,3750
march,8,5.63,544,4.94,3750
march,9,5.63,544,4.94,3750
march,10,5.63,544,4.94,3750
march,11,5.63,544,4.94,3750
march,12,5.63,544,4.94,3750
march,13,5.63,544,4.94,3750
march,14,5.63,544,4.94,3750
march,15,5.63,544,4.94,3750
march,16,5.63,544,4.94,3750
march,17,5.63,544,4.94,3750
march,18,5.63,544,4.94,3750
march,19,5.63,544,4.94,3750
march,20,5.63,544,4.94,3750
march,1,5.99,582,2.94,4500
march,2,5.99,582,2.94,4000
march,3,5.99,582,2.94,3800
march,4,5.99,582,2.94,4350
march,5,5.99,582,2.94,4300
march,6,5.99,582,2.94,3905
march,7,5.99,582,2.94,4000
march,8,5.99,582,2.94,3775
march,9,5.99,582,2.94,3350
march,10,5.99,582,2.94,3800
march,11,5.99,582,2.94,3500
march,12,5.99,582,2.94,3575
march,13,5.99,582,2.94,3500
march,14,5.99,582,2.94,3500
march,15,5.99,582,2.94,3500
march,16,5.99,582,2.94,4500
march,17,5.99,582,2.94,4200
march,18,5.99,582,2.94,3876
march,19,5.99,582,2.94,3698
march,20,5.99,582,2.94,3800
march,1,6.03,624,4.86,5675
march,2,6.03,624,4.86,5500
march,3,6.03,624,4.86,5700
march,4,6.03,624,4.86,5600
march,5,6.03,624,4.86,5700
march,6,6.03,624,4.86,5400
march,7,6.03,624,4.86,5750
march,8,6.03,624,4.86,5785
march,9,6.03,624,4.86,5600
march,10,6.03,624,4.86,5665
march,11,6.03,624,4.86,5450
march,12,6.03,624,4.86,5400
march,13,6.03,624,4.86,5485
march,14,6.03,624,4.86,5350
march,15,6.03,624,4.86,5400
march,16,6.03,624,4.86,5450
march,17,6.03,624,4.86,5500
march,18,6.03,624,4.86,5375
march,19,6.03,624,4.86,5465
march,20,6.03,624,4.86,5450
march,1,6.14,664,7.66,4650
march,2,6.14,664,7.66,4800
march,3,6.14,664,7.66,4800
march,4,6.14,664,7.66,4725
march,5,6.14,664,7.66,4700
march,6,6.14,664,7.66,4500
march,7,6.14,664,7.66,4620
march,8,6.14,664,7.66,4300
march,9,6.14,664,7.66,4800
march,10,6.14,664,7.66,4600
march,11,6.14,664,7.66,4600
march,12,6.14,664,7.66,4650
march,13,6.14,664,7.66,4600
march,14,6.14,664,7.66,4550
march,15,6.14,664,7.66,4700
march,16,6.14,664,7.66,4530
march,17,6.14,664,7.66,4200
march,18,6.14,664,7.66,4100
march,19,6.14,664,7.66,4535
march,20,6.14,664,7.66,4515
march,1,6.1,557,6.76,5250
march,2,6.1,557,6.76,5280
march,3,6.1,557,6.76,5250
march,4,6.1,557,6.76,5205
march,5,6.1,557,6.76,5320
march,6,6.1,557,6.76,5280
march,7,6.1,557,6.76,5205
march,8,6.1,557,6.76,5500
march,9,6.1,557,6.76,5405
march,10,6.1,557,6.76,5420
march,11,6.1,557,6.76,5415
march,12,6.1,557,6.76,5370
march,13,6.1,557,6.76,5375
march,14,6.1,557,6.76,5550
march,15,6.1,557,6.76,5114
march,16,6.1,557,6.76,5550
march,17,6.1,557,6.76,5455
march,18,6.1,557,6.76,5525
march,19,6.1,557,6.76,5850
march,20,6.1,557,6.76,5610
