month,date,area_sown,yield,inflation,price
may,1,5.74,563,5.87,3750
may,2,5.74,563,5.87,3750
may,3,5.74,563,5.87,3750
may,4,5.74,563,5.87,3750
may,5,5.74,563,5.87,3750
may,6,5.74,563,5.87,3750
may,7,5.74,563,5.87,3750
may,8,5.74,563,5.87,3750
may,9,5.74,563,5.87,4000
may,10,5.74,563,5.87,4000
may,11,5.74,563,5.87,4000
may,12,5.74,563,5.87,3750
may,13,5.74,563,5.87,3750
may,14,5.74,563,5.87,4000
may,15,5.74,563,5.87,3750
may,16,5.74,563,5.87,3900
may,17,5.74,563,5.87,3900
may,18,5.74,563,5.87,3750
may,19,5.74,563,5.87,3750
may,20,5.74,563,5.87,3750
may,1,5.63,544,4.94,4800
may,2,5.63,544,4.94,4900
may,3,5.63,544,4.94,4750
may,4,5.63,544,4.94,4800
may,5,5.63,544,4.94,4850
may,6,5.63,544,4.94,4800
may,7,5.63,544,4.94,4650
may,8,5.63,544,4.94,4650
may,9,5.63,544,4.94,4650
may,10,5.63,544,4.94,4700
may,11,5.63,544,4.94,4850
may,12,5.63,544,4.94,4500
may,13,5.63,544,4.94,4800
may,14,5.63,544,4.94,4700
may,15,5.63,544,4.94,4750
may,16,5.63,544,4.94,4850
may,17,5.63,544,4.94,4850
may,18,5.63,544,4.94,4400
may,19,5.63,544,4.94,4550
may,20,5.63,544,4.94,4700
may,1,5.99,582,2.94,5300
may,2,5.99,582,2.94,5000
may,3,5.99,582,2.94,5100
may,4,5.99,582,2.94,5000
may,5,5.99,582,2.94,5000
may,6,5.99,582,2.94,5000
may,7,5.99,582,2.94,4950
may,8,5.99,582,2.94,5000
may,9,5.99,582,2.94,4950
may,10,5.99,582,2.94,4800
may,11,5.99,582,2.94,5000
may,12,5.99,582,2.94,4500
may,13,5.99,582,2.94,4900
may,14,5.99,582,2.94,4950
may,15,5.99,582,2.94,5100
may,16,5.99,582,2.94,5000
may,17,5.99,582,2.94,4850
may,18,5.99,582,2.94,5000
may,19,5.99,582,2.94,4980
may,20,5.99,582,2.94,4980
may,1,6.03,624,4.86,3700
may,2,6.03,624,4.86,4875
may,3,6.03,624,4.86,3900
may,4,6.03,624,4.86,3900
may,5,6.03,624,4.86,3750
may,6,6.03,624,4.86,3650
may,7,6.03,624,4.86,4150
may,8,6.03,624,4.86,3800
may,9,6.03,624,4.86,3500
may,10,6.03,624,4.86,3650
may,11,6.03,624,4.86,3650
may,12,6.03,624,4.86,3800
may,13,6.03,624,4.86,3900
may,14,6.03,624,4.86,3600
may,15,6.03,624,4.86,3800
may,16,6.03,624,4.86,4500
may,17,6.03,624,4.86,3900
may,18,6.03,624,4.86,3900
may,19,6.03,624,4.86,4500
may,20,6.03,624,4.86,4500
may,1,6.14,664,7.66,5400
may,2,6.14,664,7.66,5490
may,3,6.14,664,7.66,5250
may,4,6.14,664,7.66,5590
may,5,6.14,664,7.66,5900
may,6,6.14,664,7.66,5800
may,7,6.14,664,7.66,5420
may,8,6.14,664,7.66,6300
may,9,6.14,664,7.66,5415
may,10,6.14,664,7.66,6033
may,11,6.14,664,7.66,5375
may,12,6.14,664,7.66,5606
may,13,6.14,664,7.66,5200
may,14,6.14,664,7.66,5150
may,15,6.14,664,7.66,5400
may,16,6.14,664,7.66,5635
may,17,6.14,664,7.66,5200
may,18,6.14,664,7.66,5200
may,19,6.14,664,7.66,5200
may,20,6.14,664,7.66,5200
may,1,6.1,557,6.76,4000
may,2,6.1,557,6.76,3000
may,3,6.1,557,6.76,3000
may,4,6.1,557,6.76,3000
may,5,6.1,557,6.76,3000
may,6,6.1,557,6.76,3000
may,7,6.1,557,6.76,4000
may,8,6.1,557,6.76,3000
may,9,6.1,557,6.76,3000
may,10,6.1,557,6.76,3000
may,11,6.1,557,6.76,3000
may,12,6.1,557,6.76,3000
may,13,6.1,557,6.76,4000
may,14,6.1,557,6.76,3000
may,15,6.1,557,6.76,3000
may,16,6.1,557,6.76,3000
may,17,6.1,557,6.76,3000
may,18,6.1,557,6.76,3000
may,19,6.1,557,6.76,3019.607843
may,20,6.1,557,6.76,3004.127967
