month,date,area_sown,yield,inflation,price
dec,1,6.03,624,4.86,4025
dec,2,6.03,624,4.86,4025
dec,3,6.03,624,4.86,4025
dec,4,6.03,624,4.86,4015
dec,5,6.03,624,4.86,4025
dec,6,6.03,624,4.86,4125
dec,7,6.03,624,4.86,4025
dec,8,6.03,624,4.86,4050
dec,9,6.03,624,4.86,4050
dec,10,6.03,624,4.86,4050
dec,11,6.03,624,4.86,4050
dec,12,6.03,624,4.86,4150
dec,13,6.03,624,4.86,4150
dec,14,6.03,624,4.86,4175
dec,15,6.03,624,4.86,4150
dec,16,6.03,624,4.86,4200
dec,17,6.03,624,4.86,4250
dec,18,6.03,624,4.86,4250
dec,19,6.03,624,4.86,4250
dec,20,6.03,624,4.86,4300
dec,1,6.14,664,7.66,4855
dec,2,6.14,664,7.66,4850
dec,3,6.14,664,7.66,4915
dec,4,6.14,664,7.66,4960
dec,5,6.14,664,7.66,4950
dec,6,6.14,664,7.66,4980
dec,7,6.14,664,7.66,4900
dec,8,6.14,664,7.66,4925
dec,9,6.14,664,7.66,4865
dec,10,6.14,664,7.66,4925
dec,11,6.14,664,7.66,4925
dec,12,6.14,664,7.66,5050
dec,13,6.14,664,7.66,5000
dec,14,6.14,664,7.66,5050
dec,15,6.14,664,7.66,5000
dec,16,6.14,664,7.66,5000
dec,17,6.14,664,7.66,5000
dec,18,6.14,664,7.66,4950
dec,19,6.14,664,7.66,4950
dec,20,6.14,664,7.66,5050
dec,1,6.1,557,6.76,5750
dec,2,6.1,557,6.76,5675
dec,3,6.1,557,6.76,5680
dec,4,6.1,557,6.76,5425
dec,5,6.1,557,6.76,5425
dec,6,6.1,557,6.76,5450
dec,7,6.1,557,6.76,5510
dec,8,6.1,557,6.76,5500
dec,9,6.1,557,6.76,5550
dec,10,6.1,557,6.76,5560
dec,11,6.1,557,6.76,5550
dec,12,6.1,557,6.76,5530
dec,13,6.1,557,6.76,5525
dec,14,6.1,557,6.76,5500
dec,15,6.1,557,6.76,5510
dec,16,6.1,557,6.76,5500
dec,17,6.1,557,6.76,5500
dec,18,6.1,557,6.76,5400
dec,19,6.1,557,6.76,5500
dec,20,6.1,557,6.76,5370
