month,date,price
feb,1,3850
feb,2,3860
feb,3,3870
feb,4,3825
feb,5,3862
feb,6,3875
feb,7,3825
feb,8,3850
feb,9,3825
feb,10,3875
feb,11,3705
feb,12,3762
feb,13,3700
feb,14,3710
feb,15,3825
feb,16,3825
feb,17,3755
feb,18,3800
feb,19,3775
feb,20,3800
feb,1,4425
feb,2,4475
feb,3,4557
feb,4,4325
feb,5,4300
feb,6,4370
feb,7,4355
feb,8,4250
feb,9,4300
feb,10,4275
feb,11,4267
feb,12,4312
feb,13,4212
feb,14,4212
feb,15,4227
feb,16,4387
feb,17,4350
feb,18,4227
feb,19,4150
feb,20,4380
feb,1,5450
feb,2,5540
feb,3,5550
feb,4,5600
feb,5,5625
feb,6,5550
feb,7,5550
feb,8,5510
feb,9,5500
feb,10,5525
feb,11,5550
feb,12,5500
feb,13,5400
feb,14,5475
feb,15,5475
feb,16,5450
feb,17,5375
feb,18,5425
feb,19,5305
feb,20,5355
feb,1,4800
feb,2,4800
feb,3,4850
feb,4,4800
feb,5,4850
feb,6,4800
feb,7,4925
feb,8,4750
feb,9,4950
feb,10,4850
feb,11,4950
feb,12,4800
feb,13,4860
feb,14,4750
feb,15,4800
feb,16,4800
feb,17,4675
feb,18,4711
feb,19,4750
feb,20,4640
feb,1,5325
feb,2,5311
feb,3,5325
feb,4,5325
feb,5,5325
feb,6,5350
feb,7,5150
feb,8,5350
feb,9,5375
feb,10,5380
feb,11,5300
feb,12,5300
feb,13,5425
feb,14,5325
feb,15,5300
feb,16,5275
feb,17,5200
feb,18,5200
feb,19,5390
feb,20,5325
feb,1,5060
feb,2,5060
feb,3,5035
feb,4,5005
feb,5,5215
feb,6,5165
feb,7,4910
feb,8,5195
feb,9,5180
feb,10,5185
feb,11,4973
feb,12,5000
feb,13,5180
feb,14,5000
feb,15,5060
feb,16,4960
feb,17,4915
feb,18,4950
feb,19,5000
feb,20,5350
