month,date,area_sown,yield,inflation,price
jan,1,5.74,563,5.87,3930
jan,2,5.74,563,5.87,4010
jan,3,5.74,563,5.87,3960
jan,4,5.74,563,5.87,4035
jan,5,5.74,563,5.87,3990
jan,6,5.74,563,5.87,3955
jan,7,5.74,563,5.87,3970
jan,8,5.74,563,5.87,3925
jan,9,5.74,563,5.87,3925
jan,10,5.74,563,5.87,3910
jan,11,5.74,563,5.87,3910
jan,12,5.74,563,5.87,3830
jan,13,5.74,563,5.87,3825
jan,14,5.74,563,5.87,3875
jan,15,5.74,563,5.87,3875
jan,16,5.74,563,5.87,3875
jan,17,5.74,563,5.87,3775
jan,18,5.74,563,5.87,3875
jan,19,5.74,563,5.87,3875
jan,20,5.74,563,5.87,3775
jan,1,5.63,544,4.94,4598
jan,2,5.63,544,4.94,4550
jan,3,5.63,544,4.94,4700
jan,4,5.63,544,4.94,4712
jan,5,5.63,544,4.94,4670
jan,6,5.63,544,4.94,4600
jan,7,5.63,544,4.94,4612
jan,8,5.63,544,4.94,4537
jan,9,5.63,544,4.94,4487
jan,10,5.63,544,4.94,4462
jan,11,5.63,544,4.94,4512
jan,12,5.63,544,4.94,4485
jan,13,5.63,544,4.94,4287
jan,14,5.63,544,4.94,4480
jan,15,5.63,544,4.94,4425
jan,16,5.63,544,4.94,4500
jan,17,5.63,544,4.94,4475
jan,18,5.63,544,4.94,4595
jan,19,5.63,544,4.94,4495
jan,20,5.63,544,4.94,4425
jan,1,5.99,582,2.94,5100
jan,2,5.99,582,2.94,5070
jan,3,5.99,582,2.94,5190
jan,4,5.99,582,2.94,5275
jan,5,5.99,582,2.94,5275
jan,6,5.99,582,2.94,5230
jan,7,5.99,582,2.94,5350
jan,8,5.99,582,2.94,5350
jan,9,5.99,582,2.94,5420
jan,10,5.99,582,2.94,5400
jan,11,5.99,582,2.94,5455
jan,12,5.99,582,2.94,5475
jan,13,5.99,582,2.94,5425
jan,14,5.99,582,2.94,5350
jan,15,5.99,582,2.94,5350
jan,16,5.99,582,2.94,5250
jan,17,5.99,582,2.94,5350
jan,18,5.99,582,2.94,5450
jan,19,5.99,582,2.94,5480
jan,20,5.99,582,2.94,5450
jan,1,6.03,624,4.86,5125
jan,2,6.03,624,4.86,5100
jan,3,6.03,624,4.86,5100
jan,4,6.03,624,4.86,5000
jan,5,6.03,624,4.86,5100
jan,6,6.03,624,4.86,5070
jan,7,6.03,624,4.86,5080
jan,8,6.03,624,4.86,5080
jan,9,6.03,624,4.86,5085
jan,10,6.03,624,4.86,5100
jan,11,6.03,624,4.86,5000
jan,12,6.03,624,4.86,5050
jan,13,6.03,624,4.86,5100
jan,14,6.03,624,4.86,5100
jan,15,6.03,624,4.86,5050
jan,16,6.03,624,4.86,5100
jan,17,6.03,624,4.86,5050
jan,18,6.03,624,4.86,5050
jan,19,6.03,624,4.86,5050
jan,20,6.03,624,4.86,5000
jan,1,6.14,664,7.66,5500
jan,2,6.14,664,7.66,5470
jan,3,6.14,664,7.66,5500
jan,4,6.14,664,7.66,5450
jan,5,6.14,664,7.66,5500
jan,6,6.14,664,7.66,5500
jan,7,6.14,664,7.66,5500
jan,8,6.14,664,7.66,5500
jan,9,6.14,664,7.66,5490
jan,10,6.14,664,7.66,5400
jan,11,6.14,664,7.66,5425
jan,12,6.14,664,7.66,5425
jan,13,6.14,664,7.66,5325
jan,14,6.14,664,7.66,5425
jan,15,6.14,664,7.66,5325
jan,16,6.14,664,7.66,5350
jan,17,6.14,664,7.66,5250
jan,18,6.14,664,7.66,5350
jan,19,6.14,664,7.66,5430
jan,20,6.14,664,7.66,5300
jan,1,6.1,557,6.76,4895
jan,2,6.1,557,6.76,5070
jan,3,6.1,557,6.76,5025
jan,4,6.1,557,6.76,4900
jan,5,6.1,557,6.76,5000
jan,6,6.1,557,6.76,5050
jan,7,6.1,557,6.76,4900
jan,8,6.1,557,6.76,4900
jan,9,6.1,557,6.76,5011
jan,10,6.1,557,6.76,5045
jan,11,6.1,557,6.76,5075
jan,12,6.1,557,6.76,5025
jan,13,6.1,557,6.76,5000
jan,14,6.1,557,6.76,4310
jan,15,6.1,557,6.76,4811
jan,16,6.1,557,6.76,4900
jan,17,6.1,557,6.76,4750
jan,18,6.1,557,6.76,4800
jan,19,6.1,557,6.76,4811
jan,20,6.1,557,6.76,4850
