month,date,area_sown,yield,inflation,price
nov,1,6.03,624,4.86,3937
nov,2,6.03,624,4.86,3900
nov,3,6.03,624,4.86,3962
nov,4,6.03,624,4.86,3987
nov,5,6.03,624,4.86,3937
nov,6,6.03,624,4.86,3937
nov,7,6.03,624,4.86,3875
nov,8,6.03,624,4.86,3860
nov,9,6.03,624,4.86,3855
nov,10,6.03,624,4.86,3862
nov,11,6.03,624,4.86,3962
nov,12,6.03,624,4.86,3962
nov,13,6.03,624,4.86,3950
nov,14,6.03,624,4.86,3975
nov,15,6.03,624,4.86,4025
nov,16,6.03,624,4.86,3930
nov,17,6.03,624,4.86,4012
nov,18,6.03,624,4.86,3950
nov,19,6.03,624,4.86,4000
nov,20,6.03,624,4.86,4015
nov,1,6.14,664,7.66,4752
nov,2,6.14,664,7.66,4750
nov,3,6.14,664,7.66,4750
nov,4,6.14,664,7.66,4840
nov,5,6.14,664,7.66,4837
nov,6,6.14,664,7.66,4823
nov,7,6.14,664,7.66,4835
nov,8,6.14,664,7.66,4900
nov,9,6.14,664,7.66,4900
nov,10,6.14,664,7.66,4960
nov,11,6.14,664,7.66,4805
nov,12,6.14,664,7.66,4900
nov,13,6.14,664,7.66,4960
nov,14,6.14,664,7.66,4970
nov,15,6.14,664,7.66,4875
nov,16,6.14,664,7.66,4850
nov,17,6.14,664,7.66,4900
nov,18,6.14,664,7.66,4880
nov,19,6.14,664,7.66,4850
nov,20,6.14,664,7.66,4850
nov,1,6.1,557,6.76,5850
nov,2,6.1,557,6.76,5800
nov,3,6.1,557,6.76,5850
nov,4,6.1,557,6.76,5750
nov,5,6.1,557,6.76,5800
nov,6,6.1,557,6.76,5711
nov,7,6.1,557,6.76,5675
nov,8,6.1,557,6.76,5750
nov,9,6.1,557,6.76,5695
nov,10,6.1,557,6.76,5750
nov,11,6.1,557,6.76,5785
nov,12,6.1,557,6.76,5740
nov,13,6.1,557,6.76,5775
nov,14,6.1,557,6.76,5725
nov,15,6.1,557,6.76,5750
nov,16,6.1,557,6.76,5760
nov,17,6.1,557,6.76,5725
nov,18,6.1,557,6.76,5700
nov,19,6.1,557,6.76,5750
nov,20,6.1,557,6.76,5675
