month,date,area_sown,yield,inflation,price
dec,1,6.03,624,4.86,4050
dec,2,6.03,624,4.86,4050
dec,3,6.03,624,4.86,4050
dec,4,6.03,624,4.86,4000
dec,5,6.03,624,4.86,4090
dec,6,6.03,624,4.86,4060
dec,7,6.03,624,4.86,4080
dec,8,6.03,624,4.86,4050
dec,9,6.03,624,4.86,4120
dec,10,6.03,624,4.86,4170
dec,11,6.03,624,4.86,4170
dec,12,6.03,624,4.86,4300
dec,13,6.03,624,4.86,4400
dec,14,6.03,624,4.86,4450
dec,15,6.03,624,4.86,4450
dec,16,6.03,624,4.86,4450
dec,17,6.03,624,4.86,4400
dec,18,6.03,624,4.86,4500
dec,19,6.03,624,4.86,4600
dec,20,6.03,624,4.86,4600
dec,1,6.14,664,7.66,4900
dec,2,6.14,664,7.66,4850
dec,3,6.14,664,7.66,4975
dec,4,6.14,664,7.66,4950
dec,5,6.14,664,7.66,4950
dec,6,6.14,664,7.66,4950
dec,7,6.14,664,7.66,4880
dec,8,6.14,664,7.66,4800
dec,9,6.14,664,7.66,4850
dec,10,6.14,664,7.66,4850
dec,11,6.14,664,7.66,5000
dec,12,6.14,664,7.66,4850
dec,13,6.14,664,7.66,4850
dec,14,6.14,664,7.66,4850
dec,15,6.14,664,7.66,4980
dec,16,6.14,664,7.66,4950
dec,17,6.14,664,7.66,5000
dec,18,6.14,664,7.66,5000
dec,19,6.14,664,7.66,4950
dec,20,6.14,664,7.66,5000
dec,1,6.1,557,6.76,5200
dec,2,6.1,557,6.76,5250
dec,3,6.1,557,6.76,5250
dec,4,6.1,557,6.76,5200
dec,5,6.1,557,6.76,5200
dec,6,6.1,557,6.76,5241
dec,7,6.1,557,6.76,5250
dec,8,6.1,557,6.76,5350
dec,9,6.1,557,6.76,5350
dec,10,6.1,557,6.76,5300
dec,11,6.1,557,6.76,5300
dec,12,6.1,557,6.76,5450
dec,13,6.1,557,6.76,5350
dec,14,6.1,557,6.76,5300
dec,15,6.1,557,6.76,5380
dec,16,6.1,557,6.76,5400
dec,17,6.1,557,6.76,5300
dec,18,6.1,557,6.76,5450
dec,19,6.1,557,6.76,5450
dec,20,6.1,557,6.76,5200
