month,date,area_sown,yield,inflation,price
feb,1,5.74,563,5.87,3860
feb,2,5.74,563,5.87,3860
feb,3,5.74,563,5.87,3860
feb,4,5.74,563,5.87,3850
feb,5,5.74,563,5.87,3850
feb,6,5.74,563,5.87,3800
feb,7,5.74,563,5.87,3860
feb,8,5.74,563,5.87,3860
feb,9,5.74,563,5.87,3900
feb,10,5.74,563,5.87,3860
feb,11,5.74,563,5.87,3860
feb,12,5.74,563,5.87,3800
feb,13,5.74,563,5.87,3860
feb,14,5.74,563,5.87,3860
feb,15,5.74,563,5.87,3860
feb,16,5.74,563,5.87,3860
feb,17,5.74,563,5.87,3950
feb,18,5.74,563,5.87,3900
feb,19,5.74,563,5.87,3860
feb,20,5.74,563,5.87,3850
feb,1,5.63,544,4.94,4600
feb,2,5.63,544,4.94,4600
feb,3,5.63,544,4.94,4600
feb,4,5.63,544,4.94,4600
feb,5,5.63,544,4.94,4650
feb,6,5.63,544,4.94,4550
feb,7,5.63,544,4.94,4375
feb,8,5.63,544,4.94,4500
feb,9,5.63,544,4.94,4500
feb,10,5.63,544,4.94,4500
feb,11,5.63,544,4.94,4500
feb,12,5.63,544,4.94,3800
feb,13,5.63,544,4.94,4500
feb,14,5.63,544,4.94,4500
feb,15,5.63,544,4.94,4680
feb,16,5.63,544,4.94,4500
feb,17,5.63,544,4.94,4600
feb,18,5.63,544,4.94,3690
feb,19,5.63,544,4.94,4600
feb,20,5.63,544,4.94,4600
feb,1,5.99,582,2.94,5555
feb,2,5.99,582,2.94,5520
feb,3,5.99,582,2.94,5500
feb,4,5.99,582,2.94,5530
feb,5,5.99,582,2.94,5520
feb,6,5.99,582,2.94,5550
feb,7,5.99,582,2.94,5550
feb,8,5.99,582,2.94,5550
feb,9,5.99,582,2.94,5550
feb,10,5.99,582,2.94,5550
feb,11,5.99,582,2.94,5500
feb,12,5.99,582,2.94,5550
feb,13,5.99,582,2.94,5560
feb,14,5.99,582,2.94,5525
feb,15,5.99,582,2.94,5525
feb,16,5.99,582,2.94,5700
feb,17,5.99,582,2.94,5700
feb,18,5.99,582,2.94,5560
feb,19,5.99,582,2.94,5700
feb,20,5.99,582,2.94,5700
feb,1,6.03,624,4.86,4750
feb,2,6.03,624,4.86,4750
feb,3,6.03,624,4.86,4800
feb,4,6.03,624,4.86,4880
feb,5,6.03,624,4.86,4850
feb,6,6.03,624,4.86,4850
feb,7,6.03,624,4.86,4880
feb,8,6.03,624,4.86,4725
feb,9,6.03,624,4.86,4720
feb,10,6.03,624,4.86,4755
feb,11,6.03,624,4.86,4725
feb,12,6.03,624,4.86,4755
feb,13,6.03,624,4.86,4995
feb,14,6.03,624,4.86,4800
feb,15,6.03,624,4.86,4800
feb,16,6.03,624,4.86,4800
feb,17,6.03,624,4.86,4780
feb,18,6.03,624,4.86,4790
feb,19,6.03,624,4.86,4750
feb,20,6.03,624,4.86,4750
feb,1,6.14,664,7.66,5375
feb,2,6.14,664,7.66,5340
feb,3,6.14,664,7.66,5335
feb,4,6.14,664,7.66,5310
feb,5,6.14,664,7.66,5285
feb,6,6.14,664,7.66,5310
feb,7,6.14,664,7.66,5300
feb,8,6.14,664,7.66,5320
feb,9,6.14,664,7.66,5320
feb,10,6.14,664,7.66,5325
feb,11,6.14,664,7.66,5315
feb,12,6.14,664,7.66,5330
feb,13,6.14,664,7.66,5315
feb,14,6.14,664,7.66,5310
feb,15,6.14,664,7.66,5320
feb,16,6.14,664,7.66,5320
feb,17,6.14,664,7.66,5300
feb,18,6.14,664,7.66,5290
feb,19,6.14,664,7.66,5285
feb,20,6.14,664,7.66,5215
feb,1,6.1,557,6.76,4795
feb,2,6.1,557,6.76,4795
feb,3,6.1,557,6.76,5341
feb,4,6.1,557,6.76,5341
feb,5,6.1,557,6.76,5000
feb,6,6.1,557,6.76,5401
feb,7,6.1,557,6.76,5341
feb,8,6.1,557,6.76,5401
feb,9,6.1,557,6.76,5341
feb,10,6.1,557,6.76,5232
feb,11,6.1,557,6.76,5301
feb,12,6.1,557,6.76,4825
feb,13,6.1,557,6.76,5360
feb,14,6.1,557,6.76,4710
feb,15,6.1,557,6.76,5301
feb,16,6.1,557,6.76,5301
feb,17,6.1,557,6.76,5301
feb,18,6.1,557,6.76,5301
feb,19,6.1,557,6.76,5250
feb,20,6.1,557,6.76,5301
