month,date,area_sown,yield,inflation,price
jan,1,5.74,563,5.87,3850
jan,2,5.74,563,5.87,3950
jan,3,5.74,563,5.87,3850
jan,4,5.74,563,5.87,3800
jan,5,5.74,563,5.87,3850
jan,6,5.74,563,5.87,3850
jan,7,5.74,563,5.87,3800
jan,8,5.74,563,5.87,3670
jan,9,5.74,563,5.87,3800
jan,10,5.74,563,5.87,3800
jan,11,5.74,563,5.87,3800
jan,12,5.74,563,5.87,3800
jan,13,5.74,563,5.87,3800
jan,14,5.74,563,5.87,3800
jan,15,5.74,563,5.87,3545
jan,16,5.74,563,5.87,3550
jan,17,5.74,563,5.87,3700
jan,18,5.74,563,5.87,3700
jan,19,5.74,563,5.87,3860
jan,20,5.74,563,5.87,3860
jan,1,5.63,544,4.94,4800
jan,2,5.63,544,4.94,4650
jan,3,5.63,544,4.94,4735
jan,4,5.63,544,4.94,4650
jan,5,5.63,544,4.94,4500
jan,6,5.63,544,4.94,4500
jan,7,5.63,544,4.94,4500
jan,8,5.63,544,4.94,4500
jan,9,5.63,544,4.94,4500
jan,10,5.63,544,4.94,4600
jan,11,5.63,544,4.94,4500
jan,12,5.63,544,4.94,4500
jan,13,5.63,544,4.94,4550
jan,14,5.63,544,4.94,4600
jan,15,5.63,544,4.94,4650
jan,16,5.63,544,4.94,4600
jan,17,5.63,544,4.94,4600
jan,18,5.63,544,4.94,4550
jan,19,5.63,544,4.94,4600
jan,20,5.63,544,4.94,4600
jan,1,5.99,582,2.94,5200
jan,2,5.99,582,2.94,5220
jan,3,5.99,582,2.94,5200
jan,4,5.99,582,2.94,5100
jan,5,5.99,582,2.94,5250
jan,6,5.99,582,2.94,5250
jan,7,5.99,582,2.94,5350
jan,8,5.99,582,2.94,5320
jan,9,5.99,582,2.94,5325
jan,10,5.99,582,2.94,5200
jan,11,5.99,582,2.94,5275
jan,12,5.99,582,2.94,5300
jan,13,5.99,582,2.94,5350
jan,14,5.99,582,2.94,5400
jan,15,5.99,582,2.94,5350
jan,16,5.99,582,2.94,5525
jan,17,5.99,582,2.94,5600
jan,18,5.99,582,2.94,5555
jan,19,5.99,582,2.94,5550
jan,20,5.99,582,2.94,5555
jan,1,6.03,624,4.86,5153
jan,2,6.03,624,4.86,5150
jan,3,6.03,624,4.86,5120
jan,4,6.03,624,4.86,5160
jan,5,6.03,624,4.86,5050
jan,6,6.03,624,4.86,5050
jan,7,6.03,624,4.86,5000
jan,8,6.03,624,4.86,5050
jan,9,6.03,624,4.86,5000
jan,10,6.03,624,4.86,5030
jan,11,6.03,624,4.86,5060
jan,12,6.03,624,4.86,5125
jan,13,6.03,624,4.86,5125
jan,14,6.03,624,4.86,5100
jan,15,6.03,624,4.86,5020
jan,16,6.03,624,4.86,5020
jan,17,6.03,624,4.86,5055
jan,18,6.03,624,4.86,5060
jan,19,6.03,624,4.86,5025
jan,20,6.03,624,4.86,5010
jan,1,6.14,664,7.66,5450
jan,2,6.14,664,7.66,5360
jan,3,6.14,664,7.66,5390
jan,4,6.14,664,7.66,5400
jan,5,6.14,664,7.66,5400
jan,6,6.14,664,7.66,5400
jan,7,6.14,664,7.66,5380
jan,8,6.14,664,7.66,5265
jan,9,6.14,664,7.66,5290
jan,10,6.14,664,7.66,5375
jan,11,6.14,664,7.66,5370
jan,12,6.14,664,7.66,5375
jan,13,6.14,664,7.66,5370
jan,14,6.14,664,7.66,5360
jan,15,6.14,664,7.66,5310
jan,16,6.14,664,7.66,5340
jan,17,6.14,664,7.66,5350
jan,18,6.14,664,7.66,5390
jan,19,6.14,664,7.66,5390
jan,20,6.14,664,7.66,5375
jan,1,6.1,557,6.76,5070
jan,2,6.1,557,6.76,5050
jan,3,6.1,557,6.76,5000
jan,4,6.1,557,6.76,5050
jan,5,6.1,557,6.76,5090
jan,6,6.1,557,6.76,5080
jan,7,6.1,557,6.76,5095
jan,8,6.1,557,6.76,5075
jan,9,6.1,557,6.76,5180
jan,10,6.1,557,6.76,5000
jan,11,6.1,557,6.76,5190
jan,12,6.1,557,6.76,5160
jan,13,6.1,557,6.76,5140
jan,14,6.1,557,6.76,5050
jan,15,6.1,557,6.76,5100
jan,16,6.1,557,6.76,5396
jan,17,6.1,557,6.76,5100
jan,18,6.1,557,6.76,5341
jan,19,6.1,557,6.76,5080
jan,20,6.1,557,6.76,5060
