month,date,area_sown,yield,inflation,price
may,1,5.63,544,4.94,3940
may,2,5.63,544,4.94,4115
may,3,5.63,544,4.94,4030
may,4,5.63,544,4.94,4165
may,5,5.63,544,4.94,4145
may,6,5.63,544,4.94,4095
may,7,5.63,544,4.94,4060
may,8,5.63,544,4.94,4055
may,9,5.63,544,4.94,4035
may,10,5.63,544,4.94,3990
may,11,5.63,544,4.94,4005
may,12,5.63,544,4.94,3930
may,13,5.63,544,4.94,3860
may,14,5.63,544,4.94,3860
may,15,5.63,544,4.94,3890
may,16,5.63,544,4.94,3900
may,17,5.63,544,4.94,3900
may,18,5.63,544,4.94,3940
may,19,5.63,544,4.94,3785
may,20,5.63,544,4.94,3750
may,1,5.99,582,2.94,3850
may,2,5.99,582,2.94,3940
may,3,5.99,582,2.94,4055
may,4,5.99,582,2.94,4125
may,5,5.99,582,2.94,4000
may,6,5.99,582,2.94,4395
may,7,5.99,582,2.94,3775
may,8,5.99,582,2.94,3845
may,9,5.99,582,2.94,3905
may,10,5.99,582,2.94,3910
may,11,5.99,582,2.94,3785
may,12,5.99,582,2.94,3975
may,13,5.99,582,2.94,4000
may,14,5.99,582,2.94,3975
may,15,5.99,582,2.94,4065
may,16,5.99,582,2.94,4050
may,17,5.99,582,2.94,4950
may,18,5.99,582,2.94,3905
may,19,5.99,582,2.94,3760
may,20,5.99,582,2.94,3987
may,1,6.03,624,4.86,4075
may,2,6.03,624,4.86,4075
may,3,6.03,624,4.86,5190
may,4,6.03,624,4.86,5190
may,5,6.03,624,4.86,5190
may,6,6.03,624,4.86,4005
may,7,6.03,624,4.86,3900
may,8,6.03,624,4.86,4055
may,9,6.03,624,4.86,5400
may,10,6.03,624,4.86,4605
may,11,6.03,624,4.86,4070
may,12,6.03,624,4.86,4010
may,13,6.03,624,4.86,5200
may,14,6.03,624,4.86,4130
may,15,6.03,624,4.86,4090
may,16,6.03,624,4.86,4130
may,17,6.03,624,4.86,5250
may,18,6.03,624,4.86,5300
may,19,6.03,624,4.86,3900
may,20,6.03,624,4.86,3900
may,1,6.14,664,7.66,4750
may,2,6.14,664,7.66,4730
may,3,6.14,664,7.66,4760
may,4,6.14,664,7.66,4675
may,5,6.14,664,7.66,4775
may,6,6.14,664,7.66,4800
may,7,6.14,664,7.66,4800
may,8,6.14,664,7.66,4800
may,9,6.14,664,7.66,4800
may,10,6.14,664,7.66,4800
may,11,6.14,664,7.66,4700
may,12,6.14,664,7.66,4800
may,13,6.14,664,7.66,4800
may,14,6.14,664,7.66,4700
may,15,6.14,664,7.66,4800
may,16,6.14,664,7.66,4500
may,17,6.14,664,7.66,4500
may,18,6.14,664,7.66,4800
may,19,6.14,664,7.66,4500
may,20,6.14,664,7.66,4500
may,1,6.1,557,6.76,6200
may,2,6.1,557,6.76,6100
may,3,6.1,557,6.76,6085
may,4,6.1,557,6.76,6000
may,5,6.1,557,6.76,6150
may,6,6.1,557,6.76,6100
may,7,6.1,557,6.76,5900
may,8,6.1,557,6.76,5900
may,9,6.1,557,6.76,6050
may,10,6.1,557,6.76,5700
may,11,6.1,557,6.76,4950
may,12,6.1,557,6.76,5100
may,13,6.1,557,6.76,5850
may,14,6.1,557,6.76,5600
may,15,6.1,557,6.76,6000
may,16,6.1,557,6.76,5500
may,17,6.1,557,6.76,5700
may,18,6.1,557,6.76,5500
may,19,6.1,557,6.76,5800
may,20,6.1,557,6.76,5300
