month,date,area_sown,yield,inflation,price
nov,1,6.03,624,4.86,3975
nov,2,6.03,624,4.86,4050
nov,3,6.03,624,4.86,4090
nov,4,6.03,624,4.86,4050
nov,5,6.03,624,4.86,4050
nov,6,6.03,624,4.86,3900
nov,7,6.03,624,4.86,3850
nov,8,6.03,624,4.86,3800
nov,9,6.03,624,4.86,3900
nov,10,6.03,624,4.86,3625
nov,11,6.03,624,4.86,3850
nov,12,6.03,624,4.86,3800
nov,13,6.03,624,4.86,3900
nov,14,6.03,624,4.86,3950
nov,15,6.03,624,4.86,3950
nov,16,6.03,624,4.86,4050
nov,17,6.03,624,4.86,4070
nov,18,6.03,624,4.86,3900
nov,19,6.03,624,4.86,4050
nov,20,6.03,624,4.86,3925
nov,1,6.14,664,7.66,4500
nov,2,6.14,664,7.66,4750
nov,3,6.14,664,7.66,4750
nov,4,6.14,664,7.66,4750
nov,5,6.14,664,7.66,4750
nov,6,6.14,664,7.66,4600
nov,7,6.14,664,7.66,4000
nov,8,6.14,664,7.66,5000
nov,9,6.14,664,7.66,4800
nov,10,6.14,664,7.66,5120
nov,11,6.14,664,7.66,5050
nov,12,6.14,664,7.66,4900
nov,13,6.14,664,7.66,4895
nov,14,6.14,664,7.66,4800
nov,15,6.14,664,7.66,4750
nov,16,6.14,664,7.66,4860
nov,17,6.14,664,7.66,4875
nov,18,6.14,664,7.66,4930
nov,19,6.14,664,7.66,4900
nov,20,6.14,664,7.66,4850
nov,1,6.1,557,6.76,5370
nov,2,6.1,557,6.76,5300
nov,3,6.1,557,6.76,5400
nov,4,6.1,557,6.76,5450
nov,5,6.1,557,6.76,5500
nov,6,6.1,557,6.76,5550
nov,7,6.1,557,6.76,5375
nov,8,6.1,557,6.76,5400
nov,9,6.1,557,6.76,5400
nov,10,6.1,557,6.76,5400
nov,11,6.1,557,6.76,5400
nov,12,6.1,557,6.76,5325
nov,13,6.1,557,6.76,5375
nov,14,6.1,557,6.76,5425
nov,15,6.1,557,6.76,5350
nov,16,6.1,557,6.76,5250
nov,17,6.1,557,6.76,5300
nov,18,6.1,557,6.76,5200
nov,19,6.1,557,6.76,5250
nov,20,6.1,557,6.76,5250
