month,date,area_sown,yield,inflation,price
april,1,5.63,544,4.94,4030
april,2,5.63,544,4.94,3980
april,3,5.63,544,4.94,4200
april,4,5.63,544,4.94,4360
april,5,5.63,544,4.94,4300
april,6,5.63,544,4.94,4270
april,7,5.63,544,4.94,4300
april,8,5.63,544,4.94,4295
april,9,5.63,544,4.94,4275
april,10,5.63,544,4.94,4280
april,11,5.63,544,4.94,4270
april,12,5.63,544,4.94,4260
april,13,5.63,544,4.94,4130
april,14,5.63,544,4.94,4170
april,15,5.63,544,4.94,4170
april,16,5.63,544,4.94,4100
april,17,5.63,544,4.94,4000
april,18,5.63,544,4.94,4045
april,19,5.63,544,4.94,4150
april,20,5.63,544,4.94,4190
april,1,5.99,582,2.94,4155
april,2,5.99,582,2.94,4300
april,3,5.99,582,2.94,4300
april,4,5.99,582,2.94,4290
april,5,5.99,582,2.94,4165
april,6,5.99,582,2.94,4275
april,7,5.99,582,2.94,4130
april,8,5.99,582,2.94,4240
april,9,5.99,582,2.94,4160
april,10,5.99,582,2.94,4215
april,11,5.99,582,2.94,4150
april,12,5.99,582,2.94,4285
april,13,5.99,582,2.94,4235
april,14,5.99,582,2.94,4085
april,15,5.99,582,2.94,4370
april,16,5.99,582,2.94,4510
april,17,5.99,582,2.94,4250
april,18,5.99,582,2.94,4320
april,19,5.99,582,2.94,4400
april,20,5.99,582,2.94,4295
april,1,6.03,624,4.86,5575
april,2,6.03,624,4.86,5225
april,3,6.03,624,4.86,5399
april,4,6.03,624,4.86,5225
april,5,6.03,624,4.86,5325
april,6,6.03,624,4.86,5280
april,7,6.03,624,4.86,5600
april,8,6.03,624,4.86,5500
april,9,6.03,624,4.86,4865
april,10,6.03,624,4.86,5590
april,11,6.03,624,4.86,5600
april,12,6.03,624,4.86,4730
april,13,6.03,624,4.86,4940
april,14,6.03,624,4.86,5750
april,15,6.03,624,4.86,4815
april,16,6.03,624,4.86,4360
april,17,6.03,624,4.86,4490
april,18,6.03,624,4.86,4500
april,19,6.03,624,4.86,4595
april,20,6.03,624,4.86,4580
april,1,6.14,664,7.66,4800
april,2,6.14,664,7.66,4889
april,3,6.14,664,7.66,4889
april,4,6.14,664,7.66,4855
april,5,6.14,664,7.66,4825
april,6,6.14,664,7.66,4800
april,7,6.14,664,7.66,4835
april,8,6.14,664,7.66,4835
april,9,6.14,664,7.66,4820
april,10,6.14,664,7.66,4820
april,11,6.14,664,7.66,4862
april,12,6.14,664,7.66,4871
april,13,6.14,664,7.66,4940
april,14,6.14,664,7.66,4940
april,15,6.14,664,7.66,4940
april,16,6.14,664,7.66,4850
april,17,6.14,664,7.66,4850
april,18,6.14,664,7.66,4850
april,19,6.14,664,7.66,4865
april,20,6.14,664,7.66,4850
april,1,6.1,557,6.76,5310
april,2,6.1,557,6.76,5600
april,3,6.1,557,6.76,5800
april,4,6.1,557,6.76,5830
april,5,6.1,557,6.76,5800
april,6,6.1,557,6.76,5800
april,7,6.1,557,6.76,5880
april,8,6.1,557,6.76,5750
april,9,6.1,557,6.76,5470
april,10,6.1,557,6.76,5760
april,11,6.1,557,6.76,5690
april,12,6.1,557,6.76,6230
april,13,6.1,557,6.76,5880
april,14,6.1,557,6.76,5690
april,15,6.1,557,6.76,5800
april,16,6.1,557,6.76,5790
april,17,6.1,557,6.76,6145
april,18,6.1,557,6.76,5500
april,19,6.1,557,6.76,5980
april,20,6.1,557,6.76,5925
