month,date,area_sown,yield,inflation,price
jan,1,5.74,563,5.87,3950
jan,2,5.74,563,5.87,4000
jan,3,5.74,563,5.87,3975
jan,4,5.74,563,5.87,3951
jan,5,5.74,563,5.87,3951
jan,6,5.74,563,5.87,4000
jan,7,5.74,563,5.87,3950
jan,8,5.74,563,5.87,3951
jan,9,5.74,563,5.87,3901
jan,10,5.74,563,5.87,3940
jan,11,5.74,563,5.87,3900
jan,12,5.74,563,5.87,3900
jan,13,5.74,563,5.87,3950
jan,14,5.74,563,5.87,3951
jan,15,5.74,563,5.87,4000
jan,16,5.74,563,5.87,3675
jan,17,5.74,563,5.87,3925
jan,18,5.74,563,5.87,3900
jan,19,5.74,563,5.87,3925
jan,20,5.74,563,5.87,3900
jan,1,5.63,544,4.94,4700
jan,2,5.63,544,4.94,4710
jan,3,5.63,544,4.94,4770
jan,4,5.63,544,4.94,4695
jan,5,5.63,544,4.94,4550
jan,6,5.63,544,4.94,4575
jan,7,5.63,544,4.94,4200
jan,8,5.63,544,4.94,4600
jan,9,5.63,544,4.94,4550
jan,10,5.63,544,4.94,4595
jan,11,5.63,544,4.94,4560
jan,12,5.63,544,4.94,4505
jan,13,5.63,544,4.94,4500
jan,14,5.63,544,4.94,4500
jan,15,5.63,544,4.94,4400
jan,16,5.63,544,4.94,4450
jan,17,5.63,544,4.94,4550
jan,18,5.63,544,4.94,4530
jan,19,5.63,544,4.94,4445
jan,20,5.63,544,4.94,4450
jan,1,5.99,582,2.94,5155
jan,2,5.99,582,2.94,5250
jan,3,5.99,582,2.94,5350
jan,4,5.99,582,2.94,5275
jan,5,5.99,582,2.94,5325
jan,6,5.99,582,2.94,5300
jan,7,5.99,582,2.94,5355
jan,8,5.99,582,2.94,5350
jan,9,5.99,582,2.94,5431
jan,10,5.99,582,2.94,5390
jan,11,5.99,582,2.94,5400
jan,12,5.99,582,2.94,5400
jan,13,5.99,582,2.94,5330
jan,14,5.99,582,2.94,5330
jan,15,5.99,582,2.94,5450
jan,16,5.99,582,2.94,5505
jan,17,5.99,582,2.94,5440
jan,18,5.99,582,2.94,5400
jan,19,5.99,582,2.94,5540
jan,20,5.99,582,2.94,5555
jan,1,6.03,624,4.86,5060
jan,2,6.03,624,4.86,5035
jan,3,6.03,624,4.86,5110
jan,4,6.03,624,4.86,4990
jan,5,6.03,624,4.86,4950
jan,6,6.03,624,4.86,4975
jan,7,6.03,624,4.86,4980
jan,8,6.03,624,4.86,4950
jan,9,6.03,624,4.86,4940
jan,10,6.03,624,4.86,5125
jan,11,6.03,624,4.86,4890
jan,12,6.03,624,4.86,4860
jan,13,6.03,624,4.86,4895
jan,14,6.03,624,4.86,4890
jan,15,6.03,624,4.86,4680
jan,16,6.03,624,4.86,4820
jan,17,6.03,624,4.86,4780
jan,18,6.03,624,4.86,4850
jan,19,6.03,624,4.86,4775
jan,20,6.03,624,4.86,4846
jan,1,6.14,664,7.66,5340
jan,2,6.14,664,7.66,5355
jan,3,6.14,664,7.66,5350
jan,4,6.14,664,7.66,5375
jan,5,6.14,664,7.66,5375
jan,6,6.14,664,7.66,5370
jan,7,6.14,664,7.66,5360
jan,8,6.14,664,7.66,5365
jan,9,6.14,664,7.66,5350
jan,10,6.14,664,7.66,5340
jan,11,6.14,664,7.66,5340
jan,12,6.14,664,7.66,5265
jan,13,6.14,664,7.66,5290
jan,14,6.14,664,7.66,5295
jan,15,6.14,664,7.66,5320
jan,16,6.14,664,7.66,5295
jan,17,6.14,664,7.66,5305
jan,18,6.14,664,7.66,5305
jan,19,6.14,664,7.66,5375
jan,20,6.14,664,7.66,5325
jan,1,6.1,557,6.76,4980
jan,2,6.1,557,6.76,4990
jan,3,6.1,557,6.76,4970
jan,4,6.1,557,6.76,5020
jan,5,6.1,557,6.76,4970
jan,6,6.1,557,6.76,5000
jan,7,6.1,557,6.76,5050
jan,8,6.1,557,6.76,4950
jan,9,6.1,557,6.76,4900
jan,10,6.1,557,6.76,5030
jan,11,6.1,557,6.76,4990
jan,12,6.1,557,6.76,4970
jan,13,6.1,557,6.76,4900
jan,14,6.1,557,6.76,4890
jan,15,6.1,557,6.76,4925
jan,16,6.1,557,6.76,4990
jan,17,6.1,557,6.76,5000
jan,18,6.1,557,6.76,4990
jan,19,6.1,557,6.76,5000
jan,20,6.1,557,6.76,4950
