month,date,area_sown,yield,inflation,price
march,1,5.74,563,5.87,3650
march,2,5.74,563,5.87,3751
march,3,5.74,563,5.87,3682
march,4,5.74,563,5.87,3751
march,5,5.74,563,5.87,3665
march,6,5.74,563,5.87,3652
march,7,5.74,563,5.87,3675
march,8,5.74,563,5.87,3681
march,9,5.74,563,5.87,3681
march,10,5.74,563,5.87,3696
march,11,5.74,563,5.87,3722
march,12,5.74,563,5.87,3699
march,13,5.74,563,5.87,3725
march,14,5.74,563,5.87,3725
march,15,5.74,563,5.87,3750
march,16,5.74,563,5.87,3700
march,17,5.74,563,5.87,3850
march,18,5.74,563,5.87,3955
march,19,5.74,563,5.87,3750
march,20,5.74,563,5.87,3905
march,1,5.63,544,4.94,4475
march,2,5.63,544,4.94,4490
march,3,5.63,544,4.94,4475
march,4,5.63,544,4.94,4495
march,5,5.63,544,4.94,4490
march,6,5.63,544,4.94,4490
march,7,5.63,544,4.94,4540
march,8,5.63,544,4.94,4345
march,9,5.63,544,4.94,4450
march,10,5.63,544,4.94,4295
march,11,5.63,544,4.94,4295
march,12,5.63,544,4.94,4300
march,13,5.63,544,4.94,4315
march,14,5.63,544,4.94,4290
march,15,5.63,544,4.94,4345
march,16,5.63,544,4.94,4300
march,17,5.63,544,4.94,4000
march,18,5.63,544,4.94,4300
march,19,5.63,544,4.94,4070
march,20,5.63,544,4.94,4230
march,1,5.99,582,2.94,5645
march,2,5.99,582,2.94,5750
march,3,5.99,582,2.94,5760
march,4,5.99,582,2.94,5830
march,5,5.99,582,2.94,5825
march,6,5.99,582,2.94,5850
march,7,5.99,582,2.94,5780
march,8,5.99,582,2.94,5820
march,9,5.99,582,2.94,4905
march,10,5.99,582,2.94,5755
march,11,5.99,582,2.94,5655
march,12,5.99,582,2.94,5730
march,13,5.99,582,2.94,5800
march,14,5.99,582,2.94,5700
march,15,5.99,582,2.94,5730
march,16,5.99,582,2.94,5745
march,17,5.99,582,2.94,5705
march,18,5.99,582,2.94,5745
march,19,5.99,582,2.94,5751
march,20,5.99,582,2.94,5675
march,1,6.03,624,4.86,4870
march,2,6.03,624,4.86,4851
march,3,6.03,624,4.86,4851
march,4,6.03,624,4.86,4851
march,5,6.03,624,4.86,4851
march,6,6.03,624,4.86,4840
march,7,6.03,624,4.86,4840
march,8,6.03,624,4.86,4776
march,9,6.03,624,4.86,4893
march,10,6.03,624,4.86,4885
march,11,6.03,624,4.86,4885
march,12,6.03,624,4.86,4850
march,13,6.03,624,4.86,4850
march,14,6.03,624,4.86,4830
march,15,6.03,624,4.86,4881
march,16,6.03,624,4.86,4822
march,17,6.03,624,4.86,4840
march,18,6.03,624,4.86,4840
march,19,6.03,624,4.86,4750
march,20,6.03,624,4.86,4750
march,1,6.14,664,7.66,5255
march,2,6.14,664,7.66,5290
march,3,6.14,664,7.66,5220
march,4,6.14,664,7.66,5340
march,5,6.14,664,7.66,5325
march,6,6.14,664,7.66,5360
march,7,6.14,664,7.66,5375
march,8,6.14,664,7.66,5355
march,9,6.14,664,7.66,5385
march,10,6.14,664,7.66,5350
march,11,6.14,664,7.66,5430
march,12,6.14,664,7.66,5535
march,13,6.14,664,7.66,5595
march,14,6.14,664,7.66,5530
march,15,6.14,664,7.66,5615
march,16,6.14,664,7.66,5650
march,17,6.14,664,7.66,5270
march,18,6.14,664,7.66,5300
march,19,6.14,664,7.66,5590
march,20,6.14,664,7.66,5595
march,1,6.1,557,6.76,4000
march,2,6.1,557,6.76,4575
march,3,6.1,557,6.76,4560
march,4,6.1,557,6.76,4390
march,5,6.1,557,6.76,4280
march,6,6.1,557,6.76,4305
march,7,6.1,557,6.76,4550
march,8,6.1,557,6.76,4740
march,9,6.1,557,6.76,4270
march,10,6.1,557,6.76,4290
march,11,6.1,557,6.76,4000
march,12,6.1,557,6.76,4575
march,13,6.1,557,6.76,4560
march,14,6.1,557,6.76,4390
march,15,6.1,557,6.76,4280
march,16,6.1,557,6.76,4305
march,17,6.1,557,6.76,4550
march,18,6.1,557,6.76,4740
march,19,6.1,557,6.76,4270
march,20,6.1,557,6.76,4290
