month,date,area_sown,yield,inflation,price
may,1,5.63,544,4.94,4200
may,2,5.63,544,4.94,4180
may,3,5.63,544,4.94,4125
may,4,5.63,544,4.94,4100
may,5,5.63,544,4.94,4150
may,6,5.63,544,4.94,4000
may,7,5.63,544,4.94,4035
may,8,5.63,544,4.94,3900
may,9,5.63,544,4.94,3940
may,10,5.63,544,4.94,3940
may,11,5.63,544,4.94,3850
may,12,5.63,544,4.94,3860
may,13,5.63,544,4.94,3850
may,14,5.63,544,4.94,3840
may,15,5.63,544,4.94,3811
may,16,5.63,544,4.94,3820
may,17,5.63,544,4.94,3800
may,18,5.63,544,4.94,3785
may,19,5.63,544,4.94,3820
may,20,5.63,544,4.94,3750
may,1,5.99,582,2.94,4635
may,2,5.99,582,2.94,4500
may,3,5.99,582,2.94,4475
may,4,5.99,582,2.94,4415
may,5,5.99,582,2.94,4305
may,6,5.99,582,2.94,4440
may,7,5.99,582,2.94,4350
may,8,5.99,582,2.94,4300
may,9,5.99,582,2.94,4300
may,10,5.99,582,2.94,4300
may,11,5.99,582,2.94,4275
may,12,5.99,582,2.94,4380
may,13,5.99,582,2.94,4380
may,14,5.99,582,2.94,4290
may,15,5.99,582,2.94,4395
may,16,5.99,582,2.94,4420
may,17,5.99,582,2.94,4700
may,18,5.99,582,2.94,4150
may,19,5.99,582,2.94,4100
may,20,5.99,582,2.94,4100
may,1,6.03,624,4.86,4845
may,2,6.03,624,4.86,4845
may,3,6.03,624,4.86,4845
may,4,6.03,624,4.86,4845
may,5,6.03,624,4.86,4821
may,6,6.03,624,4.86,4821
may,7,6.03,624,4.86,4881
may,8,6.03,624,4.86,4800
may,9,6.03,624,4.86,4800
may,10,6.03,624,4.86,4857
may,11,6.03,624,4.86,4870
may,12,6.03,624,4.86,4930
may,13,6.03,624,4.86,4876
may,14,6.03,624,4.86,4876
may,15,6.03,624,4.86,4961
may,16,6.03,624,4.86,4961
may,17,6.03,624,4.86,4865
may,18,6.03,624,4.86,4800
may,19,6.03,624,4.86,5018
may,20,6.03,624,4.86,5018
may,1,6.14,664,7.66,5670
may,2,6.14,664,7.66,5790
may,3,6.14,664,7.66,5795
may,4,6.14,664,7.66,5715
may,5,6.14,664,7.66,4700
may,6,6.14,664,7.66,5890
may,7,6.14,664,7.66,6000
may,8,6.14,664,7.66,5750
may,9,6.14,664,7.66,5890
may,10,6.14,664,7.66,5925
may,11,6.14,664,7.66,5750
may,12,6.14,664,7.66,5750
may,13,6.14,664,7.66,5380
may,14,6.14,664,7.66,4850
may,15,6.14,664,7.66,5250
may,16,6.14,664,7.66,5600
may,17,6.14,664,7.66,5150
may,18,6.14,664,7.66,4940
may,19,6.14,664,7.66,5000
may,20,6.14,664,7.66,4940
may,1,6.1,557,6.76,5100
may,2,6.1,557,6.76,3300
may,3,6.1,557,6.76,5100
may,4,6.1,557,6.76,5141
may,5,6.1,557,6.76,5141
may,6,6.1,557,6.76,5141
may,7,6.1,557,6.76,5141
may,8,6.1,557,6.76,3600
may,9,6.1,557,6.76,5140
may,10,6.1,557,6.76,5100
may,11,6.1,557,6.76,3300
may,12,6.1,557,6.76,5100
may,13,6.1,557,6.76,5141
may,14,6.1,557,6.76,5141
may,15,6.1,557,6.76,5141
may,16,6.1,557,6.76,5141
may,17,6.1,557,6.76,3600
may,18,6.1,557,6.76,5140
may,19,6.1,557,6.76,4369.7
may,20,6.1,557,6.76,4215.4
