month,day,area_sown,yield,inflation,price
april,1,38,396,2.94,4475
april,2,38,396,2.94,4500
april,3,38,396,2.94,4675
april,4,38,396,2.94,4675
april,5,38,396,2.94,4675
april,6,38,396,2.94,4875
april,7,38,396,2.94,4800
april,8,38,396,2.94,4750
april,9,38,396,2.94,4875
april,10,38,396,2.94,4850
april,11,38,396,2.94,4850
april,12,38,396,2.94,4850
april,13,38,396,2.94,4850
april,14,38,396,2.94,4875
april,15,38,396,2.94,4800
april,16,38,396,2.94,4750
april,17,38,396,2.94,4875
april,18,38,396,2.94,4850
april,19,38,396,2.94,4850
april,20,38,396,2.94,4800
april,1,43.51,326,4.86,5400
april,2,43.51,326,4.86,5420
april,3,43.51,326,4.86,5500
april,4,43.51,326,4.86,5475
april,5,43.51,326,4.86,5375
april,6,43.51,326,4.86,5300
april,7,43.51,326,4.86,5350
april,8,43.51,326,4.86,5350
april,9,43.51,326,4.86,5150
april,10,43.51,326,4.86,5150
april,11,43.51,326,4.86,5115
april,12,43.51,326,4.86,5000
april,13,43.51,326,4.86,5200
april,14,43.51,326,4.86,5250
april,15,43.51,326,4.86,4900
april,16,43.51,326,4.86,4800
april,17,43.51,326,4.86,5000
april,18,43.51,326,4.86,5200
april,19,43.51,326,4.86,5250
april,20,43.51,326,4.86,4900
april,1,42.64,302,7.66,4525
april,2,42.64,302,7.66,4537
april,3,42.64,302,7.66,4563
april,4,42.64,302,7.66,4525
april,5,42.64,302,7.66,4550
april,6,42.64,302,7.66,4550
april,7,42.64,302,7.66,4587
april,8,42.64,302,7.66,4575
april,9,42.64,302,7.66,4575
april,10,42.64,302,7.66,4563
april,11,42.64,302,7.66,4563
april,12,42.64,302,7.66,4525
april,13,42.64,302,7.66,4525
april,14,42.64,302,7.66,4525
april,15,42.64,302,7.66,4550
april,16,42.64,302,7.66,4500
april,17,42.64,302,7.66,4450
april,18,42.64,302,7.66,4475
april,19,42.64,302,7.66,4475
april,20,42.64,302,7.66,4500
april,1,43.69,319,6.76,6075
april,2,43.69,319,6.76,6163
april,3,43.69,319,6.76,6225
april,4,43.69,319,6.76,6288
april,5,43.69,319,6.76,6250
april,6,43.69,319,6.76,6225
april,7,43.69,319,6.76,6150
april,8,43.69,319,6.76,6362
april,9,43.69,319,6.76,6175
april,10,43.69,319,6.76,6350
april,11,43.69,319,6.76,6288
april,12,43.69,319,6.76,6300
april,13,43.69,319,6.76,6300
april,14,43.69,319,6.76,6250
april,15,43.69,319,6.76,6275
april,16,43.69,319,6.76,6250
april,17,43.69,319,6.76,6225
april,18,43.69,319,6.76,6188
april,19,43.69,319,6.76,6200
april,20,43.69,319,6.76,6300
