month,day,price
feb,1,4612
feb,2,4625
feb,3,4635
feb,4,4587
feb,5,4550
feb,6,4525
feb,7,4475
feb,8,4460
feb,9,4525
feb,10,4425
feb,11,4425
feb,12,4475
feb,13,4500
feb,14,4475
feb,15,4450
feb,16,4475
feb,17,4450
feb,18,4450
feb,19,4450
feb,20,4450
feb,1,5630
feb,2,5675
feb,3,5800
feb,4,5763
feb,5,5675
feb,6,5638
feb,7,5638
feb,8,5675
feb,9,5738
feb,10,5650
feb,11,5675
feb,12,5675
feb,13,5650
feb,14,5525
feb,15,5750
feb,16,5662
feb,17,5675
feb,18,5738
feb,19,5650
feb,20,5675
feb,1,4525
feb,2,4500
feb,3,4600
feb,4,4550
feb,5,4575
feb,6,4600
feb,7,4563
feb,8,4625
feb,9,4525
feb,10,4600
feb,11,4550
feb,12,4562
feb,13,4550
feb,14,4575
feb,15,4600
feb,16,4575
feb,17,4575
feb,18,4500
feb,19,4525
feb,20,4500
feb,1,5405
feb,2,5400
feb,3,5450
feb,4,5325
feb,5,5375
feb,6,5375
feb,7,5388
feb,8,5388
feb,9,5363
feb,10,5313
feb,11,5350
feb,12,5300
feb,13,5345
feb,14,5363
feb,15,5363
feb,16,5312
feb,17,5325
feb,18,5300
feb,19,5362
feb,20,5375
feb,1,5100
feb,2,5100
feb,3,5100
feb,4,5100
feb,5,5100
feb,6,5100
feb,7,5100
feb,8,5100
feb,9,5100
feb,10,5100
feb,11,5100
feb,12,5100
feb,13,5100
feb,14,5150
feb,15,4963
feb,16,4987
feb,17,4950
feb,18,4950
feb,19,4950
feb,20,5100
