month,day,area_sown,yield,inflation,price
jan,1,42.07,307,4.94,4750
jan,2,42.07,307,4.94,4800
jan,3,42.07,307,4.94,4775
jan,4,42.07,307,4.94,4825
jan,5,42.07,307,4.94,4725
jan,6,42.07,307,4.94,4762
jan,7,42.07,307,4.94,4762
jan,8,42.07,307,4.94,4775
jan,9,42.07,307,4.94,4675
jan,10,42.07,307,4.94,4625
jan,11,42.07,307,4.94,4725
jan,12,42.07,307,4.94,4675
jan,13,42.07,307,4.94,4675
jan,14,42.07,307,4.94,4690
jan,15,42.07,307,4.94,4687
jan,16,42.07,307,4.94,4700
jan,17,42.07,307,4.94,4712
jan,18,42.07,307,4.94,4710
jan,19,42.07,307,4.94,4712
jan,20,42.07,307,4.94,4582
jan,1,38,396,2.94,5425
jan,2,38,396,2.94,5520
jan,3,38,396,2.94,5538
jan,4,38,396,2.94,5450
jan,5,38,396,2.94,5540
jan,6,38,396,2.94,5550
jan,7,38,396,2.94,5575
jan,8,38,396,2.94,5625
jan,9,38,396,2.94,5625
jan,10,38,396,2.94,5650
jan,11,38,396,2.94,5650
jan,12,38,396,2.94,5625
jan,13,38,396,2.94,5563
jan,14,38,396,2.94,5463
jan,15,38,396,2.94,5550
jan,16,38,396,2.94,5563
jan,17,38,396,2.94,5813
jan,18,38,396,2.94,5750
jan,19,38,396,2.94,5725
jan,20,38,396,2.94,5725
jan,1,43.51,326,4.86,4938
jan,2,43.51,326,4.86,4925
jan,3,43.51,326,4.86,4912
jan,4,43.51,326,4.86,4925
jan,5,43.51,326,4.86,4900
jan,6,43.51,326,4.86,4850
jan,7,43.51,326,4.86,4775
jan,8,43.51,326,4.86,4712
jan,9,43.51,326,4.86,4825
jan,10,43.51,326,4.86,4825
jan,11,43.51,326,4.86,4825
jan,12,43.51,326,4.86,4900
jan,13,43.51,326,4.86,4862
jan,14,43.51,326,4.86,4650
jan,15,43.51,326,4.86,4750
jan,16,43.51,326,4.86,4912
jan,17,43.51,326,4.86,4900
jan,18,43.51,326,4.86,4900
jan,19,43.51,326,4.86,4625
jan,20,43.51,326,4.86,4625
jan,1,42.64,302,7.66,5650
jan,2,42.64,302,7.66,5650
jan,3,42.64,302,7.66,5563
jan,4,42.64,302,7.66,5575
jan,5,42.64,302,7.66,5600
jan,6,42.64,302,7.66,5650
jan,7,42.64,302,7.66,5650
jan,8,42.64,302,7.66,5525
jan,9,42.64,302,7.66,5513
jan,10,42.64,302,7.66,5350
jan,11,42.64,302,7.66,5325
jan,12,42.64,302,7.66,5462
jan,13,42.64,302,7.66,5388
jan,14,42.64,302,7.66,5350
jan,15,42.64,302,7.66,5413
jan,16,42.64,302,7.66,5413
jan,17,42.64,302,7.66,5400
jan,18,42.64,302,7.66,5425
jan,19,42.64,302,7.66,5363
jan,20,42.64,302,7.66,5363
jan,1,43.69,319,6.76,5125
jan,2,43.69,319,6.76,5125
jan,3,43.69,319,6.76,5125
jan,4,43.69,319,6.76,5250
jan,5,43.69,319,6.76,5100
jan,6,43.69,319,6.76,5075
jan,7,43.69,319,6.76,5150
jan,8,43.69,319,6.76,5100
jan,9,43.69,319,6.76,5175
jan,10,43.69,319,6.76,5150
jan,11,43.69,319,6.76,5200
jan,12,43.69,319,6.76,5250
jan,13,43.69,319,6.76,5225
jan,14,43.69,319,6.76,5225
jan,15,43.69,319,6.76,5225
jan,16,43.69,319,6.76,5225
jan,17,43.69,319,6.76,5125
jan,18,43.69,319,6.76,5225
jan,19,43.69,319,6.76,5225
jan,20,43.69,319,6.76,5100
