month,day,area_sown,yield,inflation,price
may,1,42.07,307,4.94,4975
may,2,42.07,307,4.94,4987
may,3,42.07,307,4.94,4987
may,4,42.07,307,4.94,4987
may,5,42.07,307,4.94,4862
may,6,42.07,307,4.94,4925
may,7,42.07,307,4.94,4925
may,8,42.07,307,4.94,4925
may,9,42.07,307,4.94,4925
may,10,42.07,307,4.94,4975
may,11,42.07,307,4.94,4975
may,12,42.07,307,4.94,5025
may,13,42.07,307,4.94,5062
may,14,42.07,307,4.94,5160
may,15,42.07,307,4.94,5082
may,16,42.07,307,4.94,5175
may,17,42.07,307,4.94,5207
may,18,42.07,307,4.94,5250
may,19,42.07,307,4.94,5275
may,20,42.07,307,4.94,5375
may,1,38,396,2.94,4525
may,2,38,396,2.94,4537
may,3,38,396,2.94,4563
may,4,38,396,2.94,4525
may,5,38,396,2.94,4550
may,6,38,396,2.94,4550
may,7,38,396,2.94,4587
may,8,38,396,2.94,4575
may,9,38,396,2.94,4575
may,10,38,396,2.94,4563
may,11,38,396,2.94,4563
may,12,38,396,2.94,4525
may,13,38,396,2.94,4525
may,14,38,396,2.94,4525
may,15,38,396,2.94,4550
may,16,38,396,2.94,4500
may,17,38,396,2.94,4450
may,18,38,396,2.94,4475
may,19,38,396,2.94,4475
may,20,38,396,2.94,4500
may,1,43.51,326,4.86,4625
may,2,43.51,326,4.86,4525
may,3,43.51,326,4.86,4550
may,4,43.51,326,4.86,4550
may,5,43.51,326,4.86,4550
may,6,43.51,326,4.86,4550
may,7,43.51,326,4.86,4550
may,8,43.51,326,4.86,4575
may,9,43.51,326,4.86,4563
may,10,43.51,326,4.86,4550
may,11,43.51,326,4.86,4525
may,12,43.51,326,4.86,4525
may,13,43.51,326,4.86,4513
may,14,43.51,326,4.86,4550
may,15,43.51,326,4.86,4525
may,16,43.51,326,4.86,4550
may,17,43.51,326,4.86,4563
may,18,43.51,326,4.86,4575
may,19,43.51,326,4.86,4550
may,20,43.51,326,4.86,4525
may,1,42.64,302,7.66,6225
may,2,42.64,302,7.66,6187
may,3,42.64,302,7.66,6187
may,4,42.64,302,7.66,6175
may,5,42.64,302,7.66,6288
may,6,42.64,302,7.66,6265
may,7,42.64,302,7.66,6250
may,8,42.64,302,7.66,6138
may,9,42.64,302,7.66,6025
may,10,42.64,302,7.66,6100
may,11,42.64,302,7.66,6238
may,12,42.64,302,7.66,4800
may,13,42.64,302,7.66,6175
may,14,42.64,302,7.66,6250
may,15,42.64,302,7.66,6200
may,16,42.64,302,7.66,6250
may,17,42.64,302,7.66,6300
may,18,42.64,302,7.66,6250
may,19,42.64,302,7.66,6300
may,20,42.64,302,7.66,6250
may,1,43.69,319,6.76,5450
may,2,43.69,319,6.76,5450
may,3,43.69,319,6.76,5450
may,4,43.69,319,6.76,5450
may,5,43.69,319,6.76,5450
may,6,43.69,319,6.76,5450
may,7,43.69,319,6.76,5450
may,8,43.69,319,6.76,5450
may,9,43.69,319,6.76,5450
may,10,43.69,319,6.76,5450
may,11,43.69,319,6.76,5450
may,12,43.69,319,6.76,5450
may,13,43.69,319,6.76,5450
may,14,43.69,319,6.76,5450
may,15,43.69,319,6.76,5450
may,16,43.69,319,6.76,5450
may,17,43.69,319,6.76,5450
may,18,43.69,319,6.76,5450
may,19,43.69,319,6.76,5450
may,20,43.69,319,6.76,5450
