month,day,area_sown,yield,inflation,price
april,1,38,396,2.94,4475
april,2,38,396,2.94,4500
april,3,38,396,2.94,4675
april,4,38,396,2.94,4675
april,5,38,396,2.94,4675
april,6,38,396,2.94,4875
april,7,38,396,2.94,4800
april,8,38,396,2.94,4750
april,9,38,396,2.94,4875
april,10,38,396,2.94,4850
april,11,38,396,2.94,4850
april,12,38,396,2.94,4850
april,13,38,396,2.94,4850
april,14,38,396,2.94,4875
april,15,38,396,2.94,4800
april,16,38,396,2.94,4750
april,17,38,396,2.94,4875
april,18,38,396,2.94,4850
april,19,38,396,2.94,4850
april,20,38,396,2.94,4800
april,1,43.51,326,4.86,5400
april,2,43.51,326,4.86,5300
april,3,43.51,326,4.86,5300
april,4,43.51,326,4.86,5300
april,5,43.51,326,4.86,5200
april,6,43.51,326,4.86,5200
april,7,43.51,326,4.86,5200
april,8,43.51,326,4.86,5400
april,9,43.51,326,4.86,5100
april,10,43.51,326,4.86,5100
april,11,43.51,326,4.86,5200
april,12,43.51,326,4.86,5200
april,13,43.51,326,4.86,5100
april,14,43.51,326,4.86,5100
april,15,43.51,326,4.86,5100
april,16,43.51,326,4.86,5100
april,17,43.51,326,4.86,5000
april,18,43.51,326,4.86,5000
april,19,43.51,326,4.86,5000
april,20,43.51,326,4.86,5000
april,1,42.64,302,7.66,4800
april,2,42.64,302,7.66,4800
april,3,42.64,302,7.66,4800
april,4,42.64,302,7.66,4800
april,5,42.64,302,7.66,4800
april,6,42.64,302,7.66,4700
april,7,42.64,302,7.66,4900
april,8,42.64,302,7.66,4900
april,9,42.64,302,7.66,4900
april,10,42.64,302,7.66,4900
april,11,42.64,302,7.66,5000
april,12,42.64,302,7.66,4600
april,13,42.64,302,7.66,4600
april,14,42.64,302,7.66,5000
april,15,42.64,302,7.66,5000
april,16,42.64,302,7.66,5000
april,17,42.64,302,7.66,4800
april,18,42.64,302,7.66,4800
april,19,42.64,302,7.66,5000
april,20,42.64,302,7.66,5000
april,1,43.69,319,6.76,5800
april,2,43.69,319,6.76,5800
april,3,43.69,319,6.76,5900
april,4,43.69,319,6.76,5900
april,5,43.69,319,6.76,5900
april,6,43.69,319,6.76,5800
april,7,43.69,319,6.76,5900
april,8,43.69,319,6.76,5900
april,9,43.69,319,6.76,5900
april,10,43.69,319,6.76,6200
april,11,43.69,319,6.76,6300
april,12,43.69,319,6.76,6300
april,13,43.69,319,6.76,5900
april,14,43.69,319,6.76,6300
april,15,43.69,319,6.76,6400
april,16,43.69,319,6.76,6200
april,17,43.69,319,6.76,6300
april,18,43.69,319,6.76,6300
april,19,43.69,319,6.76,6300
april,20,43.69,319,6.76,6300
