month,day,area_sown,yield,inflation,price
jan,1,42.07,307,4.94,4425
jan,2,42.07,307,4.94,4400
jan,3,42.07,307,4.94,4500
jan,4,42.07,307,4.94,4350
jan,5,42.07,307,4.94,4450
jan,6,42.07,307,4.94,4150
jan,7,42.07,307,4.94,4200
jan,8,42.07,307,4.94,4200
jan,9,42.07,307,4.94,4250
jan,10,42.07,307,4.94,5150
jan,11,42.07,307,4.94,4250
jan,12,42.07,307,4.94,4425
jan,13,42.07,307,4.94,4400
jan,14,42.07,307,4.94,4500
jan,15,42.07,307,4.94,4350
jan,16,42.07,307,4.94,4450
jan,17,42.07,307,4.94,4150
jan,18,42.07,307,4.94,4200
jan,19,42.07,307,4.94,4112
jan,20,42.07,307,4.94,4258
jan,1,38,396,2.94,5100
jan,2,38,396,2.94,5125
jan,3,38,396,2.94,5300
jan,4,38,396,2.94,5300
jan,5,38,396,2.94,5300
jan,6,38,396,2.94,5350
jan,7,38,396,2.94,5400
jan,8,38,396,2.94,5400
jan,9,38,396,2.94,5400
jan,10,38,396,2.94,5400
jan,11,38,396,2.94,5400
jan,12,38,396,2.94,5400
jan,13,38,396,2.94,5300
jan,14,38,396,2.94,5100
jan,15,38,396,2.94,5125
jan,16,38,396,2.94,5300
jan,17,38,396,2.94,5300
jan,18,38,396,2.94,5300
jan,19,38,396,2.94,5350
jan,20,38,396,2.94,5300
jan,1,43.51,326,4.86,5000
jan,2,43.51,326,4.86,5000
jan,3,43.51,326,4.86,5000
jan,4,43.51,326,4.86,5000
jan,5,43.51,326,4.86,5000
jan,6,43.51,326,4.86,5000
jan,7,43.51,326,4.86,4900
jan,8,43.51,326,4.86,4900
jan,9,43.51,326,4.86,4900
jan,10,43.51,326,4.86,4900
jan,11,43.51,326,4.86,4900
jan,12,43.51,326,4.86,4900
jan,13,43.51,326,4.86,4900
jan,14,43.51,326,4.86,4950
jan,15,43.51,326,4.86,4950
jan,16,43.51,326,4.86,4950
jan,17,43.51,326,4.86,4950
jan,18,43.51,326,4.86,4900
jan,19,43.51,326,4.86,4950
jan,20,43.51,326,4.86,4900
jan,1,42.64,302,7.66,5400
jan,2,42.64,302,7.66,5500
jan,3,42.64,302,7.66,5500
jan,4,42.64,302,7.66,5600
jan,5,42.64,302,7.66,5500
jan,6,42.64,302,7.66,5600
jan,7,42.64,302,7.66,5600
jan,8,42.64,302,7.66,5600
jan,9,42.64,302,7.66,5600
jan,10,42.64,302,7.66,5600
jan,11,42.64,302,7.66,5600
jan,12,42.64,302,7.66,5600
jan,13,42.64,302,7.66,5600
jan,14,42.64,302,7.66,5600
jan,15,42.64,302,7.66,5600
jan,16,42.64,302,7.66,5600
jan,17,42.64,302,7.66,5600
jan,18,42.64,302,7.66,5600
jan,19,42.64,302,7.66,5550
jan,20,42.64,302,7.66,5550
jan,1,43.69,319,6.76,5000
jan,2,43.69,319,6.76,5000
jan,3,43.69,319,6.76,5100
jan,4,43.69,319,6.76,5100
jan,5,43.69,319,6.76,5100
jan,6,43.69,319,6.76,5100
jan,7,43.69,319,6.76,5100
jan,8,43.69,319,6.76,5150
jan,9,43.69,319,6.76,5100
jan,10,43.69,319,6.76,5100
jan,11,43.69,319,6.76,5100
jan,12,43.69,319,6.76,5100
jan,13,43.69,319,6.76,5100
jan,14,43.69,319,6.76,5100
jan,15,43.69,319,6.76,5100
jan,16,43.69,319,6.76,5100
jan,17,43.69,319,6.76,5100
jan,18,43.69,319,6.76,5100
jan,19,43.69,319,6.76,5100
jan,20,43.69,319,6.76,5100
