month,day,area_sown,yield,inflation,price
march,1,42.07,307,4.94,4511
march,2,42.07,307,4.94,4450
march,3,42.07,307,4.94,4400
march,4,42.07,307,4.94,4350
march,5,42.07,307,4.94,4400
march,6,42.07,307,4.94,4450
march,7,42.07,307,4.94,4400
march,8,42.07,307,4.94,4425
march,9,42.07,307,4.94,4425
march,10,42.07,307,4.94,4425
march,11,42.07,307,4.94,4400
march,12,42.07,307,4.94,4511
march,13,42.07,307,4.94,4450
march,14,42.07,307,4.94,4400
march,15,42.07,307,4.94,4350
march,16,42.07,307,4.94,4400
march,17,42.07,307,4.94,4450
march,18,42.07,307,4.94,4400
march,19,42.07,307,4.94,4425
march,20,42.07,307,4.94,4425
march,1,38,396,2.94,5300
march,2,38,396,2.94,5300
march,3,38,396,2.94,5300
march,4,38,396,2.94,5300
march,5,38,396,2.94,5300
march,6,38,396,2.94,5300
march,7,38,396,2.94,5200
march,8,38,396,2.94,5300
march,9,38,396,2.94,5300
march,10,38,396,2.94,5300
march,11,38,396,2.94,5300
march,12,38,396,2.94,5300
march,13,38,396,2.94,5300
march,14,38,396,2.94,5300
march,15,38,396,2.94,5300
march,16,38,396,2.94,5300
march,17,38,396,2.94,5300
march,18,38,396,2.94,5200
march,19,38,396,2.94,5200
march,20,38,396,2.94,5250
march,1,43.51,326,4.86,4750
march,2,43.51,326,4.86,4750
march,3,43.51,326,4.86,4750
march,4,43.51,326,4.86,4700
march,5,43.51,326,4.86,4700
march,6,43.51,326,4.86,4700
march,7,43.51,326,4.86,4700
march,8,43.51,326,4.86,4700
march,9,43.51,326,4.86,4700
march,10,43.51,326,4.86,4700
march,11,43.51,326,4.86,4700
march,12,43.51,326,4.86,4700
march,13,43.51,326,4.86,4700
march,14,43.51,326,4.86,4700
march,15,43.51,326,4.86,4700
march,16,43.51,326,4.86,4700
march,17,43.51,326,4.86,4700
march,18,43.51,326,4.86,4700
march,19,43.51,326,4.86,4700
march,20,43.51,326,4.86,4700
march,1,42.64,302,7.66,5400
march,2,42.64,302,7.66,5400
march,3,42.64,302,7.66,5400
march,4,42.64,302,7.66,5400
march,5,42.64,302,7.66,5400
march,6,42.64,302,7.66,1900
march,7,42.64,302,7.66,5400
march,8,42.64,302,7.66,5400
march,9,42.64,302,7.66,5400
march,10,42.64,302,7.66,5400
march,11,42.64,302,7.66,5450
march,12,42.64,302,7.66,5500
march,13,42.64,302,7.66,5600
march,14,42.64,302,7.66,5700
march,15,42.64,302,7.66,5700
march,16,42.64,302,7.66,5700
march,17,42.64,302,7.66,5700
march,18,42.64,302,7.66,5700
march,19,42.64,302,7.66,5700
march,20,42.64,302,7.66,5700
march,1,43.69,319,6.76,5000
march,2,43.69,319,6.76,5000
march,3,43.69,319,6.76,5000
march,4,43.69,319,6.76,5000
march,5,43.69,319,6.76,5000
march,6,43.69,319,6.76,5000
march,7,43.69,319,6.76,5000
march,8,43.69,319,6.76,5000
march,9,43.69,319,6.76,5000
march,10,43.69,319,6.76,5000
march,11,43.69,319,6.76,5000
march,12,43.69,319,6.76,5000
march,13,43.69,319,6.76,5000
march,14,43.69,319,6.76,5000
march,15,43.69,319,6.76,5000
march,16,43.69,319,6.76,5000
march,17,43.69,319,6.76,5000
march,18,43.69,319,6.76,4800
march,19,43.69,319,6.76,4800
march,20,43.69,319,6.76,4800
