month,day,price
jan,1,4450
jan,2,4475
jan,3,4550
jan,4,4510
jan,5,4475
jan,6,4420
jan,7,4450
jan,8,4350
jan,9,4450
jan,10,4475
jan,11,4475
jan,12,4550
jan,13,4500
jan,14,4537
jan,15,4525
jan,16,4500
jan,17,4450
jan,18,4500
jan,19,4460
jan,20,4350
jan,1,5400
jan,2,5250
jan,3,5260
jan,4,5440
jan,5,5475
jan,6,5450
jan,7,5501
jan,8,5480
jan,9,5600
jan,10,5550
jan,11,5400
jan,12,5400
jan,13,5350
jan,14,5385
jan,15,5600
jan,16,5550
jan,17,5400
jan,18,5400
jan,19,5350
jan,20,5385
jan,1,4875
jan,2,4875
jan,3,4862
jan,4,4812
jan,5,4900
jan,6,4825
jan,7,4850
jan,8,4850
jan,9,4850
jan,10,4850
jan,11,4862
jan,12,4750
jan,13,4750
jan,14,4700
jan,15,4712
jan,16,4700
jan,17,4700
jan,18,4675
jan,19,4500
jan,20,4475
jan,1,5350
jan,2,5337
jan,3,5362
jan,4,5375
jan,5,5362
jan,6,5350
jan,7,5300
jan,8,5287
jan,9,5225
jan,10,5275
jan,11,5300
jan,12,5300
jan,13,5287
jan,14,5312
jan,15,5375
jan,16,5325
jan,17,5375
jan,18,5312
jan,19,5287
jan,20,5325
jan,1,5100
jan,2,5100
jan,3,5000
jan,4,5100
jan,5,5100
jan,6,5000
jan,7,5000
jan,8,5100
jan,9,5100
jan,10,5100
jan,11,5200
jan,12,5100
jan,13,5100
jan,14,5050
jan,15,5050
jan,16,5000
jan,17,5100
jan,18,5100
jan,19,5100
jan,20,5100
