month,day,area_sown,yield,inflation,price
march,1,42.07,307,4.94,4401
march,2,42.07,307,4.94,4410
march,3,42.07,307,4.94,4425
march,4,42.07,307,4.94,4390
march,5,42.07,307,4.94,4450
march,6,42.07,307,4.94,4450
march,7,42.07,307,4.94,4455
march,8,42.07,307,4.94,4435
march,9,42.07,307,4.94,4350
march,10,42.07,307,4.94,4490
march,11,42.07,307,4.94,4430
march,12,42.07,307,4.94,4420
march,13,42.07,307,4.94,4380
march,14,42.07,307,4.94,4350
march,15,42.07,307,4.94,4300
march,16,42.07,307,4.94,4325
march,17,42.07,307,4.94,4401
march,18,42.07,307,4.94,4375
march,19,42.07,307,4.94,4275
march,20,42.07,307,4.94,4285
march,1,38,396,2.94,5450
march,2,38,396,2.94,5400
march,3,38,396,2.94,5412
march,4,38,396,2.94,5500
march,5,38,396,2.94,5450
march,6,38,396,2.94,5375
march,7,38,396,2.94,5450
march,8,38,396,2.94,5440
march,9,38,396,2.94,5375
march,10,38,396,2.94,5350
march,11,38,396,2.94,5350
march,12,38,396,2.94,5400
march,13,38,396,2.94,5350
march,14,38,396,2.94,5460
march,15,38,396,2.94,5215
march,16,38,396,2.94,5337
march,17,38,396,2.94,5401
march,18,38,396,2.94,5460
march,19,38,396,2.94,5460
march,20,38,396,2.94,5401
march,1,43.51,326,4.86,4250
march,2,43.51,326,4.86,4312
march,3,43.51,326,4.86,4387
march,4,43.51,326,4.86,4425
march,5,43.51,326,4.86,4412
march,6,43.51,326,4.86,3900
march,7,43.51,326,4.86,4000
march,8,43.51,326,4.86,4075
march,9,43.51,326,4.86,4112
march,10,43.51,326,4.86,4162
march,11,43.51,326,4.86,4000
march,12,43.51,326,4.86,4150
march,13,43.51,326,4.86,4062
march,14,43.51,326,4.86,4025
march,15,43.51,326,4.86,3925
march,16,43.51,326,4.86,3875
march,17,43.51,326,4.86,3900
march,18,43.51,326,4.86,4062
march,19,43.51,326,4.86,4050
march,20,43.51,326,4.86,4050
march,1,42.64,302,7.66,5187
march,2,42.64,302,7.66,5187
march,3,42.64,302,7.66,5225
march,4,42.64,302,7.66,5212
march,5,42.64,302,7.66,5225
march,6,42.64,302,7.66,5200
march,7,42.64,302,7.66,5262
march,8,42.64,302,7.66,5262
march,9,42.64,302,7.66,5350
march,10,42.64,302,7.66,5375
march,11,42.64,302,7.66,5412
march,12,42.64,302,7.66,5500
march,13,42.64,302,7.66,5562
march,14,42.64,302,7.66,5600
march,15,42.64,302,7.66,5550
march,16,42.64,302,7.66,5550
march,17,42.64,302,7.66,5575
march,18,42.64,302,7.66,5650
march,19,42.64,302,7.66,5650
march,20,42.64,302,7.66,5600
march,1,43.69,319,6.76,4800
march,2,43.69,319,6.76,4900
march,3,43.69,319,6.76,4900
march,4,43.69,319,6.76,4800
march,5,43.69,319,6.76,5050
march,6,43.69,319,6.76,4600
march,7,43.69,319,6.76,5050
march,8,43.69,319,6.76,4950
march,9,43.69,319,6.76,4900
march,10,43.69,319,6.76,5000
march,11,43.69,319,6.76,5050
march,12,43.69,319,6.76,4900
march,13,43.69,319,6.76,5050
march,14,43.69,319,6.76,5000
march,15,43.69,319,6.76,5000
march,16,43.69,319,6.76,5000
march,17,43.69,319,6.76,4900
march,18,43.69,319,6.76,4800
march,19,43.69,319,6.76,4600
march,20,43.69,319,6.76,3200
