month,day,price
may,1,4600
may,2,4655
may,3,4725
may,4,4700
may,5,4750
may,6,4730
may,7,4750
may,8,4560
may,9,4545
may,10,4650
may,11,4712
may,12,4790
may,13,4715
may,14,4750
may,15,4750
may,16,4900
may,17,5050
may,18,5009
may,19,5050
may,20,5009
may,1,5150
may,2,5075
may,3,5100
may,4,4987
may,5,4950
may,6,4987
may,7,4975
may,8,5000
may,9,4962
may,10,5025
may,11,5050
may,12,5075
may,13,5075
may,14,4975
may,15,4975
may,16,4975
may,17,5000
may,18,5000
may,19,4962
may,20,5012
may,1,4150
may,2,4162
may,3,4175
may,4,4175
may,5,4175
may,6,4200
may,7,4200
may,8,4200
may,9,4187
may,10,4200
may,11,4150
may,12,4150
may,13,4150
may,14,4137
may,15,4137
may,16,4150
may,17,4175
may,18,4175
may,19,4170
may,20,4175
may,1,6025
may,2,6050
may,3,6025
may,4,6000
may,5,5950
may,6,5950
may,7,6000
may,8,6000
may,9,6000
may,10,5900
may,11,5925
may,12,5950
may,13,6000
may,14,5987
may,15,6000
may,16,6000
may,17,6000
may,18,6087
may,19,6100
may,20,6150
may,1,4600
may,2,3200
may,3,3500
may,4,3500
may,5,3500
may,6,3300
may,7,3500
may,8,4200
may,9,3800
may,10,3644.444444
may,11,4600
may,12,3200
may,13,3500
may,14,3500
may,15,3500
may,16,3300
may,17,3500
may,18,4200
may,19,3800
may,20,3644.444444
