month,day,area_sown,yield,inflation,year
april,1,38,396,2.94,4440
april,2,38,396,2.94,4465
april,3,38,396,2.94,4495
april,4,38,396,2.94,4575
april,5,38,396,2.94,4565
april,6,38,396,2.94,4590
april,7,38,396,2.94,4735
april,8,38,396,2.94,4810
april,9,38,396,2.94,4850
april,10,38,396,2.94,4825
april,11,38,396,2.94,4900
april,12,38,396,2.94,4900
april,13,38,396,2.94,4900
april,14,38,396,2.94,4635
april,15,38,396,2.94,4755
april,16,38,396,2.94,4875
april,17,38,396,2.94,4900
april,18,38,396,2.94,4900
april,19,38,396,2.94,4895
april,20,38,396,2.94,4950
april,1,43.51,326,4.86,5485
april,2,43.51,326,4.86,5485
april,3,43.51,326,4.86,5535
april,4,43.51,326,4.86,5565
april,5,43.51,326,4.86,5510
april,6,43.51,326,4.86,4790
april,7,43.51,326,4.86,5455
april,8,43.51,326,4.86,5545
april,9,43.51,326,4.86,5365
april,10,43.51,326,4.86,5410
april,11,43.51,326,4.86,5375
april,12,43.51,326,4.86,5325
april,13,43.51,326,4.86,5235
april,14,43.51,326,4.86,5320
april,15,43.51,326,4.86,5325
april,16,43.51,326,4.86,5425
april,17,43.51,326,4.86,5325
april,18,43.51,326,4.86,5285
april,19,43.51,326,4.86,5385
april,20,43.51,326,4.86,5355
april,1,42.64,302,7.66,4825
april,2,42.64,302,7.66,4810
april,3,42.64,302,7.66,4815
april,4,42.64,302,7.66,4815
april,5,42.64,302,7.66,4765
april,6,42.64,302,7.66,4725
april,7,42.64,302,7.66,4735
april,8,42.64,302,7.66,4755
april,9,42.64,302,7.66,4755
april,10,42.64,302,7.66,4755
april,11,42.64,302,7.66,4775
april,12,42.64,302,7.66,4925
april,13,42.64,302,7.66,4935
april,14,42.64,302,7.66,4955
april,15,42.64,302,7.66,4935
april,16,42.64,302,7.66,4935
april,17,42.64,302,7.66,4700
april,18,42.64,302,7.66,4865
april,19,42.64,302,7.66,4855
april,20,42.64,302,7.66,4885
april,1,43.69,319,6.76,5850
april,2,43.69,319,6.76,6025
april,3,43.69,319,6.76,6000
april,4,43.69,319,6.76,6000
april,5,43.69,319,6.76,6100
april,6,43.69,319,6.76,6025
april,7,43.69,319,6.76,6075
april,8,43.69,319,6.76,6100
april,9,43.69,319,6.76,6175
april,10,43.69,319,6.76,6150
april,11,43.69,319,6.76,6150
april,12,43.69,319,6.76,6100
april,13,43.69,319,6.76,6100
april,14,43.69,319,6.76,6100
april,15,43.69,319,6.76,6150
april,16,43.69,319,6.76,6150
april,17,43.69,319,6.76,6215
april,18,43.69,319,6.76,6250
april,19,43.69,319,6.76,6200
april,20,43.69,319,6.76,6220
