month,day,area_sown,yield,inflation,price
jan,1,42.07,307,4.94,4535
jan,2,42.07,307,4.94,4650
jan,3,42.07,307,4.94,4675
jan,4,42.07,307,4.94,4600
jan,5,42.07,307,4.94,4600
jan,6,42.07,307,4.94,4555
jan,7,42.07,307,4.94,4555
jan,8,42.07,307,4.94,4500
jan,9,42.07,307,4.94,4550
jan,10,42.07,307,4.94,4565
jan,11,42.07,307,4.94,4545
jan,12,42.07,307,4.94,4575
jan,13,42.07,307,4.94,4465
jan,14,42.07,307,4.94,4450
jan,15,42.07,307,4.94,4475
jan,16,42.07,307,4.94,4465
jan,17,42.07,307,4.94,4465
jan,18,42.07,307,4.94,4465
jan,19,42.07,307,4.94,4525
jan,20,42.07,307,4.94,4525
jan,1,38,396,2.94,5150
jan,2,38,396,2.94,5250
jan,3,38,396,2.94,5265
jan,4,38,396,2.94,5300
jan,5,38,396,2.94,5325
jan,6,38,396,2.94,5325
jan,7,38,396,2.94,5375
jan,8,38,396,2.94,5375
jan,9,38,396,2.94,5385
jan,10,38,396,2.94,5450
jan,11,38,396,2.94,5450
jan,12,38,396,2.94,5450
jan,13,38,396,2.94,5465
jan,14,38,396,2.94,5235
jan,15,38,396,2.94,5265
jan,16,38,396,2.94,5335
jan,17,38,396,2.94,5325
jan,18,38,396,2.94,5375
jan,19,38,396,2.94,5545
jan,20,38,396,2.94,5625
jan,1,43.51,326,4.86,4940
jan,2,43.51,326,4.86,4970
jan,3,43.51,326,4.86,4950
jan,4,43.51,326,4.86,4930
jan,5,43.51,326,4.86,4950
jan,6,43.51,326,4.86,4950
jan,7,43.51,326,4.86,4945
jan,8,43.51,326,4.86,5050
jan,9,43.51,326,4.86,4950
jan,10,43.51,326,4.86,4960
jan,11,43.51,326,4.86,5075
jan,12,43.51,326,4.86,5060
jan,13,43.51,326,4.86,4960
jan,14,43.51,326,4.86,4960
jan,15,43.51,326,4.86,4960
jan,16,43.51,326,4.86,4900
jan,17,43.51,326,4.86,4900
jan,18,43.51,326,4.86,4950
jan,19,43.51,326,4.86,4950
jan,20,43.51,326,4.86,5125
jan,1,42.64,302,7.66,5450
jan,2,42.64,302,7.66,5450
jan,3,42.64,302,7.66,5435
jan,4,42.64,302,7.66,5435
jan,5,42.64,302,7.66,5500
jan,6,42.64,302,7.66,5500
jan,7,42.64,302,7.66,5500
jan,8,42.64,302,7.66,5450
jan,9,42.64,302,7.66,5450
jan,10,42.64,302,7.66,5400
jan,11,42.64,302,7.66,5410
jan,12,42.64,302,7.66,5400
jan,13,42.64,302,7.66,5400
jan,14,42.64,302,7.66,5350
jan,15,42.64,302,7.66,5350
jan,16,42.64,302,7.66,5350
jan,17,42.64,302,7.66,5400
jan,18,42.64,302,7.66,5400
jan,19,42.64,302,7.66,5400
jan,20,42.64,302,7.66,5400
jan,1,43.69,319,6.76,5525
jan,2,43.69,319,6.76,5285
jan,3,43.69,319,6.76,5275
jan,4,43.69,319,6.76,5250
jan,5,43.69,319,6.76,5270
jan,6,43.69,319,6.76,5285
jan,7,43.69,319,6.76,5290
jan,8,43.69,319,6.76,5340
jan,9,43.69,319,6.76,5350
jan,10,43.69,319,6.76,5285
jan,11,43.69,319,6.76,5295
jan,12,43.69,319,6.76,5290
jan,13,43.69,319,6.76,5285
jan,14,43.69,319,6.76,5275
jan,15,43.69,319,6.76,5250
jan,16,43.69,319,6.76,5185
jan,17,43.69,319,6.76,5190
jan,18,43.69,319,6.76,5200
jan,19,43.69,319,6.76,5185
jan,20,43.69,319,6.76,5130
