month,day,price
april,1,4850
april,2,5000
april,3,4850
april,4,4850
april,5,4850
april,6,4850
april,7,4850
april,8,4700
april,9,4700
april,10,4650
april,11,4650
april,12,4500
april,13,4850
april,14,5000
april,15,4850
april,16,4850
april,17,4850
april,18,4850
april,19,4850
april,20,4700
april,1,4000
april,2,4000
april,3,4000
april,4,4000
april,5,4000
april,6,4000
april,7,4000
april,8,4000
april,9,4000
april,10,4000
april,11,4000
april,12,4000
april,13,4000
april,14,4000
april,15,4000
april,16,4000
april,17,4000
april,18,4500
april,19,4000
april,20,4000
april,1,5500
april,2,5500
april,3,5500
april,4,5500
april,5,5500
april,6,5500
april,7,5500
april,8,6000
april,9,6000
april,10,6000
april,11,6000
april,12,6000
april,13,6000
april,14,6000
april,15,6000
april,16,6000
april,17,6000
april,18,6000
april,19,6000
april,20,6000
