month,day,area_sown,yield,inflation,price
jan,1,38,396,2.94,5200
jan,2,38,396,2.94,5200
jan,3,38,396,2.94,5200
jan,4,38,396,2.94,5200
jan,5,38,396,2.94,5200
jan,6,38,396,2.94,5200
jan,7,38,396,2.94,5200
jan,8,38,396,2.94,5200
jan,9,38,396,2.94,5250
jan,10,38,396,2.94,5300
jan,11,38,396,2.94,5300
jan,12,38,396,2.94,5300
jan,13,38,396,2.94,5200
jan,14,38,396,2.94,5200
jan,15,38,396,2.94,5200
jan,16,38,396,2.94,5300
jan,17,38,396,2.94,5350
jan,18,38,396,2.94,5400
jan,19,38,396,2.94,5450
jan,20,38,396,2.94,5400
jan,1,43.51,326,4.86,4800
jan,2,43.51,326,4.86,4800
jan,3,43.51,326,4.86,4800
jan,4,43.51,326,4.86,4950
jan,5,43.51,326,4.86,4700
jan,6,43.51,326,4.86,5000
jan,7,43.51,326,4.86,5000
jan,8,43.51,326,4.86,5000
jan,9,43.51,326,4.86,5000
jan,10,43.51,326,4.86,5000
jan,11,43.51,326,4.86,4500
jan,12,43.51,326,4.86,4500
jan,13,43.51,326,4.86,4400
jan,14,43.51,326,4.86,4200
jan,15,43.51,326,4.86,5000
jan,16,43.51,326,4.86,5000
jan,17,43.51,326,4.86,4500
jan,18,43.51,326,4.86,4500
jan,19,43.51,326,4.86,4400
jan,20,43.51,326,4.86,4200
jan,1,42.64,302,7.66,5200
jan,2,42.64,302,7.66,5300
jan,3,42.64,302,7.66,5300
jan,4,42.64,302,7.66,5300
jan,5,42.64,302,7.66,5300
jan,6,42.64,302,7.66,5300
jan,7,42.64,302,7.66,5300
jan,8,42.64,302,7.66,5300
jan,9,42.64,302,7.66,5200
jan,10,42.64,302,7.66,5300
jan,11,42.64,302,7.66,5000
jan,12,42.64,302,7.66,5000
jan,13,42.64,302,7.66,5000
jan,14,42.64,302,7.66,5000
jan,15,42.64,302,7.66,5300
jan,16,42.64,302,7.66,5000
jan,17,42.64,302,7.66,5300
jan,18,42.64,302,7.66,5200
jan,19,42.64,302,7.66,5300
jan,20,42.64,302,7.66,5000
jan,1,43.69,319,6.76,5012
jan,2,43.69,319,6.76,5025
jan,3,43.69,319,6.76,5100
jan,4,43.69,319,6.76,5050
jan,5,43.69,319,6.76,5050
jan,6,43.69,319,6.76,5075
jan,7,43.69,319,6.76,5075
jan,8,43.69,319,6.76,5062
jan,9,43.69,319,6.76,5012
jan,10,43.69,319,6.76,5112
jan,11,43.69,319,6.76,5125
jan,12,43.69,319,6.76,5125
jan,13,43.69,319,6.76,5175
jan,14,43.69,319,6.76,5100
jan,15,43.69,319,6.76,5075
jan,16,43.69,319,6.76,5050
jan,17,43.69,319,6.76,5050
jan,18,43.69,319,6.76,5037
jan,19,43.69,319,6.76,5037
jan,20,43.69,319,6.76,5037
