month,day,area_sown,yield,inflation,price
dec,1,2.91,687,4.86,3911
dec,2,2.91,687,4.86,3915
dec,3,2.91,687,4.86,3750
dec,4,2.91,687,4.86,3930
dec,5,2.91,687,4.86,3911
dec,6,2.91,687,4.86,3915
dec,7,2.91,687,4.86,3900
dec,8,2.91,687,4.86,3911
dec,9,2.91,687,4.86,3950
dec,10,2.91,687,4.86,3870
dec,11,2.91,687,4.86,3925
dec,12,2.91,687,4.86,3910
dec,13,2.91,687,4.86,3920
dec,14,2.91,687,4.86,3950
dec,15,2.91,687,4.86,3930
dec,16,2.91,687,4.86,3910
dec,17,2.91,687,4.86,3920
dec,18,2.91,687,4.86,3915
dec,19,2.91,687,4.86,3920
dec,20,2.91,687,4.86,3910
dec,1,2.68,634,7.66,4225
dec,2,2.68,634,7.66,4255
dec,3,2.68,634,7.66,4225
dec,4,2.68,634,7.66,4235
dec,5,2.68,634,7.66,4265
dec,6,2.68,634,7.66,4200
dec,7,2.68,634,7.66,4225
dec,8,2.68,634,7.66,4250
dec,9,2.68,634,7.66,4280
dec,10,2.68,634,7.66,4280
dec,11,2.68,634,7.66,4430
dec,12,2.68,634,7.66,4535
dec,13,2.68,634,7.66,4515
dec,14,2.68,634,7.66,4550
dec,15,2.68,634,7.66,4690
dec,16,2.68,634,7.66,4670
dec,17,2.68,634,7.66,4690
dec,18,2.68,634,7.66,4780
dec,19,2.68,634,7.66,4575
dec,20,2.68,634,7.66,4685
dec,1,3.92,564,6.76,4855
dec,2,3.92,564,6.76,4775
dec,3,3.92,564,6.76,4797
dec,4,3.92,564,6.76,4880
dec,5,3.92,564,6.76,4800
dec,6,3.92,564,6.76,4852
dec,7,3.92,564,6.76,4837
dec,8,3.92,564,6.76,4895
dec,9,3.92,564,6.76,4965
dec,10,3.92,564,6.76,4890
dec,11,3.92,564,6.76,4852
dec,12,3.92,564,6.76,4852
dec,13,3.92,564,6.76,4855
dec,14,3.92,564,6.76,4775
dec,15,3.92,564,6.76,4797
dec,16,3.92,564,6.76,4880
dec,17,3.92,564,6.76,4800
dec,18,3.92,564,6.76,4852
dec,19,3.92,564,6.76,4837
dec,20,3.92,564,6.76,4895
