month,day,price
feb,1,5385
feb,2,5420
feb,3,5380
feb,4,5300
feb,5,5430
feb,6,5500
feb,7,5500
feb,8,5400
feb,9,5380
feb,10,5385
feb,11,5360
feb,12,5350
feb,13,5340
feb,14,5300
feb,15,5100
feb,16,5100
feb,17,5055
feb,18,5250
feb,19,5280
feb,20,5250
feb,1,3930
feb,2,4005
feb,3,3960
feb,4,3970
feb,5,3975
feb,6,3975
feb,7,3960
feb,8,3960
feb,9,4000
feb,10,4005
feb,11,4005
feb,12,4045
feb,13,4100
feb,14,4110
feb,15,4115
feb,16,4080
feb,17,4110
feb,18,4015
feb,19,4100
feb,20,4115
feb,1,4575
feb,2,4293
feb,3,4422
feb,4,4485
feb,5,4545
feb,6,4552
feb,7,4542
feb,8,4545
feb,9,4525
feb,10,4647
feb,11,4690
feb,12,4740
feb,13,4702
feb,14,4785
feb,15,4550
feb,16,4517
feb,17,4525
feb,18,4137
feb,19,4575
feb,20,4293
feb,1,4958
feb,2,4933
feb,3,4888
feb,4,4525
feb,5,4855
feb,6,4855
feb,7,4800
feb,8,5000
feb,9,4900
feb,10,5125
feb,11,4958
feb,12,4933
feb,13,4888
feb,14,4525
feb,15,4855
feb,16,4855
feb,17,4800
feb,18,5000
feb,19,4900
feb,20,5125
