month,day,area_sown,yield,inflation,price
jan,1,3.39,313,4.94,5200
jan,2,3.39,313,4.94,5200
jan,3,3.39,313,4.94,5150
jan,4,3.39,313,4.94,5280
jan,5,3.39,313,4.94,5300
jan,6,3.39,313,4.94,5380
jan,7,3.39,313,4.94,5325
jan,8,3.39,313,4.94,5350
jan,9,3.39,313,4.94,5350
jan,10,3.39,313,4.94,5410
jan,11,3.39,313,4.94,5400
jan,12,3.39,313,4.94,5400
jan,13,3.39,313,4.94,5450
jan,14,3.39,313,4.94,5475
jan,15,3.39,313,4.94,5400
jan,16,3.39,313,4.94,5300
jan,17,3.39,313,4.94,5320
jan,18,3.39,313,4.94,5370
jan,19,3.39,313,4.94,5400
jan,20,3.39,313,4.94,5450
jan,1,2.85,537,2.94,4195
jan,2,2.85,537,2.94,4220
jan,3,2.85,537,2.94,4210
jan,4,2.85,537,2.94,4310
jan,5,2.85,537,2.94,4290
jan,6,2.85,537,2.94,4275
jan,7,2.85,537,2.94,4280
jan,8,2.85,537,2.94,4170
jan,9,2.85,537,2.94,4160
jan,10,2.85,537,2.94,4170
jan,11,2.85,537,2.94,4100
jan,12,2.85,537,2.94,4150
jan,13,2.85,537,2.94,4130
jan,14,2.85,537,2.94,4095
jan,15,2.85,537,2.94,4075
jan,16,2.85,537,2.94,3965
jan,17,2.85,537,2.94,3950
jan,18,2.85,537,2.94,3955
jan,19,2.85,537,2.94,3960
jan,20,2.85,537,2.94,3950
jan,1,2.91,687,4.86,4556
jan,2,2.91,687,4.86,4590
jan,3,2.91,687,4.86,4702
jan,4,2.91,687,4.86,4810
jan,5,2.91,687,4.86,4525
jan,6,2.91,687,4.86,4690
jan,7,2.91,687,4.86,4542
jan,8,2.91,687,4.86,4545
jan,9,2.91,687,4.86,4525
jan,10,2.91,687,4.86,4647
jan,11,2.91,687,4.86,4690
jan,12,2.91,687,4.86,4740
jan,13,2.91,687,4.86,4702
jan,14,2.91,687,4.86,4785
jan,15,2.91,687,4.86,4550
jan,16,2.91,687,4.86,4517
jan,17,2.91,687,4.86,4525
jan,18,2.91,687,4.86,4137
jan,19,2.91,687,4.86,4575
jan,20,2.91,687,4.86,4293
jan,1,2.68,634,7.66,5400
jan,2,2.68,634,7.66,5300
jan,3,2.68,634,7.66,5190
jan,4,2.68,634,7.66,5300
jan,5,2.68,634,7.66,5495
jan,6,2.68,634,7.66,5455
jan,7,2.68,634,7.66,5400
jan,8,2.68,634,7.66,5495
jan,9,2.68,634,7.66,5400
jan,10,2.68,634,7.66,5700
jan,11,2.68,634,7.66,5400
jan,12,2.68,634,7.66,5300
jan,13,2.68,634,7.66,5190
jan,14,2.68,634,7.66,5300
jan,15,2.68,634,7.66,5495
jan,16,2.68,634,7.66,5455
jan,17,2.68,634,7.66,5400
jan,18,2.68,634,7.66,5495
jan,19,2.68,634,7.66,5400
jan,20,2.68,634,7.66,5700
jan,1,3.92,564,6.76,4980
jan,2,3.92,564,6.76,4980
jan,3,3.92,564,6.76,4905
jan,4,3.92,564,6.76,4955
jan,5,3.92,564,6.76,4940
jan,6,3.92,564,6.76,4950
jan,7,3.92,564,6.76,5000
jan,8,3.92,564,6.76,4920
jan,9,3.92,564,6.76,4950
jan,10,3.92,564,6.76,4745
jan,11,3.92,564,6.76,4980
jan,12,3.92,564,6.76,4980
jan,13,3.92,564,6.76,4905
jan,14,3.92,564,6.76,4955
jan,15,3.92,564,6.76,4940
jan,16,3.92,564,6.76,4950
jan,17,3.92,564,6.76,5000
jan,18,3.92,564,6.76,4920
jan,19,3.92,564,6.76,4950
jan,20,3.92,564,6.76,4745
