month,day,area_sown,yield,inflation,price
march,1,2.91,687,4.86,5160
march,2,2.91,687,4.86,5125
march,3,2.91,687,4.86,5110
march,4,2.91,687,4.86,5000
march,5,2.91,687,4.86,5250
march,6,2.91,687,4.86,5300
march,7,2.91,687,4.86,5100
march,8,2.91,687,4.86,5100
march,9,2.91,687,4.86,5100
march,10,2.91,687,4.86,5235
march,11,2.91,687,4.86,5200
march,12,2.91,687,4.86,5090
march,13,2.91,687,4.86,5250
march,14,2.91,687,4.86,5065
march,15,2.91,687,4.86,5000
march,16,2.91,687,4.86,5175
march,17,2.91,687,4.86,5185
march,18,2.91,687,4.86,5190
march,19,2.91,687,4.86,5100
march,20,2.91,687,4.86,5280
march,1,2.68,634,7.66,4100
march,2,2.68,634,7.66,4115
march,3,2.68,634,7.66,4080
march,4,2.68,634,7.66,4050
march,5,2.68,634,7.66,4100
march,6,2.68,634,7.66,4090
march,7,2.68,634,7.66,4090
march,8,2.68,634,7.66,4085
march,9,2.68,634,7.66,4085
march,10,2.68,634,7.66,4090
march,11,2.68,634,7.66,4165
march,12,2.68,634,7.66,4220
march,13,2.68,634,7.66,4220
march,14,2.68,634,7.66,4230
march,15,2.68,634,7.66,4200
march,16,2.68,634,7.66,4045
march,17,2.68,634,7.66,4300
march,18,2.68,634,7.66,4355
march,19,2.68,634,7.66,4400
march,20,2.68,634,7.66,4410
march,1,3.92,564,6.76,4575
march,2,3.92,564,6.76,4293
march,3,3.92,564,6.76,4422
march,4,3.92,564,6.76,4485
march,5,3.92,564,6.76,4545
march,6,3.92,564,6.76,4552
march,7,3.92,564,6.76,4542
march,8,3.92,564,6.76,4545
march,9,3.92,564,6.76,4525
march,10,3.92,564,6.76,4647
march,11,3.92,564,6.76,4690
march,12,3.92,564,6.76,4740
march,13,3.92,564,6.76,4702
march,14,3.92,564,6.76,4785
march,15,3.92,564,6.76,4550
march,16,3.92,564,6.76,4517
march,17,3.92,564,6.76,4525
march,18,3.92,564,6.76,4137
march,19,3.92,564,6.76,4575
march,20,3.92,564,6.76,4293
