month,day,area_sown,yield,inflation,price
nov,1,2.91,687,4.86,3820
nov,2,2.91,687,4.86,3960
nov,3,2.91,687,4.86,3750
nov,4,2.91,687,4.86,3965
nov,5,2.91,687,4.86,3915
nov,6,2.91,687,4.86,3950
nov,7,2.91,687,4.86,3915
nov,8,2.91,687,4.86,3915
nov,9,2.91,687,4.86,3915
nov,10,2.91,687,4.86,3915
nov,11,2.91,687,4.86,3950
nov,12,2.91,687,4.86,3875
nov,13,2.91,687,4.86,3875
nov,14,2.91,687,4.86,3915
nov,15,2.91,687,4.86,3915
nov,16,2.91,687,4.86,3915
nov,17,2.91,687,4.86,3915
nov,18,2.91,687,4.86,3915
nov,19,2.91,687,4.86,3945
nov,20,2.91,687,4.86,3945
nov,1,2.68,634,7.66,4450
nov,2,2.68,634,7.66,4425
nov,3,2.68,634,7.66,4440
nov,4,2.68,634,7.66,4500
nov,5,2.68,634,7.66,4500
nov,6,2.68,634,7.66,4425
nov,7,2.68,634,7.66,4450
nov,8,2.68,634,7.66,4500
nov,9,2.68,634,7.66,4450
nov,10,2.68,634,7.66,4295
nov,11,2.68,634,7.66,4170
nov,12,2.68,634,7.66,4170
nov,13,2.68,634,7.66,4170
nov,14,2.68,634,7.66,4170
nov,15,2.68,634,7.66,4165
nov,16,2.68,634,7.66,4200
nov,17,2.68,634,7.66,4225
nov,18,2.68,634,7.66,4255
nov,19,2.68,634,7.66,4225
nov,20,2.68,634,7.66,4235
nov,1,3.92,564,6.76,4855
nov,2,3.92,564,6.76,4775
nov,3,3.92,564,6.76,4797
nov,4,3.92,564,6.76,4880
nov,5,3.92,564,6.76,4800
nov,6,3.92,564,6.76,4852
nov,7,3.92,564,6.76,4837
nov,8,3.92,564,6.76,4895
nov,9,3.92,564,6.76,4965
nov,10,3.92,564,6.76,4890
nov,11,3.92,564,6.76,4852
nov,12,3.92,564,6.76,4852
nov,13,3.92,564,6.76,4855
nov,14,3.92,564,6.76,4775
nov,15,3.92,564,6.76,4797
nov,16,3.92,564,6.76,4880
nov,17,3.92,564,6.76,4800
nov,18,3.92,564,6.76,4852
nov,19,3.92,564,6.76,4837
nov,20,3.92,564,6.76,4895
