month,day,area_sown,yield,inflation,price
oct,1,2.91,687,4.86,4045
oct,2,2.91,687,4.86,4100
oct,3,2.91,687,4.86,4155
oct,4,2.91,687,4.86,4075
oct,5,2.91,687,4.86,4050
oct,6,2.91,687,4.86,4050
oct,7,2.91,687,4.86,4060
oct,8,2.91,687,4.86,4075
oct,9,2.91,687,4.86,4000
oct,10,2.91,687,4.86,4035
oct,11,2.91,687,4.86,4040
oct,12,2.91,687,4.86,4015
oct,13,2.91,687,4.86,3840
oct,14,2.91,687,4.86,3950
oct,15,2.91,687,4.86,3911
oct,16,2.91,687,4.86,3950
oct,17,2.91,687,4.86,3920
oct,18,2.91,687,4.86,4000
oct,19,2.91,687,4.86,3820
oct,20,2.91,687,4.86,3960
oct,1,2.68,634,7.66,4280
oct,2,2.68,634,7.66,4225
oct,3,2.68,634,7.66,4250
oct,4,2.68,634,7.66,4225
oct,5,2.68,634,7.66,4260
oct,6,2.68,634,7.66,4280
oct,7,2.68,634,7.66,4350
oct,8,2.68,634,7.66,4350
oct,9,2.68,634,7.66,4350
oct,10,2.68,634,7.66,4350
oct,11,2.68,634,7.66,4335
oct,12,2.68,634,7.66,4300
oct,13,2.68,634,7.66,4500
oct,14,2.68,634,7.66,4475
oct,15,2.68,634,7.66,4450
oct,16,2.68,634,7.66,4370
oct,17,2.68,634,7.66,4300
oct,18,2.68,634,7.66,4300
oct,19,2.68,634,7.66,4200
oct,20,2.68,634,7.66,4400
oct,1,3.92,564,6.76,5017
oct,2,3.92,564,6.76,5245
oct,3,3.92,564,6.76,4942
oct,4,3.92,564,6.76,5060
oct,5,3.92,564,6.76,4942
oct,6,3.92,564,6.76,4727
oct,7,3.92,564,6.76,4647
oct,8,3.92,564,6.76,4697
oct,9,3.92,564,6.76,4707
oct,10,3.92,564,6.76,4927
oct,11,3.92,564,6.76,4857
oct,12,3.92,564,6.76,4497
oct,13,3.92,564,6.76,4837
oct,14,3.92,564,6.76,4942
oct,15,3.92,564,6.76,4727
oct,16,3.92,564,6.76,4647
oct,17,3.92,564,6.76,4697
oct,18,3.92,564,6.76,4707
oct,19,3.92,564,6.76,4927
oct,20,3.92,564,6.76,4857
