month,day,price
feb,1,4100
feb,2,4095
feb,3,4100
feb,4,4095
feb,5,4090
feb,6,4070
feb,7,3955
feb,8,4015
feb,9,4010
feb,10,4045
feb,11,4030
feb,12,4030
feb,13,4030
feb,14,4050
feb,15,4065
feb,16,4080
feb,17,4065
feb,18,4045
feb,19,4055
feb,20,4060
feb,1,4640
feb,2,4630
feb,3,4645
feb,4,4640
feb,5,4620
feb,6,4620
feb,7,4600
feb,8,4575
feb,9,4550
feb,10,4540
feb,11,4550
feb,12,4555
feb,13,4650
feb,14,4660
feb,15,4675
feb,16,4710
feb,17,4710
feb,18,4645
feb,19,4600
feb,20,4590
feb,1,5950
feb,2,5995
feb,3,5980
feb,4,5910
feb,5,5900
feb,6,5965
feb,7,6000
feb,8,6075
feb,9,6070
feb,10,6010
feb,11,5970
feb,12,5980
feb,13,5975
feb,14,5880
feb,15,5880
feb,16,5900
feb,17,6090
feb,18,6085
feb,19,6095
feb,20,6085
feb,1,5155
feb,2,5155
feb,3,5070
feb,4,5110
feb,5,5115
feb,6,5115
feb,7,5095
feb,8,5115
feb,9,5025
feb,10,4995
feb,11,4995
feb,12,4950
feb,13,4955
feb,14,4985
feb,15,5025
feb,16,5030
feb,17,4995
feb,18,4940
feb,19,4970
feb,20,4975
feb,1,5490
feb,2,5450
feb,3,5450
feb,4,5400
feb,5,5415
feb,6,5420
feb,7,5420
feb,8,5415
feb,9,5425
feb,10,5410
feb,11,5415
feb,12,5445
feb,13,5475
feb,14,5440
feb,15,5440
feb,16,5425
feb,17,5455
feb,18,5495
feb,19,5455
feb,20,5440
feb,1,5240
feb,2,5200
feb,3,5240
feb,4,5240
feb,5,5220
feb,6,5200
feb,7,5210
feb,8,5210
feb,9,5180
feb,10,5190
feb,11,5170
feb,12,5200
feb,13,5190
feb,14,5200
feb,15,5200
feb,16,5150
feb,17,5140
feb,18,5095
feb,19,5100
feb,20,5200
