month,day,area_sown,yield,inflation,price
dec,1,2.85,537,2.94,4350
dec,2,2.85,537,2.94,4370
dec,3,2.85,537,2.94,4360
dec,4,2.85,537,2.94,4360
dec,5,2.85,537,2.94,4360
dec,6,2.85,537,2.94,4370
dec,7,2.85,537,2.94,4370
dec,8,2.85,537,2.94,4370
dec,9,2.85,537,2.94,4450
dec,10,2.85,537,2.94,4650
dec,11,2.85,537,2.94,4650
dec,12,2.85,537,2.94,4550
dec,13,2.85,537,2.94,4600
dec,14,2.85,537,2.94,4700
dec,15,2.85,537,2.94,4800
dec,16,2.85,537,2.94,4770
dec,17,2.85,537,2.94,4370
dec,18,2.85,537,2.94,4450
dec,19,2.85,537,2.94,4650
dec,20,2.85,537,2.94,4650
dec,1,2.91,687,4.86,5150
dec,2,2.91,687,4.86,5150
dec,3,2.91,687,4.86,5160
dec,4,2.91,687,4.86,5180
dec,5,2.91,687,4.86,5190
dec,6,2.91,687,4.86,5030
dec,7,2.91,687,4.86,5110
dec,8,2.91,687,4.86,5060
dec,9,2.91,687,4.86,5100
dec,10,2.91,687,4.86,5110
dec,11,2.91,687,4.86,5260
dec,12,2.91,687,4.86,5260
dec,13,2.91,687,4.86,5220
dec,14,2.91,687,4.86,5180
dec,15,2.91,687,4.86,5130
dec,16,2.91,687,4.86,5180
dec,17,2.91,687,4.86,5250
dec,18,2.91,687,4.86,5160
dec,19,2.91,687,4.86,5250
dec,20,2.91,687,4.86,5200
dec,1,2.68,634,7.66,5220
dec,2,2.68,634,7.66,5100
dec,3,2.68,634,7.66,5100
dec,4,2.68,634,7.66,5100
dec,5,2.68,634,7.66,5250
dec,6,2.68,634,7.66,5200
dec,7,2.68,634,7.66,5100
dec,8,2.68,634,7.66,5150
dec,9,2.68,634,7.66,5000
dec,10,2.68,634,7.66,5260
dec,11,2.68,634,7.66,5150
dec,12,2.68,634,7.66,4500
dec,13,2.68,634,7.66,4500
dec,14,2.68,634,7.66,4900
dec,15,2.68,634,7.66,5000
dec,16,2.68,634,7.66,5110
dec,17,2.68,634,7.66,4500
dec,18,2.68,634,7.66,4900
dec,19,2.68,634,7.66,5000
dec,20,2.68,634,7.66,5110
dec,1,3.92,564,6.76,5290
dec,2,3.92,564,6.76,5350
dec,3,3.92,564,6.76,5340
dec,4,3.92,564,6.76,5300
dec,5,3.92,564,6.76,5500
dec,6,3.92,564,6.76,5460
dec,7,3.92,564,6.76,5320
dec,8,3.92,564,6.76,5400
dec,9,3.92,564,6.76,5400
dec,10,3.92,564,6.76,5370
dec,11,3.92,564,6.76,5310
dec,12,3.92,564,6.76,5300
dec,13,3.92,564,6.76,5000
dec,14,3.92,564,6.76,5260
dec,15,3.92,564,6.76,5350
dec,16,3.92,564,6.76,5250
dec,17,3.92,564,6.76,5000
dec,18,3.92,564,6.76,5260
dec,19,3.92,564,6.76,5350
dec,20,3.92,564,6.76,5250
