month,day,price
feb,1,4110
feb,2,4030
feb,3,4160
feb,4,4170
feb,5,4050
feb,6,4070
feb,7,4050
feb,8,3970
feb,9,4050
feb,10,4080
feb,11,4080
feb,12,4110
feb,13,4100
feb,14,4100
feb,15,4100
feb,16,4100
feb,17,4150
feb,18,4040
feb,19,4050
feb,20,4100
feb,1,4560
feb,2,4550
feb,3,4650
feb,4,4590
feb,5,4550
feb,6,4470
feb,7,4520
feb,8,4410
feb,9,4540
feb,10,4460
feb,11,4340
feb,12,4640
feb,13,4700
feb,14,4470
feb,15,4400
feb,16,4670
feb,17,4570
feb,18,4570
feb,19,4640
feb,20,4580
feb,1,5900
feb,2,5930
feb,3,6050
feb,4,5940
feb,5,5950
feb,6,5900
feb,7,5940
feb,8,5920
feb,9,5950
feb,10,5970
feb,11,5890
feb,12,5820
feb,13,5750
feb,14,5850
feb,15,5860
feb,16,5950
feb,17,6010
feb,18,6180
feb,19,6070
feb,20,5970
feb,1,4940
feb,2,5200
feb,3,5260
feb,4,5120
feb,5,4860
feb,6,5000
feb,7,5000
feb,8,5150
feb,9,5130
feb,10,4970
feb,11,4990
feb,12,4950
feb,13,4820
feb,14,4940
feb,15,4900
feb,16,4900
feb,17,5050
feb,18,4970
feb,19,4960
feb,20,4900
feb,1,5290
feb,2,5290
feb,3,5240
feb,4,5240
feb,5,5240
feb,6,5000
feb,7,5100
feb,8,4250
feb,9,5320
feb,10,5350
feb,11,5340
feb,12,5390
feb,13,5380
feb,14,5440
feb,15,5330
feb,16,5350
feb,17,5310
feb,18,5280
feb,19,5290
feb,20,5290
feb,1,5050
feb,2,5100
feb,3,5160
feb,4,5130
feb,5,5140
feb,6,5050
feb,7,5150
feb,8,5080
feb,9,5150
feb,10,5050
feb,11,5100
feb,12,5160
feb,13,5130
feb,14,5140
feb,15,5050
feb,16,5150
feb,17,5080
feb,18,5150
feb,19,5132.222222
feb,20,5136.222222
