month ,day ,price
jan,1,4350
jan,2,4240
jan,3,4230
jan,4,4350
jan,5,4350
jan,6,4340
jan,7,4340
jan,8,4370
jan,9,4300
jan,10,4280
jan,11,4240
jan,12,4320
jan,13,4340
jan,14,4270
jan,15,4150
jan,16,4080
jan,17,4110
jan,18,4040
jan,19,3940
jan,20,4000
jan,1,4870
jan,2,4880
jan,3,4850
jan,4,4750
jan,5,4700
jan,6,4750
jan,7,4750
jan,8,4725
jan,9,4730
jan,10,4710
jan,11,4650
jan,12,4500
jan,13,4760
jan,14,4750
jan,15,4810
jan,16,4760
jan,17,4790
jan,18,4650
jan,19,4500
jan,20,4760
jan,1,5570
jan,2,5750
jan,3,5710
jan,4,5680
jan,5,5680
jan,6,5770
jan,7,5800
jan,8,5850
jan,9,5740
jan,10,5630
jan,11,5780
jan,12,5860
jan,13,5970
jan,14,5990
jan,15,5890
jan,16,6000
jan,17,5990
jan,18,5960
jan,19,5940
jan,20,5940
jan,1,5310
jan,2,5250
jan,3,5200
jan,4,5350
jan,5,5400
jan,6,5450
jan,7,5280
jan,8,5350
jan,9,5220
jan,10,5350
jan,11,5450
jan,12,5460
jan,13,5320
jan,14,5280
jan,15,5260
jan,16,5290
jan,17,5380
jan,18,5280
jan,19,5250
jan,20,5180
jan,1,5320
jan,2,5350
jan,3,5340
jan,4,5390
jan,5,5380
jan,6,5440
jan,7,5330
jan,8,5350
jan,9,5310
jan,10,5280
jan,11,5290
jan,12,5290
jan,13,5290
jan,14,5230
jan,15,5300
jan,16,5200
jan,17,5290
jan,18,5280
jan,19,5240
jan,20,5290
jan,1,5150
jan,2,5080
jan,3,5170
jan,4,5020
jan,5,5050
jan,6,5090
jan,7,5080
jan,8,5080
jan,9,5070
jan,10,5150
jan,11,5150
jan,12,5080
jan,13,5170
jan,14,5020
jan,15,5050
jan,16,5090
jan,17,5080
jan,18,5080
jan,19,5070
jan,20,5150
