month,day,area_sown,yield,inflation,price
march,1,2.85,537,2.94,4060
march,2,2.85,537,2.94,4080
march,3,2.85,537,2.94,4080
march,4,2.85,537,2.94,4070
march,5,2.85,537,2.94,4080
march,6,2.85,537,2.94,4100
march,7,2.85,537,2.94,4170
march,8,2.85,537,2.94,4180
march,9,2.85,537,2.94,4170
march,10,2.85,537,2.94,4230
march,11,2.85,537,2.94,4260
march,12,2.85,537,2.94,4270
march,13,2.85,537,2.94,4250
march,14,2.85,537,2.94,4300
march,15,2.85,537,2.94,4250
march,16,2.85,537,2.94,4350
march,17,2.85,537,2.94,4440
march,18,2.85,537,2.94,4430
march,19,2.85,537,2.94,4430
march,20,2.85,537,2.94,4480
march,1,2.91,687,4.86,4670
march,2,2.91,687,4.86,4550
march,3,2.91,687,4.86,4670
march,4,2.91,687,4.86,4660
march,5,2.91,687,4.86,4660
march,6,2.91,687,4.86,4640
march,7,2.91,687,4.86,4650
march,8,2.91,687,4.86,4700
march,9,2.91,687,4.86,4680
march,10,2.91,687,4.86,4700
march,11,2.91,687,4.86,4520
march,12,2.91,687,4.86,4560
march,13,2.91,687,4.86,4520
march,14,2.91,687,4.86,4420
march,15,2.91,687,4.86,4600
march,16,2.91,687,4.86,4530
march,17,2.91,687,4.86,4620
march,18,2.91,687,4.86,4620
march,19,2.91,687,4.86,4670
march,20,2.91,687,4.86,4650
march,1,2.68,634,7.66,6030
march,2,2.68,634,7.66,6090
march,3,2.68,634,7.66,6030
march,4,2.68,634,7.66,5590
march,5,2.68,634,7.66,6040
march,6,2.68,634,7.66,6000
march,7,2.68,634,7.66,5570
march,8,2.68,634,7.66,5500
march,9,2.68,634,7.66,5400
march,10,2.68,634,7.66,5700
march,11,2.68,634,7.66,5700
march,12,2.68,634,7.66,6000
march,13,2.68,634,7.66,5600
march,14,2.68,634,7.66,5630
march,15,2.68,634,7.66,6050
march,16,2.68,634,7.66,5325
march,17,2.68,634,7.66,5700
march,18,2.68,634,7.66,6000
march,19,2.68,634,7.66,5600
march,20,2.68,634,7.66,5630
march,1,3.92,564,6.76,4900
march,2,3.92,564,6.76,4300
march,3,3.92,564,6.76,4770
march,4,3.92,564,6.76,4990
march,5,3.92,564,6.76,4880
march,6,3.92,564,6.76,4800
march,7,3.92,564,6.76,4825
march,8,3.92,564,6.76,4760
march,9,3.92,564,6.76,4580
march,10,3.92,564,6.76,4630
march,11,3.92,564,6.76,4650
march,12,3.92,564,6.76,4670
march,13,3.92,564,6.76,4760
march,14,3.92,564,6.76,4710
march,15,3.92,564,6.76,4580
march,16,3.92,564,6.76,4630
march,17,3.92,564,6.76,4650
march,18,3.92,564,6.76,4670
march,19,3.92,564,6.76,4760
march,20,3.92,564,6.76,4710
