month,day,area_sown,yield,inflation,price
nov,1,2.85,537,2.94,4400
nov,2,2.85,537,2.94,4350
nov,3,2.85,537,2.94,4470
nov,4,2.85,537,2.94,4450
nov,5,2.85,537,2.94,4300
nov,6,2.85,537,2.94,4260
nov,7,2.85,537,2.94,4260
nov,8,2.85,537,2.94,4250
nov,9,2.85,537,2.94,4340
nov,10,2.85,537,2.94,4340
nov,11,2.85,537,2.94,4325
nov,12,2.85,537,2.94,4300
nov,13,2.85,537,2.94,4400
nov,14,2.85,537,2.94,4350
nov,15,2.85,537,2.94,4470
nov,16,2.85,537,2.94,4450
nov,17,2.85,537,2.94,4300
nov,18,2.85,537,2.94,4260
nov,19,2.85,537,2.94,4260
nov,20,2.85,537,2.94,4250
nov,1,2.91,687,4.86,5090
nov,2,2.91,687,4.86,5100
nov,3,2.91,687,4.86,5050
nov,4,2.91,687,4.86,5070
nov,5,2.91,687,4.86,5050
nov,6,2.91,687,4.86,5050
nov,7,2.91,687,4.86,5090
nov,8,2.91,687,4.86,5110
nov,9,2.91,687,4.86,5160
nov,10,2.91,687,4.86,5260
nov,11,2.91,687,4.86,5300
nov,12,2.91,687,4.86,5360
nov,13,2.91,687,4.86,5320
nov,14,2.91,687,4.86,5180
nov,15,2.91,687,4.86,5150
nov,16,2.91,687,4.86,5170
nov,17,2.91,687,4.86,5240
nov,18,2.91,687,4.86,5250
nov,19,2.91,687,4.86,5270
nov,20,2.91,687,4.86,5220
nov,1,2.68,634,7.66,5100
nov,2,2.68,634,7.66,5100
nov,3,2.68,634,7.66,4920
nov,4,2.68,634,7.66,5130
nov,5,2.68,634,7.66,5150
nov,6,2.68,634,7.66,5180
nov,7,2.68,634,7.66,5125
nov,8,2.68,634,7.66,4850
nov,9,2.68,634,7.66,5160
nov,10,2.68,634,7.66,4970
nov,11,2.68,634,7.66,5460
nov,12,2.68,634,7.66,4760
nov,13,2.68,634,7.66,5000
nov,14,2.68,634,7.66,5000
nov,15,2.68,634,7.66,4880
nov,16,2.68,634,7.66,5360
nov,17,2.68,634,7.66,4800
nov,18,2.68,634,7.66,5100
nov,19,2.68,634,7.66,4700
nov,20,2.68,634,7.66,4800
nov,1,3.92,564,6.76,5320
nov,2,3.92,564,6.76,5200
nov,3,3.92,564,6.76,5280
nov,4,3.92,564,6.76,5190
nov,5,3.92,564,6.76,5170
nov,6,3.92,564,6.76,5250
nov,7,3.92,564,6.76,5260
nov,8,3.92,564,6.76,5160
nov,9,3.92,564,6.76,5280
nov,10,3.92,564,6.76,5300
nov,11,3.92,564,6.76,5570
nov,12,3.92,564,6.76,5450
nov,13,3.92,564,6.76,5350
nov,14,3.92,564,6.76,5290
nov,15,3.92,564,6.76,5500
nov,16,3.92,564,6.76,5550
nov,17,3.92,564,6.76,5460
nov,18,3.92,564,6.76,5300
nov,19,3.92,564,6.76,5310
nov,20,3.92,564,6.76,5280
