month,day,price
sept,1,4420
sept,2,4380
sept,3,4300
sept,4,4350
sept,5,4350
sept,6,4450
sept,7,4420
sept,8,4400
sept,9,4450
sept,10,4440
sept,11,4460
sept,12,4550
sept,13,4680
sept,14,4630
sept,15,4660
sept,16,4660
sept,17,4470
sept,18,4450
sept,19,4330
sept,20,4400
sept,1,5300
sept,2,5500
sept,3,5330
sept,4,5330
sept,5,5200
sept,6,5200
sept,7,5340
sept,8,5300
sept,9,5310
sept,10,5120
sept,11,5160
sept,12,5300
sept,13,5500
sept,14,5330
sept,15,5330
sept,16,5200
sept,17,5200
sept,18,5340
sept,19,5300
sept,20,5310
sept,1,4100
sept,2,4440
sept,3,4370
sept,4,4390
sept,5,4380
sept,6,4510
sept,7,4680
sept,8,4550
sept,9,4380
sept,10,4550
sept,11,4550
sept,12,4540
sept,13,4370
sept,14,4390
sept,15,4380
sept,16,4510
sept,17,4680
sept,18,4550
sept,19,4380
sept,20,4550
sept,1,5110
sept,2,5010
sept,3,4600
sept,4,5250
sept,5,5100
sept,6,4850
sept,7,5200
sept,8,5150
sept,9,5000
sept,10,4970
sept,11,5110
sept,12,5050
sept,13,5100
sept,14,4850
sept,15,5200
sept,16,5150
sept,17,5000
sept,18,4970
sept,19,5110
sept,20,5050
