month,day,area_sown,yield,inflation,price
april,1,4.48,569,4.94,4050
april,2,4.48,569,4.94,4000
april,3,4.48,569,4.94,4150
april,4,4.48,569,4.94,4150
april,5,4.48,569,4.94,4100
april,6,4.48,569,4.94,4350
april,7,4.48,569,4.94,4450
april,8,4.48,569,4.94,4500
april,9,4.48,569,4.94,4450
april,10,4.48,569,4.94,4425
april,11,4.48,569,4.94,4300
april,12,4.48,569,4.94,4350
april,13,4.48,569,4.94,4350
april,14,4.48,569,4.94,4325
april,15,4.48,569,4.94,4251
april,16,4.48,569,4.94,4250
april,17,4.48,569,4.94,4250
april,18,4.48,569,4.94,4300
april,19,4.48,569,4.94,3900
april,20,4.48,569,4.94,3900
april,1,4.71,596,2.94,5999
april,2,4.71,596,2.94,6000
april,3,4.71,596,2.94,5955
april,4,4.71,596,2.94,6010
april,5,4.71,596,2.94,6000
april,6,4.71,596,2.94,6112
april,7,4.71,596,2.94,6010
april,8,4.71,596,2.94,6050
april,9,4.71,596,2.94,5900
april,10,4.71,596,2.94,5615
april,11,4.71,596,2.94,5615
april,12,4.71,596,2.94,5540
april,13,4.71,596,2.94,5520
april,14,4.71,596,2.94,5560
april,15,4.71,596,2.94,5550
april,16,4.71,596,2.94,5615
april,17,4.71,596,2.94,5560
april,18,4.71,596,2.94,5350
april,19,4.71,596,2.94,5600
april,20,4.71,596,2.94,5595
april,1,5.84,677,4.86,6011
april,2,5.84,677,4.86,6000
april,3,5.84,677,4.86,6000
april,4,5.84,677,4.86,6015
april,5,5.84,677,4.86,6058
april,6,5.84,677,4.86,6075
april,7,5.84,677,4.86,6010
april,8,5.84,677,4.86,5988
april,9,5.84,677,4.86,6050
april,10,5.84,677,4.86,6000
april,11,5.84,677,4.86,6031
april,12,5.84,677,4.86,5999
april,13,5.84,677,4.86,6000
april,14,5.84,677,4.86,5955
april,15,5.84,677,4.86,6010
april,16,5.84,677,4.86,6000
april,17,5.84,677,4.86,6112
april,18,5.84,677,4.86,6010
april,19,5.84,677,4.86,6050
april,20,5.84,677,4.86,5900
april,1,6.29,703,7.66,5615
april,2,6.29,703,7.66,5615
april,3,6.29,703,7.66,5540
april,4,6.29,703,7.66,5520
april,5,6.29,703,7.66,5560
april,6,6.29,703,7.66,5550
april,7,6.29,703,7.66,5615
april,8,6.29,703,7.66,5560
april,9,6.29,703,7.66,5350
april,10,6.29,703,7.66,5600
april,11,6.29,703,7.66,5595
april,12,6.29,703,7.66,5475
april,13,6.29,703,7.66,5560
april,14,6.29,703,7.66,5540
april,15,6.29,703,7.66,5560
april,16,6.29,703,7.66,5550
april,17,6.29,703,7.66,5570
april,18,6.29,703,7.66,5480
april,19,6.29,703,7.66,5650
april,20,6.29,703,7.66,5600
april,1,6.45,659,6.76,5550
april,2,6.45,659,6.76,5565
april,3,6.45,659,6.76,5750
april,4,6.45,659,6.76,5800
april,5,6.45,659,6.76,5800
april,6,6.45,659,6.76,5750
april,7,6.45,659,6.76,5645
april,8,6.45,659,6.76,5900
april,9,6.45,659,6.76,5230
april,10,6.45,659,6.76,5175
april,11,6.45,659,6.76,4730
april,12,6.45,659,6.76,5070
april,13,6.45,659,6.76,5050
april,14,6.45,659,6.76,5450
april,15,6.45,659,6.76,5450
april,16,6.45,659,6.76,5450
april,17,6.45,659,6.76,5600
april,18,6.45,659,6.76,5600
april,19,6.45,659,6.76,5620
april,20,6.45,659,6.76,5800
