month,day,area_sown,yield,inflation,price
feb,1,4.87,593,5.87,4150
feb,2,4.87,593,5.87,4150
feb,3,4.87,593,5.87,4200
feb,4,4.87,593,5.87,4225
feb,5,4.87,593,5.87,4420
feb,6,4.87,593,5.87,4420
feb,7,4.87,593,5.87,4525
feb,8,4.87,593,5.87,4625
feb,9,4.87,593,5.87,4600
feb,10,4.87,593,5.87,4475
feb,11,4.87,593,5.87,4500
feb,12,4.87,593,5.87,4450
feb,13,4.87,593,5.87,4400
feb,14,4.87,593,5.87,4375
feb,15,4.87,593,5.87,4350
feb,16,4.87,593,5.87,4350
feb,17,4.87,593,5.87,4350
feb,18,4.87,593,5.87,4400
feb,19,4.87,593,5.87,4120
feb,20,4.87,593,5.87,4101
feb,1,4.48,569,4.94,4900
feb,2,4.48,569,4.94,4890
feb,3,4.48,569,4.94,4860
feb,4,4.48,569,4.94,4870
feb,5,4.48,569,4.94,4930
feb,6,4.48,569,4.94,4950
feb,7,4.48,569,4.94,4960
feb,8,4.48,569,4.94,4950
feb,9,4.48,569,4.94,4900
feb,10,4.48,569,4.94,4900
feb,11,4.48,569,4.94,4920
feb,12,4.48,569,4.94,4900
feb,13,4.48,569,4.94,4910
feb,14,4.48,569,4.94,4900
feb,15,4.48,569,4.94,4900
feb,16,4.48,569,4.94,4900
feb,17,4.48,569,4.94,4910
feb,18,4.48,569,4.94,4900
feb,19,4.48,569,4.94,4900
feb,20,4.48,569,4.94,4910
feb,1,4.71,596,2.94,5780
feb,2,4.71,596,2.94,5800
feb,3,4.71,596,2.94,5900
feb,4,4.71,596,2.94,5900
feb,5,4.71,596,2.94,6030
feb,6,4.71,596,2.94,6050
feb,7,4.71,596,2.94,6000
feb,8,4.71,596,2.94,6050
feb,9,4.71,596,2.94,5780
feb,10,4.71,596,2.94,5800
feb,11,4.71,596,2.94,5900
feb,12,4.71,596,2.94,5900
feb,13,4.71,596,2.94,6030
feb,14,4.71,596,2.94,6050
feb,15,4.71,596,2.94,6000
feb,16,4.71,596,2.94,6050
feb,17,4.71,596,2.94,6030
feb,18,4.71,596,2.94,6050
feb,19,4.71,596,2.94,6000
feb,20,4.71,596,2.94,6050
feb,1,5.84,677,4.86,5200
feb,2,5.84,677,4.86,5100
feb,3,5.84,677,4.86,5150
feb,4,5.84,677,4.86,5100
feb,5,5.84,677,4.86,5170
feb,6,5.84,677,4.86,5125
feb,7,5.84,677,4.86,5100
feb,8,5.84,677,4.86,5100
feb,9,5.84,677,4.86,5000
feb,10,5.84,677,4.86,5200
feb,11,5.84,677,4.86,5100
feb,12,5.84,677,4.86,5150
feb,13,5.84,677,4.86,5100
feb,14,5.84,677,4.86,5170
feb,15,5.84,677,4.86,5125
feb,16,5.84,677,4.86,5100
feb,17,5.84,677,4.86,5100
feb,18,5.84,677,4.86,5000
feb,19,5.84,677,4.86,5125
feb,20,5.84,677,4.86,5100
feb,1,6.29,703,7.66,5455
feb,2,6.29,703,7.66,5520
feb,3,6.29,703,7.66,5520
feb,4,6.29,703,7.66,5360
feb,5,6.29,703,7.66,5325
feb,6,6.29,703,7.66,5360
feb,7,6.29,703,7.66,5475
feb,8,6.29,703,7.66,5190
feb,9,6.29,703,7.66,5150
feb,10,6.29,703,7.66,5395
feb,11,6.29,703,7.66,5120
feb,12,6.29,703,7.66,5455
feb,13,6.29,703,7.66,5520
feb,14,6.29,703,7.66,5520
feb,15,6.29,703,7.66,5360
feb,16,6.29,703,7.66,5325
feb,17,6.29,703,7.66,5360
feb,18,6.29,703,7.66,5475
feb,19,6.29,703,7.66,5190
feb,20,6.29,703,7.66,5150
feb,1,6.45,659,6.76,5350
feb,2,6.45,659,6.76,4900
feb,3,6.45,659,6.76,5400
feb,4,6.45,659,6.76,5425
feb,5,6.45,659,6.76,5320
feb,6,6.45,659,6.76,5430
feb,7,6.45,659,6.76,4800
feb,8,6.45,659,6.76,5450
feb,9,6.45,659,6.76,5400
feb,10,6.45,659,6.76,5450
feb,11,6.45,659,6.76,5000
feb,12,6.45,659,6.76,5440
feb,13,6.45,659,6.76,5280
feb,14,6.45,659,6.76,4700
feb,15,6.45,659,6.76,4770
feb,16,6.45,659,6.76,5032.809524
feb,17,6.45,659,6.76,5010.952381
feb,18,6.45,659,6.76,4989.095238
feb,19,6.45,659,6.76,4967.238095
feb,20,6.45,659,6.76,4945.380952
